Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League,Fls,Fld,Crs,Int,TklW,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Gls/90,Ast/90,Fls/90,Fld/90,Crs/90,Int/90,TklW/90
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,33,28,2365,26.3,3,6,9,3,0,0,5,0,0.11,0.23,0.34,0.11,0.34,15,eng ENG,DF,25,1998,26.3,3,45.0,8.0,17.8,1.7110266159695817,0.3041825095057034,0.07,0.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,11.0,9.0,154.0,31.0,49.0,,,,,,,,,0.11406844106463879,0.22813688212927757,0.4182509505703422,0.34220532319391633,5.855513307984791,1.1787072243346006,1.8631178707224334
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,13,11,910,10.1,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1,93,eng ENG,DF,25,1999,10.1,0,7.0,3.0,42.9,0.6930693069306931,0.297029702970297,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,9.0,7.0,3.0,9.0,7.0,,,,,,,,,0.0,0.09900990099009901,0.8910891089108911,0.6930693069306931,0.297029702970297,0.8910891089108911,0.6930693069306931
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,0.25,0,0.25,0.25,0.25,92,eng ENG,DF,25,1999,11.8,3,11.0,4.0,36.4,0.9322033898305084,0.3389830508474576,0.27,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,10.0,15.0,7.0,20.0,15.0,,,,,,,,,0.2542372881355932,0.0,0.847457627118644,1.271186440677966,0.5932203389830508,1.694915254237288,1.271186440677966
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,0,0.14,0.14,0,0.14,3,us USA,MF,25,1999,21.8,0,9.0,2.0,22.2,0.4128440366972477,0.09174311926605504,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,46.0,21.0,2.0,30.0,56.0,,,,,,,,,0.0,0.13761467889908258,2.110091743119266,0.963302752293578,0.09174311926605504,1.3761467889908257,2.568807339449541
135,Tyler Dibling,eng ENG,"MF,FW",Southampton,18,2006,33,20,1874,20.8,2,0,2,2,0,0,6,0,0.1,0,0.1,0.1,0.1,135,eng ENG,"MF,FW",18,2006,20.8,2,28.0,9.0,32.1,1.346153846153846,0.43269230769230765,0.07,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,30.0,51.0,28.0,7.0,21.0,,,,,,,,,0.09615384615384615,0.0,1.4423076923076923,2.4519230769230766,1.346153846153846,0.3365384615384615,1.0096153846153846
191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,191,eng ENG,DF,19,2005,1.8,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,0.0,2.0,0.0,1.0,3.0,,,,,,,,,0.0,0.0,0.0,1.1111111111111112,0.0,0.5555555555555556,1.6666666666666665
326,Tyrell Malacia,nl NED,MF,Manchester Utd,24,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,326,nl NED,MF,24,1999,1.1,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,3.0,2.0,1.0,2.0,1.0,,,,,,,,,0.0,0.0,2.727272727272727,1.8181818181818181,0.9090909090909091,1.8181818181818181,0.9090909090909091
357,Tyrick Mitchell,eng ENG,MF,Crystal Palace,24,1999,37,37,3092,34.4,0,5,5,0,0,0,2,0,0,0.15,0.15,0,0.15,357,eng ENG,MF,24,1999,34.4,0,12.0,3.0,25,0.3488372093023256,0.0872093023255814,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,23.0,25.0,107.0,21.0,53.0,,,,,,,,,0.0,0.14534883720930233,0.6686046511627908,0.7267441860465117,3.11046511627907,0.6104651162790697,1.5406976744186047
198,Tyrique George,eng ENG,FW,Chelsea,18,2006,8,1,183,2.0,1,1,2,1,0,0,1,0,0.49,0.49,0.98,0.49,0.98,198,eng ENG,FW,18,2006,2,1,3.0,1.0,33.3,1.5,0.5,0.33,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,3.0,0.0,3.0,2.0,0.0,,,,,,,,,0.5,0.5,1.5,0.0,1.5,1.0,0.0
355,Tyrone Mings,eng ENG,DF,Aston Villa,31,1993,14,12,1120,12.4,0,0,0,0,0,0,1,0,0,0,0,0,0,355,eng ENG,DF,31,1993,12.4,0,9.0,1.0,11.1,0.7258064516129032,0.08064516129032258,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,4.0,11.0,1.0,7.0,6.0,,,,,,,,,0.0,0.0,0.3225806451612903,0.8870967741935484,0.08064516129032258,0.564516129032258,0.48387096774193544
