,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
38,Sam Austin,eng ENG,MF,Notts County,27,1996,23,18,"1,642",18.2,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches
39,Sebastian Auton,,GK,Grimsby Town,,,1,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Zach Awe,eng ENG,DF,Accrington Stanley,20,2004,21,21,"1,890",21,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
41,Tommy Backwell,eng ENG,"MF,FW",Cheltenham Town,21,2003,13,10,726,8.1,1,0,1,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
42,Owen Bailey,eng ENG,"MF,DF",Doncaster Rovers,25,1999,46,46,"4,123",45.8,5,5,10,5,0,0,9,0,0.11,0.11,0.22,0.11,0.22,Matches
43,Ibrahim Bakare,eng ENG,DF,Cheltenham Town,22,2002,30,18,"1,660",18.4,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches
44,Matthew Baker,wls WAL,DF,Newport County,21,2003,41,41,"3,689",41,4,0,4,4,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
45,Courtney Baker-Richardson,eng ENG,FW,Newport County,28,1995,36,24,"2,130",23.7,5,1,6,3,2,2,6,1,0.21,0.04,0.25,0.13,0.17,Matches
46,Aden Baldwin,eng ENG,DF,Bradford City,27,1997,32,30,"2,595",28.8,0,1,1,0,0,0,11,1,0,0.03,0.03,0,0.03,Matches
47,Jimmy Ball,eng ENG,"DF,MF",AFC Wimbledon,28,1995,15,11,959,10.7,1,1,2,1,0,0,4,0,0.09,0.09,0.19,0.09,0.19,Matches
48,Ollie Banks,eng ENG,MF,Chesterfield,31,1992,39,25,"2,340",26,2,5,7,2,0,0,5,0,0.08,0.19,0.27,0.08,0.27,Matches
49,Ben Barclay,eng ENG,"DF,MF",Carlisle United,27,1996,22,14,"1,221",13.6,1,1,2,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,Matches
50,Daniel Barden,wls WAL,GK,Swindon Town,23,2001,12,12,"1,060",11.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Lucas Barnes,eng ENG,MF,Harrogate Town FC,17,2007,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Sam Barnes,eng ENG,DF,Barrow,23,2001,4,0,44,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
53,Connor Barratt,ie IRL,MF,Walsall,20,2004,43,39,"3,396",37.7,0,8,8,0,0,0,10,1,0,0.21,0.21,0,0.21,Matches
54,Luca Barrington,eng ENG,"MF,FW",Grimsby Town,19,2004,38,21,"1,879",20.9,4,3,7,4,0,0,0,0,0.19,0.14,0.34,0.19,0.34,Matches
55,Alex Bass,eng ENG,GK,Notts County,26,1998,39,39,"3,429",38.1,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03,Matches
56,Jake Batty,eng ENG,"MF,DF",Accrington Stanley,19,2005,25,21,"1,814",20.2,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05,Matches
57,Jacob Bedeau,gd GRN,DF,Notts County,24,1999,44,43,"3,903",43.4,0,3,3,0,0,0,8,0,0,0.07,0.07,0,0.07,Matches
58,James Belshaw,eng ENG,GK,Harrogate Town FC,33,1990,45,45,"4,000",44.4,0,1,1,0,0,0,2,0,0,0.02,0.02,0,0.02,Matches
59,Jay Benn,eng ENG,MF,Bradford City,22,2001,12,11,908,10.1,0,3,3,0,0,0,4,0,0,0.3,0.3,0,0.3,Matches
60,Rhys Bennett,eng ENG,DF,Fleetwood Town,20,2003,35,26,"2,498",27.8,1,0,1,1,0,0,11,0,0.04,0,0.04,0.04,0.04,Matches
61,Scot Bennett,eng ENG,"DF,MF",Cheltenham Town,33,1990,26,25,"1,906",21.2,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
62,Kevin Berkoe,eng ENG,"MF,DF",Salford City FC,23,2001,15,8,642,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,James Berry,eng ENG,MF,Chesterfield,23,2000,22,11,"1,062",11.8,7,3,10,7,0,0,1,0,0.59,0.25,0.85,0.59,0.85,Matches
64,Joe Bevan,sct SCO,MF,Carlisle United,19,2005,14,3,367,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
65,Harrison Biggins,eng ENG,MF,Carlisle United,28,1996,17,13,"1,220",13.6,0,2,2,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
66,Huseyin Biler,eng ENG,DF,AFC Wimbledon,22,2002,6,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Lewis Billington,eng ENG,"DF,MF",Crewe Alexandra,20,2004,23,16,"1,513",16.8,0,2,2,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
68,Bryant Bilongo,eng ENG,DF,Harrogate Town FC,22,2001,16,9,933,10.4,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
69,Teddy Bishop,eng ENG,MF,Colchester United,28,1996,27,22,"1,885",20.9,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,Matches
70,Benicio Boaitey,eng ENG,MF,Port Vale,20,2004,10,3,359,4,0,2,2,0,0,0,2,0,0,0.5,0.5,0,0.5,Matches
71,Omar Bogle,eng ENG,FW,Crewe Alexandra,31,1993,30,13,"1,411",15.7,5,2,7,5,0,0,1,0,0.32,0.13,0.45,0.32,0.45,Matches
72,James Bolton,eng ENG,DF,Fleetwood Town,29,1994,38,35,"3,209",35.7,4,0,4,4,0,0,7,0,0.11,0,0.11,0.11,0.11,Matches
73,Elliott Bonds,gy GUY,MF,Fleetwood Town,24,2000,33,30,"2,669",29.7,0,5,5,0,0,0,9,0,0,0.17,0.17,0,0.17,Matches
74,Geoffroy Bony,wls WAL,FW,Newport County,19,2004,6,2,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Ryan Boot,eng ENG,GK,Chesterfield,29,1994,28,28,"2,520",28,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Ryan Bowman,eng ENG,FW,Cheltenham Town,32,1991,18,8,842,9.4,3,1,4,3,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches
77,Tom Bradbury,eng ENG,DF,Cheltenham Town,26,1998,39,38,"3,408",37.9,1,3,4,1,0,0,3,1,0.03,0.08,0.11,0.03,0.11,Matches
78,Zak Bradshaw,eng ENG,"MF,DF",Tranmere Rovers,20,2003,27,11,"1,163",12.9,0,1,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
79,Jack Bray,eng ENG,FW,Harrogate Town FC,17,2007,1,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
80,Kian Breckin,eng ENG,MF,Crewe Alexandra,20,2003,13,3,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
81,Gabriel Breeze,eng ENG,GK,Carlisle United,20,2003,32,32,"2,880",32,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
82,Ciaran Brennan,ie IRL,"DF,MF",Newport County,24,2000,27,26,"2,277",25.3,0,0,0,0,0,0,3,2,0,0,0,0,0,Matches
83,George Broadbent,eng ENG,MF,Doncaster Rovers,23,2000,38,28,"2,562",28.5,1,4,5,1,0,0,6,0,0.04,0.14,0.18,0.04,0.18,Matches
84,Ryan Broom,wls WAL,"MF,DF",Fleetwood Town,27,1996,27,10,"1,150",12.8,2,0,2,2,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
