,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
156,Ronan Curtis,ie IRL,"FW,MF",Port Vale,28,1996,42,20,"2,011",22.3,5,5,10,5,0,0,4,1,0.22,0.22,0.45,0.22,0.45,Matches
157,Bradley Dack,eng ENG,"MF,FW",Gillingham,30,1993,19,5,672,7.5,1,1,2,1,0,0,3,0,0.13,0.13,0.27,0.13,0.27,Matches
158,Marcus Dackers,wls WAL,FW,Salford City FC,21,2003,3,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Marcus Dackers,wls WAL,FW,Morecambe,21,2003,36,21,"2,162",24,1,3,4,1,0,0,3,0,0.04,0.12,0.17,0.04,0.17,Matches
160,Vontae Daley Campbell,eng ENG,DF,Chesterfield,23,2001,9,6,443,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
161,Andrew Dallas,sct SCO,"FW,MF",Morecambe,25,1999,17,14,"1,019",11.3,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,Matches
162,Andrew Dallas,sct SCO,FW,Barrow,25,1999,18,6,621,6.9,3,0,3,2,1,1,4,0,0.43,0,0.43,0.29,0.29,Matches
163,James Daly,eng ENG,"MF,FW",Harrogate Town FC,24,2000,38,32,"2,713",30.1,3,1,4,3,0,0,4,0,0.1,0.03,0.13,0.1,0.13,Matches
164,Matty Daly,eng ENG,"MF,FW",Harrogate Town FC,23,2001,15,13,"1,217",13.5,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
165,Donervon Daniels,ms MSR,DF,Walsall,30,1993,7,4,369,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
166,Geza David Turi,fo FRO,MF,Grimsby Town,22,2001,4,2,158,1.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
167,Archie Davies,eng ENG,"DF,MF",Carlisle United,25,1998,21,21,"1,726",19.2,1,2,3,1,0,0,7,0,0.05,0.1,0.16,0.05,0.16,Matches
168,Jordan Davies,wls WAL,MF,Grimsby Town,25,1998,18,8,731,8.1,4,1,5,3,1,1,2,0,0.49,0.12,0.62,0.37,0.49,Matches
169,Thomas Davies,wls WAL,DF,Newport County,20,2003,4,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Tom Davies,eng ENG,DF,Tranmere Rovers,32,1992,34,31,"2,817",31.3,1,0,1,1,0,0,10,1,0.03,0,0.03,0.03,0.03,Matches
171,Josh Davison,eng ENG,FW,Tranmere Rovers,24,1999,32,13,"1,257",14,3,1,4,3,0,0,4,0,0.21,0.07,0.29,0.21,0.29,Matches
172,Joe Day,eng ENG,GK,Cheltenham Town,33,1990,35,35,"3,150",35,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
173,Ja­son Daði Svanþórs­son,is ISL,MF,Grimsby Town,24,1999,43,36,"2,962",32.9,4,4,8,4,0,0,7,0,0.12,0.12,0.24,0.12,0.24,Matches
174,Jesse Debrah,eng ENG,DF,Port Vale,24,2000,35,33,"2,969",33,2,0,2,2,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
175,Ryan Delaney,ie IRL,DF,Swindon Town,27,1996,21,19,"1,655",18.4,1,1,2,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Mickey Demetriou,eng ENG,DF,Crewe Alexandra,34,1990,35,35,"3,150",35,2,1,3,2,0,0,7,0,0.06,0.03,0.09,0.06,0.09,Matches
177,Kristian Dennis,eng ENG,FW,Tranmere Rovers,34,1990,37,22,"1,889",21,9,1,10,9,0,0,4,0,0.43,0.05,0.48,0.43,0.48,Matches
178,Louis Dennis,eng ENG,"FW,MF",Bromley,31,1992,17,6,669,7.4,2,0,2,2,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
179,Matthew Dennis,eng ENG,FW,Carlisle United,22,2002,14,11,966,10.7,6,1,7,6,0,0,5,1,0.56,0.09,0.65,0.56,0.65,Matches
180,Matthew Dennis,eng ENG,FW,Milton Keynes Dons,22,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Owen Devonport,eng ENG,FW,Fleetwood Town,19,2004,24,11,"1,090",12.1,1,2,3,1,0,0,1,0,0.08,0.17,0.25,0.08,0.25,Matches
182,Cheick Diabate,eng ENG,DF,Bradford City,22,2002,11,10,887,9.9,0,1,1,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
183,Timothée Dieng,fr FRA,MF,Gillingham,32,1992,13,8,635,7.1,3,1,4,3,0,0,1,0,0.43,0.14,0.57,0.43,0.57,Matches
184,Timothée Dieng,fr FRA,MF,Cheltenham Town,32,1992,15,9,838,9.3,1,0,1,1,0,0,5,1,0.11,0,0.11,0.11,0.11,Matches
185,Marcus Dinanga,eng ENG,FW,Bromley,27,1997,7,1,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Baylee Dipepa,eng ENG,FW,Port Vale,17,2007,3,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Armando Dobra,al ALB,MF,Chesterfield,23,2001,42,36,"3,105",34.5,9,2,11,9,0,0,8,0,0.26,0.06,0.32,0.26,0.32,Matches
188,Lennon Dobson,,MF,Morecambe,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Janoi Donacien,lc LCA,DF,Chesterfield,30,1993,7,4,354,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
190,Aaron Donnelly,nir NIR,DF,Colchester United,21,2003,17,14,"1,288",14.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
191,Stephen Dooley,nir NIR,MF,Harrogate Town FC,32,1991,23,18,"1,695",18.8,1,0,1,1,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
192,Aaron Drinan,ie IRL,"FW,MF",Swindon Town,26,1998,28,16,"1,697",18.9,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21,Matches
193,Anthony Driscoll-Glennon,eng ENG,"DF,MF",Newport County,24,1999,39,34,"3,150",35,0,8,8,0,0,0,8,0,0,0.23,0.23,0,0.23,Matches
194,Kane Drummond,eng ENG,FW,Chesterfield,23,2000,14,4,487,5.4,1,1,2,1,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches
195,Declan Drysdale,eng ENG,DF,Tranmere Rovers,24,1999,8,7,605,6.7,0,0,0,0,0,0,5,2,0,0,0,0,0,Matches
196,Anton Dudik,ua UKR,FW,Carlisle United,19,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Dylan Duffy,ie IRL,"MF,FW",Chesterfield,21,2002,18,8,725,8.1,2,2,4,2,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
198,Stephen Duke-McKenna,gy GUY,MF,Harrogate Town FC,23,2000,18,12,"1,122",12.5,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches
199,Liam Dulson,,"MF,FW",Cheltenham Town,,,29,8,885,9.8,2,2,4,2,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches
200,Paul Dummett,wls WAL,DF,Carlisle United,32,1991,3,1,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Chey Dunkley,eng ENG,DF,Chesterfield,32,1992,9,9,809,9,1,0,1,1,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches
202,Leonard Duru,eng ENG,"MF,DF",Barrow,19,2005,8,7,529,5.9,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
203,Jack Earing,eng ENG,MF,Walsall,25,1999,20,4,686,7.6,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
204,Jake Eastwood,eng ENG,GK,Grimsby Town,27,1996,6,6,465,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Neo Eccleston,eng ENG,"DF,MF",Barrow,20,2003,17,7,872,9.7,1,2,3,1,0,0,3,0,0.1,0.21,0.31,0.1,0.31,Matches
206,Curtis Edwards,eng ENG,MF,Notts County,30,1994,16,6,580,6.4,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
207,Diamond Edwards,,MF,Port Vale,20,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Gwion Edwards,wls WAL,MF,Morecambe,31,1993,25,19,"1,590",17.7,3,1,4,3,0,0,3,0,0.17,0.06,0.23,0.17,0.23,Matches
209,Owura Edwards,eng ENG,MF,Colchester United,23,2001,37,30,"2,476",27.5,7,4,11,7,0,0,8,2,0.25,0.15,0.4,0.25,0.4,Matches
210,Tom Edwards,eng ENG,DF,Salford City FC,25,1999,19,10,930,10.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
211,Mandela Egbo,eng ENG,"DF,MF",Colchester United,26,1997,45,38,"3,416",38,1,2,3,1,0,0,9,0,0.03,0.05,0.08,0.03,0.08,Matches
212,Max Ehmer,eng ENG,DF,Gillingham,32,1992,35,33,"2,949",32.8,0,0,0,0,0,0,9,1,0,0,0,0,0,Matches
213,Deji Elerewe,eng ENG,DF,Bromley,20,2003,17,17,"1,465",16.3,1,2,3,1,0,0,3,0,0.06,0.12,0.18,0.06,0.18,Matches
214,Gunner Elliott,mt MLT,FW,Chesterfield,16,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Jack Ellis,eng ENG,"DF,MF",Carlisle United,20,2003,21,9,934,10.4,1,3,4,1,0,0,3,0,0.1,0.29,0.39,0.1,0.39,Matches
216,Elliot Embleton,eng ENG,MF,Carlisle United,25,1999,18,11,897,10,0,3,3,0,0,0,3,1,0,0.3,0.3,0,0.3,Matches
217,Josh Emmanuel,eng ENG,"DF,MF",Doncaster Rovers,26,1997,5,3,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Ethan Ennis,eng ENG,MF,Doncaster Rovers,19,2004,15,3,404,4.5,0,2,2,0,0,0,0,0,0,0.45,0.45,0,0.45,Matches
219,Cameron Evans,wls WAL,DF,Newport County,23,2001,31,26,"2,281",25.3,4,1,5,4,0,0,8,0,0.16,0.04,0.2,0.16,0.2,Matches
220,Corry Evans,nir NIR,MF,Bradford City,34,1990,6,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Kieron Evans,wls WAL,MF,Newport County,22,2001,34,21,"2,054",22.8,2,2,4,2,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
222,Owen Evans,wls WAL,GK,Cheltenham Town,27,1996,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Adam Fairclough,eng ENG,MF,Morecambe,17,2007,5,0,75,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
224,Josh Falkingham,eng ENG,MF,Harrogate Town FC,33,1990,8,6,374,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
225,Paul Farman,eng ENG,GK,Barrow,34,1989,29,29,"2,561",28.5,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Priestley Farquharson,eng ENG,DF,Walsall,27,1997,3,3,224,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
227,Rory Feely,ie IRL,DF,Barrow,27,1997,19,16,"1,285",14.3,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
228,Sonny Finch,eng ENG,FW,Milton Keynes Dons,18,2005,6,0,142,1.6,1,0,1,1,0,0,0,0,0.63,0,0.63,0.63,0.63,Matches
229,Sam Finley,eng ENG,MF,Tranmere Rovers,31,1992,33,29,"2,591",28.8,2,1,3,2,0,0,9,1,0.07,0.03,0.1,0.07,0.1,Matches
230,Charlie Finney,eng ENG,MF,Crewe Alexandra,20,2003,10,0,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,Tom Flanagan,nir NIR,DF,Colchester United,32,1992,41,41,"3,687",41,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
232,John Fleck,sct SCO,MF,Chesterfield,32,1991,16,7,689,7.7,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
233,Brandon Fleming,eng ENG,DF,Doncaster Rovers,24,1999,17,12,"1,006",11.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
234,Isaac Fletcher,eng ENG,MF,Barrow,22,2002,11,6,529,5.9,1,2,3,1,0,0,1,0,0.17,0.34,0.51,0.17,0.51,Matches
235,Samuel Folarin,ng NGA,FW,Harrogate Town FC,23,2000,19,6,729,8.1,2,0,2,2,0,0,3,0,0.25,0,0.25,0.25,0.25,Matches
236,Sam Foley,ie IRL,"DF,MF",Barrow,37,1986,34,26,"2,260",25.1,3,0,3,3,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
237,Tyrese Fornah,sl SLE,MF,Salford City FC,24,1999,40,39,"3,494",38.8,1,4,5,1,0,0,10,2,0.03,0.1,0.13,0.03,0.13,Matches
238,Matty Foulds,eng ENG,DF,Harrogate Town FC,26,1998,15,14,"1,241",13.8,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
239,Ben Fox,eng ENG,MF,Harrogate Town FC,26,1998,14,13,"1,065",11.8,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
240,Owen Foye,,MF,Swindon Town,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Osman Foyo,eng ENG,FW,AFC Wimbledon,19,2004,6,1,137,1.5,0,1,1,0,0,0,1,0,0,0.66,0.66,0,0.66,Matches
242,Miguel Freckleton,eng ENG,DF,Swindon Town,21,2002,28,25,"2,367",26.3,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
243,James Furlong,ie IRL,MF,AFC Wimbledon,22,2002,22,10,869,9.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
244,Sean Fusire,zw ZIM,MF,Carlisle United,19,2005,14,8,641,7.1,0,2,2,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
245,Sam Gale,eng ENG,DF,Gillingham,19,2004,22,22,"1,952",21.7,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
246,Luke Garbutt,eng ENG,"DF,MF",Salford City FC,31,1993,41,40,"3,555",39.5,3,4,7,3,0,0,9,0,0.08,0.1,0.18,0.08,0.18,Matches
247,Cameron Gardner,sct SCO,"MF,FW",Grimsby Town,18,2005,11,3,371,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Gerard Garner,eng ENG,"FW,MF",Morecambe,25,1998,8,3,320,3.6,2,0,2,2,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches
249,Gerard Garner,eng ENG,FW,Barrow,25,1998,16,12,949,10.5,3,0,3,3,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
250,Jake Garrett,eng ENG,MF,Tranmere Rovers,21,2003,11,6,467,5.2,1,0,1,1,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Ben Garrity,eng ENG,MF,Port Vale,27,1997,29,27,"2,382",26.5,5,3,8,5,0,0,3,0,0.19,0.11,0.3,0.19,0.3,Matches
252,Joseph Gbode,eng ENG,"FW,MF",Gillingham,19,2005,34,18,"1,791",19.9,3,0,3,3,0,0,7,1,0.15,0,0.15,0.15,0.15,Matches
253,Jordan Gibson,eng ENG,MF,Doncaster Rovers,26,1998,42,32,"2,547",28.3,6,7,13,6,0,0,2,1,0.21,0.25,0.46,0.21,0.46,Matches
254,Liam Gibson,eng ENG,DF,Harrogate Town FC,27,1997,9,6,399,4.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
255,Alex Gilbey,eng ENG,"MF,FW",Milton Keynes Dons,29,1994,42,42,"3,755",41.7,11,1,12,11,0,0,9,0,0.26,0.02,0.29,0.26,0.29,Matches
256,Paul Glatzel,eng ENG,"FW,MF",Swindon Town,23,2001,39,20,"1,923",21.4,3,5,8,3,0,1,2,0,0.14,0.23,0.37,0.14,0.37,Matches
257,Ben Goodliffe,eng ENG,DF,Colchester United,25,1999,11,8,649,7.2,3,0,3,3,0,0,1,0,0.42,0,0.42,0.42,0.42,Matches
258,Owen Goodman,ca CAN,GK,AFC Wimbledon,20,2003,46,46,"4,140",46,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
259,John-Kymani Gordon,eng ENG,MF,Colchester United,21,2003,41,17,"1,737",19.3,3,0,3,3,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
260,Josh Gordon,eng ENG,FW,Walsall,29,1995,8,6,374,4.2,1,0,1,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
261,Kellan Gordon,eng ENG,MF,Notts County,26,1997,30,18,"1,660",18.4,0,3,3,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
262,Lewis Gordon,sct SCO,DF,Chesterfield,23,2001,33,29,"2,610",29,0,4,4,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
263,Liam Gordon,gy GUY,MF,Walsall,25,1999,44,44,"3,872",43,3,1,4,3,0,0,10,0,0.07,0.02,0.09,0.07,0.09,Matches
264,Robbie Gotts,eng ENG,MF,Barrow,24,1999,41,39,"3,426",38.1,3,3,6,3,0,0,8,0,0.08,0.08,0.16,0.08,0.16,Matches
265,Conor Grant,ie IRL,"MF,FW",Notts County,23,2001,32,23,"1,895",21.1,4,3,7,4,0,0,1,0,0.19,0.14,0.33,0.19,0.33,Matches
266,Conor Grant,eng ENG,MF,Port Vale,29,1995,4,4,288,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Conor Grant,eng ENG,MF,Accrington Stanley,29,1995,16,6,684,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
268,Kamarl Grant,eng ENG,DF,Bromley,21,2003,40,34,"2,962",32.9,2,2,4,2,0,0,10,1,0.06,0.06,0.12,0.06,0.12,Matches
269,Ryan Graydon,ie IRL,FW,Fleetwood Town,25,1999,34,33,"2,747",30.5,9,8,17,8,1,1,5,0,0.29,0.26,0.56,0.26,0.52,Matches
270,Oliver Greaves,eng ENG,"FW,MF",Newport County,22,2001,16,6,608,6.8,2,1,3,2,0,0,0,0,0.3,0.15,0.44,0.3,0.44,Matches
271,Kieran Green,eng ENG,MF,Grimsby Town,27,1997,39,36,"2,936",32.6,7,7,14,7,0,0,10,1,0.21,0.21,0.43,0.21,0.43,Matches
272,Will Grigg,nir NIR,FW,Chesterfield,33,1991,30,21,"1,756",19.5,12,2,14,12,0,0,4,0,0.62,0.1,0.72,0.62,0.72,Matches
273,Jamie Grimes,eng ENG,DF,Chesterfield,33,1990,35,24,"2,446",27.2,3,0,3,3,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
274,Callum Guy,eng ENG,MF,Carlisle United,27,1996,20,12,"1,016",11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
275,Antwoine Hackford,eng ENG,"FW,MF",Port Vale,20,2004,24,11,922,10.2,4,1,5,4,0,0,1,0,0.39,0.1,0.49,0.39,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Charlie Hall,,MF,Accrington Stanley,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Connor Hall,eng ENG,DF,Port Vale,31,1993,44,44,"3,956",44,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
278,George Hall,eng ENG,"MF,FW",Walsall,20,2004,14,7,653,7.3,2,2,4,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,Matches
279,Grant Hall,eng ENG,DF,Swindon Town,32,1991,14,11,788,8.8,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
280,Brad Halliday,eng ENG,"MF,DF",Bradford City,29,1995,43,39,"3,469",38.5,2,3,5,2,0,0,9,0,0.05,0.08,0.13,0.05,0.13,Matches
281,Riley Harbottle,eng ENG,DF,AFC Wimbledon,23,2000,25,23,"1,935",21.5,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
282,Cameron Harper,sct SCO,"MF,DF",Carlisle United,22,2001,36,30,"2,740",30.4,0,3,3,0,0,0,5,0,0,0.1,0.1,0,0.1,Matches
283,Rekeem Harper,eng ENG,MF,Port Vale,24,2000,18,12,941,10.5,1,0,1,1,0,0,4,1,0.1,0,0.1,0.1,0.1,Matches
284,Kayden Harrack,gd GRN,MF,Morecambe,20,2003,8,4,365,4.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
285,Kian Harratt,eng ENG,FW,Fleetwood Town,22,2002,20,2,613,6.8,1,2,3,1,0,0,1,0,0.15,0.29,0.44,0.15,0.44,Matches
286,David Harrington,wls WAL,GK,Fleetwood Town,24,2000,20,20,"1,783",19.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
287,Kadeem Harris,eng ENG,MF,Carlisle United,31,1993,30,26,"2,328",25.9,3,2,5,3,0,1,2,0,0.12,0.08,0.19,0.12,0.19,Matches
288,Ellis Harrison,wls WAL,FW,Walsall,30,1994,12,9,635,7.1,3,1,4,3,0,0,1,0,0.43,0.14,0.57,0.43,0.57,Matches
289,Ellis Harrison,wls WAL,"FW,MF",Milton Keynes Dons,30,1994,19,3,518,5.8,2,1,3,2,0,0,2,1,0.35,0.17,0.52,0.35,0.52,Matches
290,Sam Hart,eng ENG,"MF,DF",Port Vale,27,1996,22,12,"1,121",12.5,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
291,Sonny Hartman,eng ENG,DF,Swindon Town,18,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Josh Hawkes,eng ENG,"MF,FW",Tranmere Rovers,25,1999,23,11,924,10.3,2,5,7,1,1,2,1,0,0.19,0.49,0.68,0.1,0.58,Matches
293,Oliver Hawkins,eng ENG,"FW,DF",Gillingham,32,1992,25,9,865,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
294,Ashley Hay,eng ENG,"FW,MF",Cheltenham Town,21,2003,21,10,996,11.1,3,1,4,3,0,0,0,0,0.27,0.09,0.36,0.27,0.36,Matches
295,Aaron Hayden,eng ENG,DF,Carlisle United,27,1997,24,23,"1,972",21.9,3,1,4,3,0,0,10,0,0.14,0.05,0.18,0.14,0.18,Matches
296,Ryan Haynes,eng ENG,"DF,MF",Cheltenham Town,28,1995,13,11,776,8.6,0,1,1,0,0,1,3,0,0,0.12,0.12,0,0.12,Matches
297,Jaheim Headley,eng ENG,MF,Port Vale,22,2001,8,7,641,7.1,3,2,5,3,0,0,0,0,0.42,0.28,0.7,0.42,0.7,Matches
298,Mark Helm,eng ENG,"MF,FW",Fleetwood Town,22,2001,44,32,"2,731",30.3,7,0,7,7,0,0,5,0,0.23,0,0.23,0.23,0.23,Matches
299,Kane Hemmings,eng ENG,FW,Crewe Alexandra,32,1992,20,14,"1,253",13.9,4,0,4,2,2,2,1,0,0.29,0,0.29,0.14,0.14,Matches
300,Alex Henderson,eng ENG,MF,Accrington Stanley,19,2004,28,10,942,10.5,1,1,2,1,0,0,3,0,0.1,0.1,0.19,0.1,0.19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Luke Hendrie,eng ENG,"DF,MF",Morecambe,29,1994,34,34,"2,886",32.1,0,4,4,0,0,0,7,1,0,0.12,0.12,0,0.12,Matches
302,Callum Hendry,sct SCO,"FW,MF",Milton Keynes Dons,26,1997,29,15,"1,411",15.7,3,2,5,3,0,0,7,1,0.19,0.13,0.32,0.19,0.32,Matches
303,Regan Hendry,sct SCO,MF,Tranmere Rovers,26,1998,26,20,"1,801",20,3,4,7,3,0,0,7,1,0.15,0.2,0.35,0.15,0.35,Matches
304,Ben Heneghan,eng ENG,DF,Port Vale,30,1993,25,18,"1,736",19.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
305,Thomas Hill,wls WAL,MF,Harrogate Town FC,21,2002,6,2,254,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
306,Jack Hinchy,eng ENG,MF,Notts County,21,2003,25,12,984,10.9,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
307,Myles Hippolyte,gd GRN,MF,AFC Wimbledon,29,1994,19,12,"1,153",12.8,2,0,2,2,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
308,Bailey Hobson,eng ENG,MF,Chesterfield,21,2002,11,4,409,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
309,Scott Hogan,ie IRL,FW,Milton Keynes Dons,32,1992,33,25,"2,223",24.7,8,1,9,8,0,0,1,0,0.32,0.04,0.36,0.32,0.36,Matches
310,Harrison Holgate,eng ENG,DF,Fleetwood Town,23,2000,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
311,Matúš Holíček,sk SVK,MF,Crewe Alexandra,19,2005,38,31,"2,643",29.4,1,5,6,1,0,0,7,0,0.03,0.17,0.2,0.03,0.2,Matches
312,Taite Holtam,eng ENG,GK,Gillingham,19,2005,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Hallam Hope,bb BRB,"FW,MF",Morecambe,30,1994,29,14,"1,412",15.7,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches
314,Tom Hopper,eng ENG,"FW,MF",Colchester United,30,1993,16,9,770,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Sam Hornby,eng ENG,GK,Walsall,29,1995,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Branden Horton,eng ENG,DF,Chesterfield,23,2000,7,2,227,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
317,Kyle Hudlin,eng ENG,FW,Newport County,24,2000,27,16,"1,444",16,6,1,7,6,0,1,5,0,0.37,0.06,0.44,0.37,0.44,Matches
318,Kayden Hughes,eng ENG,DF,Fleetwood Town,18,2005,8,7,606,6.7,2,0,2,2,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
319,Joe Hugill,eng ENG,FW,Carlisle United,20,2003,17,9,855,9.5,2,0,2,2,0,0,3,0,0.21,0,0.21,0.21,0.21,Matches
320,Liam Humbles,eng ENG,MF,Salford City FC,20,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Denver Hume,eng ENG,"DF,MF",Grimsby Town,27,1996,45,43,"3,746",41.6,0,12,12,0,0,0,9,0,0,0.29,0.29,0,0.29,Matches
