Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
375,Kim Minsu,kr KOR,FW,Girona,18,2006,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Bojan Miovski,mk MKD,FW,Girona,25,1999,17,12,869,9.7,2,1,3,2,0,0,0,0,0.21,0.1,0.31,0.21,0.31,Matches
377,Rafa Mir,es ESP,"FW,MF",Valencia,27,1997,20,5,753,8.4,1,2,3,1,0,0,4,0,0.12,0.24,0.36,0.12,0.36,Matches
378,Luka Modrić,hr CRO,MF,Real Madrid,38,1985,35,17,"1,827",20.3,2,6,8,2,0,0,7,0,0.1,0.3,0.39,0.1,0.39,Matches
379,Johan Mojica,co COL,DF,Mallorca,31,1992,36,30,"2,755",30.6,1,2,3,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,Matches
380,Alberto Moleiro,es ESP,MF,Las Palmas,20,2003,35,32,"2,714",30.2,6,1,7,6,0,0,5,0,0.2,0.03,0.23,0.2,0.23,Matches
381,Nahuel Molina,ar ARG,DF,Atlético Madrid,26,1998,30,17,"1,590",17.7,0,3,3,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
382,Jon Moncayola,es ESP,MF,Osasuna,26,1998,32,26,"2,099",23.3,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
383,Gonzalo Montiel,ar ARG,DF,Sevilla,27,1997,6,1,113,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
384,Gerard Moreno,es ESP,FW,Villarreal,32,1992,17,6,721,8,3,2,5,0,3,3,0,0,0.37,0.25,0.62,0,0.25,Matches
385,Xavier Moreno,es ESP,FW,Valladolid,19,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Mateu Morey,es ESP,DF,Mallorca,24,2000,16,8,741,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
387,Ilaix Moriba,gn GUI,MF,Celta Vigo,21,2003,33,22,"2,132",23.7,1,1,2,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,Matches
388,Manu Morlanes,es ESP,MF,Mallorca,25,1999,23,15,"1,338",14.9,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
389,Raúl Moro,es ESP,"MF,FW",Valladolid,21,2002,33,26,"2,341",26,4,5,9,4,0,0,2,0,0.15,0.19,0.35,0.15,0.35,Matches
390,Cristhian Mosquera,es ESP,DF,Valencia,20,2004,37,37,"3,319",36.9,1,0,1,1,0,0,6,0,0.03,0,0.03,0.03,0.03,Matches
391,Santiago Mouriño,uy URU,DF,Alavés,22,2002,25,20,"1,849",20.5,0,1,1,0,0,0,7,0,0,0.05,0.05,0,0.05,Matches
392,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,24,24,"2,017",22.4,2,1,3,2,0,0,6,1,0.09,0.04,0.13,0.09,0.13,Matches
393,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,21,13,"1,098",12.2,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
394,Álex Muñoz,es ESP,DF,Las Palmas,30,1994,21,18,"1,415",15.7,3,0,3,3,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
395,Iker Muñoz,es ESP,MF,Osasuna,21,2002,23,4,610,6.8,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
396,Javier Muñoz,es ESP,"MF,DF",Las Palmas,29,1995,35,28,"2,588",28.8,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,Matches
397,Víctor Muñoz,es ESP,FW,Real Madrid,21,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Vedat Muriqi,xk KVX,FW,Mallorca,30,1994,29,24,"2,058",22.9,7,2,9,5,2,3,1,2,0.31,0.09,0.39,0.22,0.31,Matches
399,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Matija Nastasić,rs SRB,DF,Leganés,31,1993,26,24,"2,110",23.4,1,0,1,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Natan,br BRA,DF,Real Betis,23,2001,31,23,"2,175",24.2,1,1,2,1,0,0,5,1,0.04,0.04,0.08,0.04,0.08,Matches
402,Pau Navarro,es ESP,DF,Villarreal,19,2005,17,8,916,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
403,Roberto Navarro,es ESP,MF,Mallorca,22,2002,23,15,"1,278",14.2,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
404,Jesús Navas,es ESP,"MF,FW",Sevilla,38,1985,15,3,424,4.7,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
405,Yvan Neyou,cm CMR,MF,Leganés,27,1997,30,27,"2,312",25.7,1,1,2,1,0,0,14,0,0.04,0.04,0.08,0.04,0.08,Matches
406,Tanguy Nianzou,fr FRA,DF,Sevilla,22,2002,6,6,518,5.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
407,Saúl Ñíguez,es ESP,MF,Sevilla,29,1994,24,17,"1,553",17.3,1,6,7,1,0,0,8,1,0.06,0.35,0.41,0.06,0.41,Matches
408,Tamás Nikitscher,hu HUN,"MF,DF",Valladolid,24,1999,13,9,858,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
409,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
410,Hugo Novoa,es ESP,"MF,DF",Alavés,21,2003,5,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Randy Nteka,ao ANG,FW,Rayo Vallecano,26,1997,24,16,"1,129",12.5,3,0,3,3,0,0,6,0,0.24,0,0.24,0.24,0.24,Matches
412,Unai Núñez,es ESP,DF,Athletic Club,27,1997,10,7,645,7.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
413,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,30,"2,673",29.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
414,Allan Nyom,cm CMR,"MF,DF",Getafe,36,1988,20,10,887,9.9,1,2,3,1,0,0,4,0,0.1,0.2,0.3,0.1,0.3,Matches
415,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,36,"3,240",36,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
416,Lucas Ocampos,ar ARG,"MF,FW",Sevilla,30,1994,2,2,175,1.9,0,1,1,0,0,0,0,0,0,0.51,0.51,0,0.51,Matches
417,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
418,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,1,0,8,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
419,Aingeru Olabarrieta,es ESP,MF,Athletic Club,18,2005,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
420,Olasagasti,es ESP,MF,Real Sociedad,23,2000,22,7,857,9.5,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,Matches
