,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
38,Keanu Baccus,au AUS,MF,Mansfield Town,26,1998,39,32,"2,673",29.7,4,7,11,4,0,0,7,0,0.13,0.24,0.37,0.13,0.37,Matches
39,Fin Back,eng ENG,DF,Wycombe Wanderers,21,2002,2,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Elkan Baggott,id IDN,DF,Blackpool,21,2002,18,15,"1,332",14.8,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
41,Odin Bailey,eng ENG,MF,Stockport,24,1999,30,8,985,10.9,2,2,4,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches
42,Geraldo Bajrami,al ALB,DF,Burton Albion,24,1999,1,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
43,Tyreeq Bakinson,eng ENG,MF,Wycombe Wanderers,25,1998,25,10,891,9.9,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
44,Jack Baldwin,eng ENG,DF,Northampton Town,31,1993,22,11,"1,133",12.6,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
45,Radinio Balker,sr SUR,DF,Huddersfield Town,25,1998,14,10,774,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
46,Dominic Ball,eng ENG,MF,Leyton Orient,28,1995,31,11,"1,276",14.2,0,2,2,0,0,0,6,0,0,0.14,0.14,0,0.14,Matches
47,Dominic Ballard,eng ENG,FW,Cambridge United,19,2005,17,11,960,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches
48,Dominic Ballard,eng ENG,"FW,MF",Blackpool,19,2005,18,10,793,8.8,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
49,Alex Bannon,sct SCO,"DF,MF",Burton Albion,20,2003,9,9,732,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Charlie Barker,eng ENG,DF,Crawley Town,21,2003,39,37,"3,365",37.4,1,1,2,1,0,0,10,0,0.03,0.03,0.05,0.03,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
