Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,2,0,0,14,8,6,6,0,4,,,0,Matches
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,2,0,0,12,2,0,1,12,6,,,0,Matches
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,1,0,0,18,17,2,11,10,11,,,0,Matches
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,1,0,0,8,9,5,68,14,12,,,0,Matches
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,0,0,0,2,3,0,1,2,1,,,0,Matches
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,0,0,0,8,5,1,1,1,4,,,0,Matches
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,1,0,0,28,18,5,28,1,16,,,0,Matches
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,2,0,0,15,22,0,93,16,42,,,0,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,0,0,0,2,2,3,19,1,3,,,0,Matches
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,1,0,0,2,2,6,17,1,1,,,0,Matches
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,0,0,0,6,7,0,3,1,5,,,0,Matches
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,4,0,0,11,36,6,86,4,10,,,0,Matches
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,0,0,0,23,24,11,27,1,7,,,0,Matches
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,4,0,0,12,2,8,20,2,4,,,0,Matches
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,1,0,0,8,7,0,50,14,15,,,0,Matches
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,6,0,0,37,11,15,134,27,37,,,0,Matches
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,0,0,0,1,1,0,1,0,0,,,0,Matches
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,4,1,0,25,19,0,10,20,27,,,0,Matches
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,0,0,0,0,0,0,0,0,0,,,0,Matches
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,1,0,0,2,3,0,0,0,3,,,0,Matches
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,11,1,1,35,28,5,2,35,25,,,0,Matches
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,12.6,2,1,0,8,2,0,4,13,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,11.3,2,0,0,5,7,1,72,10,10,,,0,Matches
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,0,0,0,0,2,0,1,2,0,,,0,Matches
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,1,0,0,12,2,0,4,9,5,,,0,Matches
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,8,0,0,38,19,1,8,38,35,,,0,Matches
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,0,0,0,7,0,0,0,9,4,,,0,Matches
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,1,0,0,4,5,1,1,1,5,,,0,Matches
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,4,0,0,26,42,3,21,15,26,,,0,Matches
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,4,0,0,26,22,0,17,18,24,,,0,Matches
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,0,0,0,9,12,8,47,8,11,,,0,Matches
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,2,0,0,8,11,4,21,0,5,,,0,Matches
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,0,0,0,19,4,0,22,29,24,,,0,Matches
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,5,0,0,12,7,0,53,10,16,,,0,Matches
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,5,1,1,11,6,1,15,4,0,,,0,Matches
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,0,0,0,0,1,0,0,0,0,,,0,Matches
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,0,0,0,1,1,0,0,0,0,,,0,Matches
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4,2,0,0,10,2,0,4,2,4,,,0,Matches
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,0,1,0,4,5,0,0,9,6,,,0,Matches
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,0,0,0,9,16,0,10,12,14,,,0,Matches
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,0,0,0,4,2,0,19,0,2,,,0,Matches
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,0,0,0,8,26,3,19,13,16,,,0,Matches
96,Olivier Deman,be BEL,"FW,MF",Werder Bremen,24,2000,0.7,1,0,0,1,2,0,6,4,3,,,0,Matches
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,2,0,0,24,27,18,3,1,7,,,0,Matches
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,0,0,0,2,0,0,10,0,0,,,0,Matches
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,1,0,0,16,4,1,2,14,12,,,0,Matches
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,0,0,0,10,4,1,8,7,2,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,1,0,0,9,6,1,16,7,14,,,0,Matches
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,2,0,0,27,56,8,80,14,43,,,0,Matches
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34,4,0,0,36,14,2,10,44,23,,,0,Matches
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,0,0,0,0,2,0,1,0,0,,,0,Matches
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,5,1,0,15,20,0,36,16,18,,,0,Matches
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21,2,0,0,1,3,0,0,0,0,,,0,Matches
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4,2,0,0,8,2,0,1,0,8,,,0,Matches
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,3,0,0,6,17,14,169,7,6,,,0,Matches
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,3,0,0,10,7,2,13,0,0,,,0,Matches
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,2,1,0,5,3,0,3,3,10,,,0,Matches
111,Johannes Eggestein,de GER,FW,St Pauli,26,1998,20.6,3,0,0,12,12,14,35,0,4,,,0,Matches
112,Maximilian Eggestein,de GER,MF,Freiburg,27,1996,31.6,4,0,0,22,24,1,9,39,31,,,0,Matches
113,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,22,2002,28.5,1,0,0,39,17,19,17,5,12,,,0,Matches
114,Elif Elmas,mk MKD,"FW,MF",RB Leipzig,24,1999,0.5,1,0,0,2,0,1,0,0,1,,,0,Matches
115,Nico Elvedi,ch SUI,DF,Gladbach,27,1996,23.7,1,0,0,9,15,1,1,27,24,,,1,Matches
116,Arne Engels,be BEL,FW,Augsburg,20,2003,0.9,1,0,0,3,1,0,4,0,0,,,0,Matches
117,Patrick Erras,de GER,DF,Holstein Kiel,29,1995,9.2,2,0,0,10,0,0,0,9,6,,,0,Matches
118,Samuel Essende,cd COD,FW,Augsburg,26,1998,18.2,4,2,0,45,34,13,5,1,6,,,0,Matches
119,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,0,0,0,0,0,0,,,0,Matches
120,Kilian Fischer,de GER,DF,Wolfsburg,23,2000,25.5,7,0,0,34,7,0,39,19,46,,,0,Matches
121,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,28,1996,20.4,3,0,0,13,4,1,58,15,24,,,0,Matches
122,Marco Friedl,at AUT,DF,Werder Bremen,26,1998,24,10,2,1,26,16,3,2,36,41,,,2,Matches
123,Marvin Friedrich,de GER,DF,Gladbach,28,1995,11,0,0,0,5,4,0,0,6,9,,,0,Matches
124,Jeremie Frimpong,nl NED,MF,Leverkusen,23,2000,25.7,4,0,0,20,31,9,113,8,24,,,0,Matches
125,Chris Führich,de GER,MF,Stuttgart,26,1998,22,1,0,0,9,6,1,83,7,11,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Shiō Fukuda,jp JPN,FW,Gladbach,20,2004,0.7,0,0,0,2,0,1,1,0,0,,,0,Matches
127,Cristian Gamboa,cr CRC,MF,Bochum,34,1989,2.5,1,0,0,1,3,0,6,2,3,,,0,Matches
128,Aleix García,es ESP,MF,Leverkusen,27,1997,16.2,3,0,0,8,9,1,93,14,9,,,0,Matches
129,Viggo Gebel,de GER,MF,RB Leipzig,16,2007,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,2000,17.3,2,0,0,17,6,1,13,16,24,,,0,Matches
131,Dennis Geiger,de GER,MF,Hoffenheim,26,1998,8.2,4,0,0,26,10,0,5,7,14,,,0,Matches
132,Valentin Gendrey,fr FRA,"DF,MF",Hoffenheim,24,2000,15.7,1,0,0,12,27,2,51,15,13,,,0,Matches
133,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,1994,16.9,5,1,0,20,13,2,23,16,14,,,0,Matches
134,Max Geschwill,de GER,DF,Holstein Kiel,23,2001,14.2,2,0,0,13,9,1,10,31,22,,,1,Matches
135,Dimitris Giannoulis,gr GRE,MF,Augsburg,28,1995,29.4,8,0,0,17,20,1,120,47,33,,,0,Matches
136,Armin Gigovic,ba BIH,MF,Holstein Kiel,22,2002,21.1,5,0,0,22,28,2,14,22,14,,,0,Matches
137,Benedikt Gimber,de GER,DF,Heidenheim,27,1997,29.7,9,0,0,63,49,1,3,32,47,,,0,Matches
138,Matthias Ginter,de GER,DF,Freiburg,30,1994,28.5,5,0,0,13,26,1,12,17,17,,,0,Matches
139,Jamie Gittens,eng ENG,MF,Dortmund,19,2004,19.7,4,0,0,25,44,3,49,10,17,,,0,Matches
140,Serge Gnabry,de GER,"MF,FW",Bayern Munich,29,1995,13.8,0,0,0,19,6,8,22,6,10,,,0,Matches
141,Tidiam Gomis,fr FRA,FW,RB Leipzig,17,2006,1.7,2,0,0,3,2,2,4,1,0,,,0,Matches
142,Leon Goretzka,de GER,MF,Bayern Munich,29,1995,14.7,2,0,0,12,11,0,6,17,9,,,0,Matches
143,Robin Gosens,de GER,MF,Union Berlin,30,1994,1,1,0,0,5,0,0,1,1,0,,,0,Matches
144,Mario Götze,de GER,MF,Eintracht Frankfurt,32,1992,17.1,1,0,0,15,15,1,39,7,28,,,0,Matches
145,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33,1991,32.7,9,0,0,22,13,2,17,39,31,,,0,Matches
146,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,2,0,0,0,3,0,0,0,0,,,0,Matches
147,Michael Gregoritsch,at AUT,FW,Freiburg,30,1994,7.1,2,0,0,7,5,4,1,1,2,,,0,Matches
148,Vincenzo Grifo,it ITA,MF,Freiburg,31,1993,27,2,0,0,15,12,2,157,8,21,,,0,Matches
149,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28,1995,6.7,1,0,0,4,11,0,5,9,9,,,0,Matches
150,Álex Grimaldo,es ESP,MF,Leverkusen,28,1995,29.3,6,1,1,15,25,8,217,17,15,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Pascal Groß,de GER,"MF,DF",Dortmund,33,1991,25.9,5,1,0,18,12,0,178,9,29,,,0,Matches
152,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26,1998,13.1,1,0,0,22,31,6,21,5,10,,,0,Matches
153,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,30,1993,17.5,2,0,0,9,7,0,27,10,14,,,0,Matches
154,Morgan Guilavogui,gn GUI,"FW,MF",St Pauli,26,1998,20.1,6,0,0,47,34,11,10,13,19,,,0,Matches
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,28.9,4,0,0,16,53,12,1,5,6,,,0,Matches
156,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,0,0,0,0,1,0,0,0,1,,,0,Matches
157,Robert Gumny,pl POL,MF,Augsburg,26,1998,3,2,0,0,4,4,0,4,1,3,,,0,Matches
158,Christian Günter,de GER,DF,Freiburg,31,1993,25.7,0,0,0,14,4,5,123,7,22,,,1,Matches
159,Janik Haberer,de GER,MF,Union Berlin,30,1994,18.8,1,0,0,21,15,3,15,18,28,,,0,Matches
160,Robin Hack,de GER,MF,Gladbach,25,1998,24.1,4,0,0,19,21,9,61,9,19,,,0,Matches
161,Amadou Haidara,ml MLI,MF,RB Leipzig,26,1998,14.7,7,0,0,23,8,0,12,18,17,,,0,Matches
162,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27,1997,14.3,4,1,1,20,8,0,1,11,14,,,0,Matches
163,Phil Harres,de GER,FW,Holstein Kiel,22,2002,17.2,3,0,0,35,20,5,6,4,9,,,0,Matches
164,Ramon Hendriks,nl NED,DF,Stuttgart,23,2001,12.8,3,0,0,12,14,0,12,15,11,,,0,Matches
165,Paul Hennrich,de GER,MF,Hoffenheim,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
166,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,27,1997,10.4,3,0,0,13,9,0,19,15,16,,,0,Matches
167,Mario Hermoso,es ESP,DF,Leverkusen,29,1995,3.3,0,0,0,2,1,0,4,9,0,,,0,Matches
168,Piero Hincapié,ec ECU,DF,Leverkusen,22,2002,29.7,8,0,0,26,43,0,36,32,40,,,1,Matches
169,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22,2002,20.8,2,0,0,16,30,6,20,4,11,,,0,Matches
170,Nicolas Höfler,de GER,MF,Freiburg,34,1990,8.8,3,0,0,12,5,0,1,14,22,,,0,Matches
171,Jonas Hofmann,de GER,MF,Leverkusen,32,1992,4,1,0,0,1,9,0,5,0,0,,,0,Matches
172,Philipp Hofmann,de GER,FW,Bochum,31,1993,25.3,4,0,0,36,31,4,10,5,12,,,0,Matches
173,Lucas Höler,de GER,"FW,MF",Freiburg,30,1994,20.7,3,0,0,31,30,8,14,6,24,,,0,Matches
174,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,23,2001,28.2,3,0,0,43,45,17,73,3,20,,,0,Matches
175,Lewis Holtby,de GER,MF,Holstein Kiel,33,1990,13.8,1,1,0,13,23,0,46,19,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Gerrit Holtmann,ph PHI,"MF,DF",Bochum,29,1995,12.6,2,0,0,26,7,4,90,16,18,,,0,Matches
177,Franck Honorat,fr FRA,MF,Gladbach,27,1996,16,0,0,0,7,5,8,123,5,6,,,0,Matches
178,Mathias Honsak,at AUT,"MF,FW",Heidenheim,27,1996,13.1,1,0,0,14,13,2,47,9,9,,,0,Matches
179,Timo Horn,de GER,GK,Bochum,31,1993,13,2,0,0,0,2,0,0,0,0,,,0,Matches
180,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,29,1,0,0,0,2,0,0,0,0,,,0,Matches
181,Robin Hranáč,cz CZE,DF,Hoffenheim,24,2000,2.4,0,0,0,5,0,0,0,5,0,,,0,Matches
182,Hong Hyunseok,kr KOR,MF,Mainz 05,25,1999,5.9,0,0,0,3,8,1,4,7,3,,,0,Matches
183,Oscar Højlund,dk DEN,MF,Eintracht Frankfurt,19,2005,8,0,0,0,12,3,0,1,5,12,,,0,Matches
184,Arijon Ibrahimović,de GER,MF,Bayern Munich,18,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
185,Andrej Ilic,rs SRB,FW,Union Berlin,24,2000,10.4,1,0,0,14,8,8,3,3,2,,,0,Matches
186,Jackson Irvine,au AUS,MF,St Pauli,31,1993,29,2,0,0,38,16,2,17,35,29,,,0,Matches
187,Ko Itakura,jp JPN,DF,Gladbach,27,1997,31,5,0,0,28,12,1,8,28,29,,,0,Matches
188,Hiroki Ito,jp JPN,DF,Bayern Munich,25,1999,2.8,1,0,0,2,3,0,2,4,0,,,0,Matches
189,Marko Ivezić,rs SRB,DF,Holstein Kiel,22,2001,18.4,5,0,0,27,5,1,2,26,18,,,0,Matches
190,Lee Jae-sung,kr KOR,MF,Mainz 05,31,1992,29.4,4,0,0,23,40,9,31,37,24,,,0,Matches
191,Kristijan Jakić,hr CRO,MF,Augsburg,27,1997,25.6,2,0,0,22,28,3,14,29,24,,,0,Matches
192,Luca Jaquez,ch SUI,DF,Stuttgart,21,2003,2.8,0,0,0,4,0,0,1,3,0,,,0,Matches
193,Dominik Javorček,sk SVK,"MF,DF",Holstein Kiel,21,2002,4.3,2,0,0,7,6,1,21,5,0,,,0,Matches
194,Finn Jeltsch,de GER,DF,Stuttgart,18,2006,8.7,2,0,0,7,5,0,3,13,14,,,0,Matches
195,Fredrik Jensen,fi FIN,"MF,FW",Augsburg,26,1997,8.5,0,0,0,5,5,3,21,5,7,,,0,Matches
196,Moritz Jenz,de GER,DF,Mainz 05,25,1999,17.8,4,0,0,27,6,1,0,29,23,,,0,Matches
197,Carl Johansson,se SWE,DF,Holstein Kiel,30,1994,6.3,0,1,0,5,4,0,0,11,2,,,0,Matches
198,Anthony Jung,de GER,DF,Werder Bremen,32,1991,21.1,1,0,0,9,15,2,4,26,21,,,0,Matches
199,Josip Juranović,hr CRO,"MF,DF",Union Berlin,28,1995,12.9,4,0,0,8,6,1,77,6,13,,,0,Matches
200,David Jurásek,cz CZE,"DF,MF",Hoffenheim,23,2000,6.9,0,0,0,1,2,1,55,7,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Yusuf Kabadayı,de GER,FW,Augsburg,20,2004,0.8,0,0,0,1,1,1,1,0,0,,,0,Matches
202,Almugera Kabar,de GER,DF,Dortmund,18,2006,1.5,2,1,1,2,2,0,1,1,3,,,0,Matches
203,Issa Kaboré,bf BFA,MF,Werder Bremen,23,2001,3.4,0,0,0,4,8,1,19,2,5,,,0,Matches
204,Pavel Kadeřábek,cz CZE,"MF,DF",Hoffenheim,32,1992,17.5,6,0,0,21,8,4,73,21,14,,,0,Matches
205,Jakub Kamiński,pl POL,"MF,DF",Wolfsburg,22,2002,12.6,2,0,0,10,3,0,52,11,9,,,1,Matches
206,Kevin Kampl,si SVN,MF,RB Leipzig,33,1990,17.7,5,0,0,20,7,1,29,22,20,,,0,Matches
207,Harry Kane,eng ENG,FW,Bayern Munich,31,1993,26.5,5,0,0,9,21,16,14,4,10,,,0,Matches
208,Atakan Karazor,tr TUR,MF,Stuttgart,27,1996,29.1,10,1,1,37,59,2,4,33,32,,,0,Matches
209,Mikkel Kaufmann,dk DEN,"FW,MF",Heidenheim,23,2001,4.1,2,0,0,5,14,0,2,2,4,,,0,Matches
210,Yannik Keitel,de GER,MF,Stuttgart,24,2000,3,1,0,0,2,6,0,2,4,6,,,0,Matches
