,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,21,2003,16.2,4,25,12,48,1.54,0.74,0.16,0.33,0,0,Matches,,,,,,,,
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,21.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
43,Joel Bagan,ie IRL,DF,Cardiff City,24,2000,17.9,0,2,2,100,0.11,0.11,0,0,0,0,Matches,,,,,,,,
44,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25,1999,5,0,2,1,50,0.4,0.2,0,0,0,0,Matches,,,,,,,,
45,Lewis Baker,eng ENG,MF,Stoke City,29,1995,16.4,6,27,12,44.4,1.65,0.73,0.15,0.33,2,2,Matches,,,,,,,,
46,Lewis Baker,eng ENG,MF,Blackburn Rovers,29,1995,6.6,1,12,4,33.3,1.81,0.6,0.08,0.25,0,0,Matches,,,,,,,,
47,Daniel Ballard,nir NIR,DF,Sunderland,24,1999,12.5,2,13,6,46.2,1.04,0.48,0.15,0.33,0,0,Matches,,,,,,,,
48,Patrick Bamford,eng ENG,"FW,MF",Leeds United,30,1993,2.8,0,12,2,16.7,4.29,0.71,0,0,0,0,Matches,,,,,,,,
49,Raees Bangura-Williams,,MF,Millwall,,,6.8,0,8,2,25,1.18,0.3,0,0,0,0,Matches,,,,,,,,
50,Tamer Bani Odeh,jo JOR,FW,West Bromwich Albion,20,2003,0.6,0,3,0,0,5.09,0,0,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,38.5,4,48,10,20.8,1.25,0.26,0.08,0.4,0,0,Matches,,,,,,,,
52,Jamal Baptiste,eng ENG,DF,Sheffield United,20,2003,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,8,1,6,2,33.3,0.75,0.25,0.17,0.5,0,0,Matches,,,,,,,,
54,Tom Barkhuizen,eng ENG,"MF,FW",Derby County,31,1993,4.5,0,4,1,25,0.89,0.22,0,0,0,0,Matches,,,,,,,,
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,27,1997,12.8,1,8,2,25,0.62,0.16,0.13,0.5,0,0,Matches,,,,,,,,
56,Ashley Barnes,eng ENG,FW,Norwich City,34,1989,1.9,0,4,1,25,2.08,0.52,0,0,0,0,Matches,,,,,,,,
57,Ashley Barnes,eng ENG,FW,Burnley,34,1989,1.5,1,3,1,33.3,2.01,0.67,0.33,1,0,0,Matches,,,,,,,,
58,Louie Barry,eng ENG,MF,Hull City,21,2003,1.8,0,3,1,33.3,1.64,0.55,0,0,0,0,Matches,,,,,,,,
59,Kyle Bartley,eng ENG,DF,West Bromwich Albion,33,1991,29,0,24,6,25,0.83,0.21,0,0,0,0,Matches,,,,,,,,
60,Norman Bassette,be BEL,FW,Coventry City,19,2004,10.1,2,18,7,38.9,1.79,0.69,0.11,0.29,0,0,Matches,,,,,,,,
61,Danny Batth,eng ENG,DF,Blackburn Rovers,33,1990,33.4,2,16,6,37.5,0.48,0.18,0.13,0.33,0,0,Matches,,,,,,,,
62,Patrick Bauer,de GER,DF,Preston North End,31,1992,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
63,Vakoun Bayo,ci CIV,FW,Watford,27,1997,24.9,10,59,22,37.3,2.37,0.88,0.15,0.41,1,1,Matches,,,,,,,,
64,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
65,Owen Beck,wls WAL,"DF,MF",Blackburn Rovers,21,2002,20.8,1,9,2,22.2,0.43,0.1,0.11,0.5,0,0,Matches,,,,,,,,
66,Chris Bedia,ci CIV,FW,Hull City,28,1996,10.2,3,19,8,42.1,1.86,0.78,0.11,0.25,1,1,Matches,,,,,,,,
67,Amari'i Bell,jm JAM,"DF,MF",Luton Town,30,1994,30.1,0,4,0,0,0.13,0,0,,0,0,Matches,,,,,,,,
68,Sam Bell,eng ENG,"FW,MF",Bristol City,22,2002,4.9,0,15,7,46.7,3.07,1.43,0,0,0,0,Matches,,,,,,,,
69,Jobe Bellingham,eng ENG,MF,Sunderland,18,2005,39,4,53,9,17,1.36,0.23,0.08,0.44,0,0,Matches,,,,,,,,
70,Bachir Belloumi,dz ALG,"FW,MF",Hull City,22,2002,9.1,2,24,10,41.7,2.65,1.1,0.08,0.2,0,0,Matches,,,,,,,,
71,Anis Ben Slimane,tn TUN,MF,Norwich City,23,2001,23.2,2,19,6,31.6,0.82,0.26,0.11,0.33,0,0,Matches,,,,,,,,
72,Anis Ben Slimane,tn TUN,MF,Sheffield United,23,2001,0.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
73,Joe Bennett,eng ENG,DF,Oxford United,34,1990,8.3,0,1,0,0,0.12,0,0,,0,0,Matches,,,,,,,,
74,Daniel Bennie,au AUS,FW,Queens Park Rangers,18,2006,2.4,0,3,1,33.3,1.25,0.42,0,0,0,0,Matches,,,,,,,,
75,Jóhann Berg Guðmundsson,is ISL,"FW,MF",Burnley,33,1990,0.2,1,1,1,100,5.63,5.63,1,1,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
76,Di'Shon Bernard,jm JAM,DF,Sheffield Weds,23,2000,24.8,2,17,4,23.5,0.68,0.16,0.12,0.5,0,0,Matches,,,,,,,,
77,Kian Best,eng ENG,DF,Preston North End,18,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
78,Florian Bianchini,fr FRA,FW,Swansea City,23,2001,12.3,3,18,9,50,1.47,0.73,0.17,0.33,0,0,Matches,,,,,,,,
79,Jake Bidwell,eng ENG,"DF,MF",Coventry City,31,1993,22.9,1,12,1,8.3,0.52,0.04,0.08,1,0,0,Matches,,,,,,,,
80,Luis Binks,eng ENG,DF,Coventry City,22,2001,20.6,0,8,3,37.5,0.39,0.15,0,0,0,0,Matches,,,,,,,,
81,Max Bird,eng ENG,MF,Bristol City,23,2000,38.7,1,43,12,27.9,1.11,0.31,0.02,0.08,0,0,Matches,,,,,,,,
82,Colby Bishop,eng ENG,FW,Portsmouth,27,1996,29.2,11,67,25,37.3,2.29,0.86,0.12,0.32,3,4,Matches,,,,,,,,
83,Billy Blacker,eng ENG,FW,Sheffield United,18,2006,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
84,Corey Blackett-Taylor,eng ENG,"MF,FW",Derby County,26,1997,4.5,1,11,4,36.4,2.45,0.89,0.09,0.25,0,0,Matches,,,,,,,,
85,Harvey Blair,eng ENG,MF,Portsmouth,20,2003,3.3,1,4,2,50,1.22,0.61,0.25,0.5,0,0,Matches,,,,,,,,
86,Malachi Boateng,eng ENG,MF,Plymouth Argyle,22,2002,2.2,0,3,0,0,1.36,0,0,,0,0,Matches,,,,,,,,
87,Eric Bocat,fr FRA,DF,Stoke City,25,1999,22.7,0,17,4,23.5,0.75,0.18,0,0,0,0,Matches,,,,,,,,
88,Jayden Bogle,eng ENG,DF,Leeds United,24,2000,42.5,6,47,14,29.8,1.11,0.33,0.13,0.43,0,0,Matches,,,,,,,,
89,Jonathan Bond,eng ENG,GK,Watford,31,1993,8.9,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
90,Neto Borges,br BRA,DF,Middlesbrough,27,1996,32.1,1,19,4,21.1,0.59,0.12,0.05,0.25,0,0,Matches,,,,,,,,
91,Raphael Borges Rodrigues,au AUS,MF,Coventry City,20,2003,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
92,Josh Bowler,eng ENG,"MF,FW",Preston North End,25,1999,5.1,0,11,5,45.5,2.17,0.99,0,0,0,0,Matches,,,,,,,,
93,Josh Bowler,eng ENG,MF,Luton Town,25,1999,1.7,0,3,0,0,1.8,0,0,,0,0,Matches,,,,,,,,
94,Sonny Bradley,eng ENG,DF,Derby County,32,1991,3.4,0,1,1,100,0.3,0.3,0,0,0,0,Matches,,,,,,,,
95,Tom Bradshaw,wls WAL,FW,Oxford United,32,1992,4,0,7,2,28.6,1.75,0.5,0,0,0,0,Matches,,,,,,,,
96,Tom Bradshaw,wls WAL,FW,Millwall,32,1992,5,1,14,3,21.4,2.8,0.6,0,0,1,1,Matches,,,,,,,,
97,Robbie Brady,ie IRL,MF,Preston North End,32,1992,18.2,0,21,4,19,1.15,0.22,0,0,0,0,Matches,,,,,,,,
98,Cohen Bramall,eng ENG,DF,Portsmouth,28,1996,5.1,0,4,0,0,0.78,0,0,,0,0,Matches,,,,,,,,
99,Cameron Brannagan,eng ENG,MF,Oxford United,28,1996,32.2,3,48,16,33.3,1.49,0.5,0.06,0.19,0,0,Matches,,,,,,,,
100,Ben Brereton,cl CHI,MF,Sheffield United,25,1999,10.9,4,21,7,33.3,1.92,0.64,0.19,0.57,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
101,Rhian Brewster,eng ENG,"MF,FW",Sheffield United,24,2000,17.3,4,36,7,19.4,2.08,0.4,0.11,0.57,0,0,Matches,,,,,,,,
102,Callum Brittain,eng ENG,DF,Blackburn Rovers,26,1998,29.5,2,18,3,16.7,0.61,0.1,0.11,0.67,0,0,Matches,,,,,,,,
103,Andre Brooks,eng ENG,MF,Sheffield United,20,2003,10.6,3,21,9,42.9,1.99,0.85,0.14,0.33,0,0,Matches,,,,,,,,
104,Ciaron Brown,nir NIR,DF,Oxford United,26,1998,40.1,4,23,7,30.4,0.57,0.17,0.17,0.57,0,0,Matches,,,,,,,,
105,Dajaune Brown,jm JAM,FW,Derby County,18,2005,4.3,1,7,2,28.6,1.63,0.47,0.14,0.5,0,0,Matches,,,,,,,,
106,Jacob Brown,sct SCO,"MF,FW",Luton Town,26,1998,13.5,4,34,9,26.5,2.51,0.67,0.12,0.44,0,0,Matches,,,,,,,,
107,Alan Browne,ie IRL,"MF,DF",Sunderland,29,1995,13.5,1,10,3,30,0.74,0.22,0.1,0.33,0,0,Matches,,,,,,,,
108,Josh Brownhill,eng ENG,MF,Burnley,28,1995,38.6,18,66,30,45.5,1.71,0.78,0.23,0.5,3,3,Matches,,,,,,,,
109,Joe Bryan,eng ENG,DF,Millwall,30,1993,36.4,1,24,6,25,0.66,0.16,0.04,0.17,0,0,Matches,,,,,,,,
110,Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,5.7,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
111,John Buckley,eng ENG,MF,Blackburn Rovers,24,1999,9.5,0,9,2,22.2,0.95,0.21,0,0,0,0,Matches,,,,,,,,
112,Mustapha Bundu,sl SLE,"FW,MF",Plymouth Argyle,27,1997,25.6,10,35,18,51.4,1.37,0.7,0.29,0.56,0,0,Matches,,,,,,,,
113,Wouter Burger,nl NED,MF,Stoke City,23,2001,33.4,1,24,5,20.8,0.72,0.15,0.04,0.2,0,0,Matches,,,,,,,,
114,Delano Burgzorg,sr SUR,MF,Middlesbrough,25,1998,24.3,5,68,21,30.9,2.8,0.86,0.06,0.19,1,1,Matches,,,,,,,,
115,Reece Burke,eng ENG,"DF,MF",Luton Town,27,1996,9.5,0,7,2,28.6,0.74,0.21,0,0,0,0,Matches,,,,,,,,
116,Finley Burns,eng ENG,"DF,MF",Hull City,21,2003,3.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
117,Harrison Burrows,eng ENG,DF,Sheffield United,22,2002,38.4,5,51,16,31.4,1.33,0.42,0.06,0.19,2,2,Matches,,,,,,,,
118,Mason Burstow,eng ENG,"FW,MF",Hull City,20,2003,10.6,2,29,13,44.8,2.74,1.23,0.07,0.15,0,0,Matches,,,,,,,,
119,Sam Byram,eng ENG,DF,Leeds United,30,1993,15.7,1,15,4,26.7,0.96,0.26,0.07,0.25,0,0,Matches,,,,,,,,
120,Ben Cabango,wls WAL,DF,Swansea City,24,2000,44.8,2,23,5,21.7,0.51,0.11,0.09,0.4,0,0,Matches,,,,,,,,
121,Tyrese Campbell,eng ENG,FW,Sheffield United,24,1999,17.6,10,48,25,52.1,2.73,1.42,0.21,0.4,0,0,Matches,,,,,,,,
122,Thomas Cannon,ie IRL,FW,Stoke City,21,2002,20.6,9,56,31,55.4,2.71,1.5,0.11,0.19,3,4,Matches,,,,,,,,
123,Thomas Cannon,ie IRL,FW,Sheffield United,21,2002,7.6,1,21,5,23.8,2.77,0.66,0.05,0.2,0,0,Matches,,,,,,,,
124,Todd Cantwell,eng ENG,MF,Blackburn Rovers,26,1998,27.5,3,33,10,30.3,1.2,0.36,0.03,0.1,2,2,Matches,,,,,,,,
125,Theo Carroll,eng ENG,MF,Preston North End,17,2007,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
126,Hayden Carter,eng ENG,DF,Blackburn Rovers,24,1999,15.1,0,9,1,11.1,0.59,0.07,0,0,0,0,Matches,,,,,,,,
127,Eiran Cashin,ie IRL,DF,Derby County,22,2001,19.8,1,16,7,43.8,0.81,0.35,0.06,0.14,0,0,Matches,,,,,,,,
128,Žan Celar,si SVN,FW,Queens Park Rangers,25,1999,10.5,2,27,8,29.6,2.57,0.76,0.07,0.25,0,1,Matches,,,,,,,,
129,Ilias Chair,ma MAR,"MF,FW",Queens Park Rangers,26,1997,18.9,2,43,17,39.5,2.28,0.9,0.05,0.12,0,0,Matches,,,,,,,,
130,Giorgi Chakvetadze,ge GEO,"MF,FW",Watford,24,1999,36.5,2,64,24,37.5,1.76,0.66,0.03,0.08,0,0,Matches,,,,,,,,
