,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
178,Jesper Daland,no NOR,DF,Cardiff City,24,2000,15.9,0,2,0,0,0.13,0,0,,0,0,Matches,,,,,,,,
179,Owen Dale,eng ENG,MF,Oxford United,25,1998,3.9,0,6,1,16.7,1.54,0.26,0,0,0,0,Matches,,,,,,,,
180,Harry Darling,eng ENG,DF,Swansea City,24,1999,37.1,5,38,16,42.1,1.03,0.43,0.13,0.31,0,0,Matches,,,,,,,,
181,Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
182,Jay Dasilva,wls WAL,"DF,MF",Coventry City,26,1998,20.1,0,5,1,20,0.25,0.05,0,0,0,0,Matches,,,,,,,,
183,Adam Davies,wls WAL,GK,Sheffield United,32,1992,3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
184,Isaak Davies,wls WAL,MF,Cardiff City,22,2001,3.2,2,7,3,42.9,2.2,0.94,0.29,0.67,0,0,Matches,,,,,,,,
185,Tom Davies,eng ENG,MF,Sheffield United,26,1998,7.5,1,10,4,40,1.34,0.53,0.1,0.25,0,0,Matches,,,,,,,,
186,James Debayo,eng ENG,DF,Leeds United,19,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
187,Hannes Delcroix,ht HAI,DF,Swansea City,25,1999,9.9,0,2,0,0,0.2,0,0,,0,0,Matches,,,,,,,,
188,Tom Dele-Bashiru,ng NGA,MF,Watford,24,1999,22.9,4,25,8,32,1.09,0.35,0.04,0.13,3,3,Matches,,,,,,,,
189,Karamoko Dembélé,eng ENG,MF,Queens Park Rangers,21,2003,13.2,3,22,8,36.4,1.67,0.61,0.14,0.38,0,0,Matches,,,,,,,,
190,Siriki Dembélé,ci CIV,MF,Oxford United,27,1996,15.2,2,27,8,29.6,1.77,0.53,0.07,0.25,0,0,Matches,,,,,,,,
191,Rav van den Berg,nl NED,DF,Middlesbrough,20,2004,23.6,0,4,0,0,0.17,0,0,,0,0,Matches,,,,,,,,
192,Emmanuel Dennis,ng NGA,MF,Blackburn Rovers,26,1997,1.8,0,4,0,0,2.25,0,0,,0,0,Matches,,,,,,,,
193,Terry Devlin,nir NIR,"DF,MF",Portsmouth,20,2003,17.4,0,9,2,22.2,0.52,0.12,0,0,0,0,Matches,,,,,,,,
194,Ousmane Diakité,ml MLI,"MF,DF",West Bromwich Albion,24,2000,9.6,0,8,2,25,0.84,0.21,0,0,0,0,Matches,,,,,,,,
195,Grady Diangana,cd COD,"MF,FW",West Bromwich Albion,26,1998,16.6,4,26,9,34.6,1.57,0.54,0.15,0.44,0,0,Matches,,,,,,,,
196,Robert Dickie,eng ENG,DF,Bristol City,28,1996,34.7,2,22,6,27.3,0.63,0.17,0.09,0.33,0,0,Matches,,,,,,,,
197,Seny Dieng,sn SEN,GK,Middlesbrough,29,1994,17,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
198,Anfernee Dijksteel,sr SUR,DF,Middlesbrough,27,1996,28.1,2,3,2,66.7,0.11,0.07,0.67,1,0,0,Matches,,,,,,,,
199,Daryl Dike,us USA,MF,West Bromwich Albion,24,2000,2.5,1,7,2,28.6,2.78,0.79,0.14,0.5,0,0,Matches,,,,,,,,
200,Jaden Dixon,eng ENG,DF,Stoke City,17,2007,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
201,Elijah Dixon-Bonner,eng ENG,MF,Queens Park Rangers,23,2001,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
202,Lewis Dobbin,eng ENG,"FW,MF",Norwich City,21,2003,7.1,2,14,4,28.6,1.97,0.56,0.14,0.5,0,0,Matches,,,,,,,,
203,Lewis Dobbin,eng ENG,MF,West Bromwich Albion,21,2003,3.8,0,4,0,0,1.06,0,0,,0,0,Matches,,,,,,,,
204,Tyrhys Dolan,eng ENG,MF,Blackburn Rovers,22,2001,35.3,7,50,22,44,1.42,0.62,0.12,0.27,1,1,Matches,,,,,,,,
205,Alfie Doughty,eng ENG,MF,Luton Town,24,1999,22.6,1,16,3,18.8,0.71,0.13,0.06,0.33,0,0,Matches,,,,,,,,
206,Mamadou Doumbia,ml MLI,FW,Watford,18,2006,10.8,2,16,4,25,1.49,0.37,0.13,0.5,0,0,Matches,,,,,,,,
207,Oliver Dovin,se SWE,GK,Coventry City,22,2002,27.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
208,Callum Doyle,eng ENG,DF,Norwich City,20,2003,38.2,1,21,6,28.6,0.55,0.16,0.05,0.17,0,0,Matches,,,,,,,,
209,Andre Dozzell,eng ENG,MF,Portsmouth,25,1999,31.3,2,16,4,25,0.51,0.13,0.13,0.5,0,0,Matches,,,,,,,,
210,Cody Drameh,eng ENG,DF,Hull City,22,2001,18.3,1,13,1,7.7,0.71,0.05,0.08,1,0,0,Matches,,,,,,,,
211,Shane Duffy,ie IRL,DF,Norwich City,32,1992,44.9,4,36,9,25,0.8,0.2,0.11,0.44,0,0,Matches,,,,,,,,
212,Jimmy Dunne,ie IRL,DF,Queens Park Rangers,26,1997,45,5,55,19,34.5,1.22,0.42,0.09,0.26,0,0,Matches,,,,,,,,
213,Leonard Duru,eng ENG,DF,Blackburn Rovers,19,2005,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
214,Pierre Dwomoh,be BEL,MF,Watford,20,2004,5.9,0,6,1,16.7,1.02,0.17,0,0,0,0,Matches,,,,,,,,
215,Lyndon Dykes,sct SCO,"FW,MF",Queens Park Rangers,28,1995,0.1,1,1,1,100,15,15,1,1,0,0,Matches,,,,,,,,
216,George Earthy,eng ENG,"MF,FW",Bristol City,19,2004,16.2,3,24,7,29.2,1.48,0.43,0.13,0.43,0,0,Matches,,,,,,,,
217,Malcolm Ebiowei,eng ENG,MF,Oxford United,20,2003,0.8,0,3,2,66.7,3.97,2.65,0,0,0,0,Matches,,,,,,,,
218,Festy Ebosele,ie IRL,"MF,DF",Watford,21,2002,8.4,1,7,1,14.3,0.83,0.12,0.14,1,0,0,Matches,,,,,,,,
219,Josh Eccles,eng ENG,MF,Coventry City,24,2000,26,3,41,11,26.8,1.58,0.42,0.07,0.27,0,0,Matches,,,,,,,,
220,George Edmundson,eng ENG,DF,Middlesbrough,26,1997,23.2,1,11,2,18.2,0.47,0.09,0.09,0.5,0,0,Matches,,,,,,,,
221,Joe Edwards,eng ENG,DF,Plymouth Argyle,33,1990,12.6,1,7,4,57.1,0.55,0.32,0.14,0.25,0,0,Matches,,,,,,,,
222,Kyle Edwards,eng ENG,MF,Oxford United,26,1998,2.2,0,1,0,0,0.45,0,0,,0,0,Matches,,,,,,,,
223,Marcus Edwards,eng ENG,MF,Burnley,25,1998,10.4,1,18,5,27.8,1.73,0.48,0.06,0.2,0,0,Matches,,,,,,,,
224,Ronnie Edwards,eng ENG,"DF,MF",Queens Park Rangers,21,2003,20.2,2,13,3,23.1,0.64,0.15,0.15,0.67,0,0,Matches,,,,,,,,
225,John Egan,ie IRL,DF,Burnley,31,1992,1.8,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
226,John Egan,ie IRL,DF,Hull City,31,1992,8.1,0,5,1,20,0.62,0.12,0,0,0,0,Matches,,,,,,,,
227,CJ Egan-Riley,eng ENG,DF,Burnley,21,2003,40,1,15,3,20,0.37,0.07,0.07,0.33,0,0,Matches,,,,,,,,
228,Callum Elder,au AUS,"DF,MF",Derby County,29,1995,23.9,0,9,1,11.1,0.38,0.04,0,0,0,0,Matches,,,,,,,,
229,Aidomo Emakhu,ie IRL,MF,Millwall,20,2003,7.7,0,16,1,6.3,2.07,0.13,0,0,0,0,Matches,,,,,,,,
230,Lukas Engel,dk DEN,DF,Middlesbrough,25,1998,4.1,0,8,0,0,1.96,0,0,,0,0,Matches,,,,,,,,
231,Niall Ennis,eng ENG,FW,Stoke City,25,1999,2.2,0,3,1,33.3,1.38,0.46,0,0,0,0,Matches,,,,,,,,
232,Romain Esse,eng ENG,MF,Millwall,19,2005,22.4,4,30,12,40,1.34,0.54,0.13,0.33,0,0,Matches,,,,,,,,
233,Maxime Estève,fr FRA,DF,Burnley,22,2002,45.1,1,7,1,14.3,0.16,0.02,0.14,1,0,0,Matches,,,,,,,,
234,Oscar Estupiñan,co COL,FW,Hull City,27,1996,1.6,1,4,2,50,2.45,1.22,0,0,1,1,Matches,,,,,,,,
235,Ched Evans,wls WAL,FW,Preston North End,35,1988,1.1,0,6,4,66.7,5.29,3.53,0,0,0,0,Matches,,,,,,,,
236,George Evans,eng ENG,GK,Millwall,19,2005,4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
237,Milan van Ewijk,nl NED,"DF,MF",Coventry City,23,2000,44.6,2,29,8,27.6,0.65,0.18,0.07,0.25,0,0,Matches,,,,,,,,
238,Malachi Fagan-Walcott,eng ENG,DF,Cardiff City,22,2002,0.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
239,Akin Famewo,eng ENG,DF,Sheffield Weds,25,1998,10.4,0,4,1,25,0.38,0.1,0,0,0,0,Matches,,,,,,,,
240,Lamine Fanne,es ESP,"MF,FW",Luton Town,20,2004,6.5,0,7,1,14.3,1.08,0.15,0,0,0,0,Matches,,,,,,,,
241,Jacob Farrell,au AUS,DF,Portsmouth,21,2002,1,0,1,0,0,1,0,0,,0,0,Matches,,,,,,,,
242,Christian Fassnacht,ch SUI,FW,Norwich City,30,1993,0.9,0,3,1,33.3,3.29,1.1,0,0,0,0,Matches,,,,,,,,
243,Tom Fellows,eng ENG,MF,West Bromwich Albion,21,2003,31.9,4,43,11,25.6,1.35,0.34,0.09,0.36,0,0,Matches,,,,,,,,
244,Marselino Ferdinan,id IDN,MF,Oxford United,19,2004,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
245,Sam Field,eng ENG,MF,Queens Park Rangers,26,1998,32.3,3,27,11,40.7,0.84,0.34,0.11,0.27,0,0,Matches,,,,,,,,
246,Tegan Finn,,MF,Plymouth Argyle,,,1.6,0,1,1,100,0.62,0.62,0,0,0,0,Matches,,,,,,,,
247,Junior Firpo,do DOM,DF,Leeds United,27,1996,29.1,4,27,10,37,0.93,0.34,0.15,0.4,0,0,Matches,,,,,,,,
248,Will Fish,eng ENG,DF,Cardiff City,21,2003,15.3,0,10,3,30,0.65,0.2,0,0,0,0,Matches,,,,,,,,
249,Kellen Fisher,eng ENG,"DF,MF",Norwich City,20,2004,29.9,0,19,4,21.1,0.64,0.13,0,0,0,0,Matches,,,,,,,,
250,Zian Flemming,nl NED,FW,Burnley,25,1998,26.9,12,78,31,39.7,2.9,1.15,0.15,0.39,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
251,Tyrese Fornah,sl SLE,MF,Derby County,24,1999,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
252,Adam Forshaw,eng ENG,MF,Plymouth Argyle,32,1991,7.6,0,7,3,42.9,0.92,0.4,0,0,0,0,Matches,,,,,,,,
253,Adam Forshaw,eng ENG,MF,Blackburn Rovers,32,1991,6.3,1,6,2,33.3,0.96,0.32,0.17,0.5,0,0,Matches,,,,,,,,
254,Amankwah Forson,gh GHA,"MF,FW",Norwich City,21,2002,8.1,2,16,5,31.3,1.98,0.62,0.13,0.4,0,0,Matches,,,,,,,,
255,Marcus Forss,fi FIN,"MF,FW",Middlesbrough,25,1999,7.4,1,24,7,29.2,3.24,0.95,0.04,0.14,0,0,Matches,,,,,,,,
256,Craig Forsyth,sct SCO,"DF,MF",Derby County,35,1989,28.4,3,18,6,33.3,0.63,0.21,0.17,0.5,0,0,Matches,,,,,,,,
257,Gabriel Forsyth,sct SCO,MF,Norwich City,17,2006,1.8,0,4,1,25,2.21,0.55,0,0,0,0,Matches,,,,,,,,
258,Lyle Foster,za RSA,"FW,MF",Burnley,23,2000,17.7,2,39,14,35.9,2.21,0.79,0.05,0.14,0,0,Matches,,,,,,,,
259,Morgan Fox,wls WAL,DF,Queens Park Rangers,30,1993,14.9,1,5,3,60,0.33,0.2,0.2,0.33,0,0,Matches,,,,,,,,
260,Gianluca Frabotta,it ITA,"DF,MF",West Bromwich Albion,25,1999,0.7,0,1,0,0,1.38,0,0,,0,0,Matches,,,,,,,,
261,Gonçalo Franco,pt POR,MF,Swansea City,23,2000,34.9,2,43,14,32.6,1.23,0.4,0.05,0.14,0,0,Matches,,,,,,,,
262,Michael Frey,ch SUI,FW,Queens Park Rangers,30,1994,19.8,8,43,15,34.9,2.17,0.76,0.16,0.47,1,1,Matches,,,,,,,,
263,Dael Fry,eng ENG,DF,Middlesbrough,26,1997,15.7,0,4,2,50,0.25,0.13,0,0,0,0,Matches,,,,,,,,
264,Mads Frøkjær-Jensen,dk DEN,"MF,FW",Preston North End,25,1999,26.2,2,22,3,13.6,0.84,0.11,0.09,0.67,0,0,Matches,,,,,,,,
265,Leo Fuhr Hjelde,no NOR,DF,Sunderland,20,2003,4.6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
266,Jay Fulton,sct SCO,MF,Swansea City,30,1994,14.3,1,5,1,20,0.35,0.07,0.2,1,0,0,Matches,,,,,,,,
267,Darnell Furlong,eng ENG,DF,West Bromwich Albion,28,1995,41.2,1,38,6,15.8,0.92,0.15,0.03,0.17,0,0,Matches,,,,,,,,
268,Sam Gallagher,eng ENG,"FW,MF",Stoke City,28,1995,11.4,3,24,8,33.3,2.11,0.7,0.13,0.38,0,0,Matches,,,,,,,,
269,Brendan Galloway,zw ZIM,DF,Plymouth Argyle,28,1996,10.9,0,2,0,0,0.18,0,0,,0,0,Matches,,,,,,,,
270,Ben Gannon-Doak,sct SCO,MF,Middlesbrough,18,2005,19.8,3,28,14,50,1.42,0.71,0.11,0.21,0,0,Matches,,,,,,,,
271,Djeidi Gassama,fr FRA,MF,Sheffield Weds,20,2003,33.1,7,71,23,32.4,2.15,0.7,0.1,0.3,0,0,Matches,,,,,,,,
272,Joe Gelhardt,eng ENG,"FW,MF",Leeds United,22,2002,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
273,Joe Gelhardt,eng ENG,"MF,FW",Hull City,22,2002,17.7,5,46,11,23.9,2.6,0.62,0.07,0.27,2,2,Matches,,,,,,,,
274,Anwar El Ghazi,nl NED,"MF,FW",Cardiff City,29,1995,13.1,3,38,14,36.8,2.91,1.07,0.08,0.21,0,0,Matches,,,,,,,,
275,Liam Gibbs,eng ENG,MF,Norwich City,21,2002,2.4,0,2,1,50,0.85,0.42,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
276,Ben Gibson,eng ENG,DF,Stoke City,31,1993,21.6,3,8,4,50,0.37,0.18,0.38,0.75,0,0,Matches,,,,,,,,
277,Lewis Gibson,eng ENG,DF,Preston North End,24,2000,18.2,1,13,4,30.8,0.72,0.22,0.08,0.25,0,0,Matches,,,,,,,,
278,Lewis Gibson,eng ENG,DF,Plymouth Argyle,24,2000,18,1,9,2,22.2,0.5,0.11,0.11,0.5,0,0,Matches,,,,,,,,
279,Alexander Gilbert,ie IRL,MF,Middlesbrough,22,2001,0.9,1,1,1,100,1.17,1.17,1,1,0,0,Matches,,,,,,,,
280,Alfie Gilchrist,eng ENG,DF,Sheffield United,20,2003,23.4,0,9,2,22.2,0.39,0.09,0,0,0,0,Matches,,,,,,,,
281,Ryan Giles,eng ENG,DF,Middlesbrough,24,2000,3.4,0,2,0,0,0.59,0,0,,0,0,Matches,,,,,,,,
282,Ryan Giles,eng ENG,DF,Hull City,24,2000,10,0,5,2,40,0.5,0.2,0,0,0,0,Matches,,,,,,,,
283,Josh Ginnelly,eng ENG,"FW,MF",Swansea City,27,1997,0.4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
284,Tom Glover,au AUS,GK,Middlesbrough,26,1997,6.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
285,Wilfried Gnonto,it ITA,MF,Leeds United,20,2003,25.3,9,83,29,34.9,3.28,1.15,0.11,0.31,0,0,Matches,,,,,,,,
286,Lynden Gooch,us USA,"DF,MF",Stoke City,28,1995,11.5,0,8,2,25,0.69,0.17,0,0,0,0,Matches,,,,,,,,
287,Tyler Goodhram,eng ENG,MF,Oxford United,20,2003,33.9,3,50,16,32,1.47,0.47,0.06,0.19,0,0,Matches,,,,,,,,
288,Will Goodwin,eng ENG,FW,Oxford United,22,2002,0.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
289,Kaide Gordon,eng ENG,FW,Norwich City,19,2004,2,1,3,1,33.3,1.49,0.5,0.33,1,0,0,Matches,,,,,,,,
290,Kaide Gordon,eng ENG,FW,Portsmouth,19,2004,1.7,0,1,0,0,0.58,0,0,,0,0,Matches,,,,,,,,
291,Kenzo Goudmijn,nl NED,MF,Derby County,22,2001,25.8,2,37,8,21.6,1.43,0.31,0.05,0.25,0,0,Matches,,,,,,,,
292,Dimitris Goutas,gr GRE,DF,Cardiff City,30,1994,32.4,1,23,5,21.7,0.71,0.15,0.04,0.2,0,0,Matches,,,,,,,,
293,Karlan Grant,eng ENG,"MF,FW",West Bromwich Albion,26,1997,32.6,7,82,30,36.6,2.52,0.92,0.09,0.23,0,0,Matches,,,,,,,,
294,Andre Gray,jm JAM,FW,Plymouth Argyle,33,1991,6.1,3,8,6,75,1.31,0.98,0.38,0.5,0,0,Matches,,,,,,,,
295,Harry Gray,eng ENG,FW,Leeds United,15,2008,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
296,Sam Greenwood,eng ENG,"MF,FW",Preston North End,22,2002,27,5,71,28,39.4,2.63,1.04,0.04,0.11,2,2,Matches,,,,,,,,
297,Joshua Griffiths,eng ENG,GK,West Bromwich Albion,22,2001,6,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
298,Matt Grimes,eng ENG,MF,Coventry City,29,1995,15.2,2,8,4,50,0.53,0.26,0.25,0.5,0,0,Matches,,,,,,,,
299,Matt Grimes,eng ENG,MF,Swansea City,29,1995,29,2,20,5,25,0.69,0.17,0.05,0.2,1,1,Matches,,,,,,,,
300,Daniel Grimshaw,eng ENG,GK,Plymouth Argyle,26,1998,21,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
301,Ilia Gruev,bg BUL,MF,Leeds United,24,2000,18.9,0,21,7,33.3,1.11,0.37,0,0,0,0,Matches,,,,,,,,
302,Makhtar Gueye,sn SEN,FW,Blackburn Rovers,26,1997,24.4,6,62,22,35.5,2.54,0.9,0.1,0.27,0,0,Matches,,,,,,,,
303,Josuha Guilavogui,fr FRA,"DF,MF",Leeds United,33,1990,0.7,0,1,0,0,1.38,0,0,,0,0,Matches,,,,,,,,
304,Angus Gunn,sct SCO,GK,Norwich City,28,1996,34.5,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
305,Darko Gyabi,eng ENG,MF,Plymouth Argyle,20,2004,31.6,1,33,9,27.3,1.05,0.29,0.03,0.11,0,0,Matches,,,,,,,,
306,Hayden Hackney,eng ENG,MF,Middlesbrough,22,2002,42.1,5,79,24,30.4,1.87,0.57,0.06,0.21,0,0,Matches,,,,,,,,
307,Rami Al Hajj,se SWE,MF,Plymouth Argyle,22,2001,15.3,3,25,11,44,1.64,0.72,0.12,0.27,0,0,Matches,,,,,,,,
308,Ali Al Hamadi,iq IRQ,FW,Stoke City,22,2002,9.2,2,19,6,31.6,2.06,0.65,0.11,0.33,0,0,Matches,,,,,,,,
309,Gustavo Hamer,nl NED,MF,Sheffield United,27,1997,34.7,9,91,28,30.8,2.62,0.81,0.1,0.32,0,0,Matches,,,,,,,,
310,Micah Hamilton,eng ENG,MF,Middlesbrough,20,2003,3.5,0,5,1,20,1.42,0.28,0,0,0,0,Matches,,,,,,,,
311,Grant Hanley,sct SCO,DF,Norwich City,32,1991,0.9,0,1,1,100,1.14,1.14,0,0,0,0,Matches,,,,,,,,
312,Ryan Hardie,sct SCO,"FW,MF",Plymouth Argyle,27,1997,25.2,10,61,24,39.3,2.42,0.95,0.11,0.29,3,3,Matches,,,,,,,,
313,Wes Harding,jm JAM,DF,Millwall,27,1996,2.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
314,Marcus Harness,eng ENG,"MF,FW",Derby County,28,1996,26.2,4,35,9,25.7,1.34,0.34,0.11,0.44,0,0,Matches,,,,,,,,
315,Mark Harris,wls WAL,FW,Oxford United,25,1998,32.1,6,40,19,47.5,1.24,0.59,0.15,0.32,0,0,Matches,,,,,,,,
316,Daiki Hashioka,jp JPN,"DF,MF",Luton Town,25,1999,13.4,0,6,1,16.7,0.45,0.07,0,0,0,0,Matches,,,,,,,,
317,Joseph Hatch,wls WAL,MF,Plymouth Argyle,17,2006,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
318,Ryo Hatsuse,jp JPN,DF,Sheffield Weds,27,1997,3.9,0,1,0,0,0.26,0,0,,0,0,Matches,,,,,,,,
319,Isaac Hayden,jm JAM,MF,Portsmouth,29,1995,10.4,0,5,0,0,0.48,0,0,,0,0,Matches,,,,,,,,
320,Conor Hazard,nir NIR,GK,Plymouth Argyle,26,1998,25,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
321,Ryan Hedges,wls WAL,MF,Blackburn Rovers,29,1995,28.5,1,33,12,36.4,1.16,0.42,0.03,0.08,0,0,Matches,,,,,,,,
322,Torbjørn Heggem,no NOR,DF,West Bromwich Albion,25,1999,44.6,1,26,6,23.1,0.58,0.13,0.04,0.17,0,0,Matches,,,,,,,,
323,Michał Helik,pl POL,DF,Oxford United,28,1995,20,5,19,8,42.1,0.95,0.4,0.26,0.63,0,0,Matches,,,,,,,,
324,Onel Hernández,cu CUB,FW,Norwich City,31,1993,7.1,0,14,1,7.1,1.97,0.14,0,0,0,0,Matches,,,,,,,,
325,Brad Hills,eng ENG,DF,Norwich City,20,2004,0.2,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
326,Yu Hirakawa,jp JPN,MF,Bristol City,23,2001,18.4,2,29,7,24.1,1.58,0.38,0.07,0.29,0,0,Matches,,,,,,,,
327,Václav Hladký,cz CZE,GK,Burnley,33,1990,1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
328,Rob Holding,eng ENG,DF,Sheffield United,28,1995,4.7,0,3,0,0,0.64,0,0,,0,0,Matches,,,,,,,,
329,Mason Holgate,jm JAM,DF,West Bromwich Albion,27,1996,22,1,8,2,25,0.36,0.09,0.13,0.5,0,0,Matches,,,,,,,,
330,Duane Holmes,us USA,MF,Preston North End,29,1994,9.3,1,6,2,33.3,0.65,0.22,0.17,0.5,0,0,Matches,,,,,,,,
331,Tom Holmes,eng ENG,DF,Luton Town,24,2000,14.6,1,10,3,30,0.68,0.21,0.1,0.33,0,0,Matches,,,,,,,,
332,George Honeyman,eng ENG,MF,Millwall,29,1994,26.9,2,20,8,40,0.74,0.3,0.1,0.25,0,0,Matches,,,,,,,,
333,Ethan Horvath,us USA,GK,Cardiff City,29,1995,17,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
334,Jordan Houghton,eng ENG,MF,Plymouth Argyle,28,1995,17,0,7,3,42.9,0.41,0.18,0,0,0,0,Matches,,,,,,,,
335,Andreas Hountondji,bj BEN,"MF,FW",Burnley,22,2002,2.3,0,8,1,12.5,3.44,0.43,0,0,0,0,Matches,,,,,,,,
336,Jonny Howson,eng ENG,"DF,MF",Middlesbrough,36,1988,15.5,1,6,3,50,0.39,0.19,0.17,0.33,0,0,Matches,,,,,,,,
337,Andrew Hughes,wls WAL,"DF,MF",Preston North End,32,1992,36,0,9,3,33.3,0.25,0.08,0,0,0,0,Matches,,,,,,,,
338,Charlie Hughes,eng ENG,DF,Hull City,20,2003,26.1,1,17,5,29.4,0.65,0.19,0.06,0.2,0,0,Matches,,,,,,,,
339,Trai Hume,nir NIR,DF,Sunderland,22,2002,42.3,3,30,9,30,0.71,0.21,0.1,0.33,0,0,Matches,,,,,,,,
340,Bashir Humphreys,eng ENG,DF,Burnley,21,2003,19.7,1,11,3,27.3,0.56,0.15,0.09,0.33,0,0,Matches,,,,,,,,
341,Shaun Hutchinson,eng ENG,DF,Millwall,33,1990,4.4,0,2,1,50,0.45,0.23,0,0,0,0,Matches,,,,,,,,
342,Dominic Hyam,sct SCO,DF,Blackburn Rovers,28,1995,46,2,21,3,14.3,0.46,0.07,0.1,0.67,0,0,Matches,,,,,,,,
343,Adam Idah,ie IRL,FW,Norwich City,23,2001,0.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
344,Kelechi Iheanacho,ng NGA,"MF,FW",Middlesbrough,27,1996,8.5,1,24,4,16.7,2.82,0.47,0.04,0.25,0,0,Matches,,,,,,,,
345,Michael Ihiekwe,eng ENG,DF,Sheffield Weds,31,1992,20.2,2,21,8,38.1,1.04,0.4,0.1,0.25,0,0,Matches,,,,,,,,
346,Samuel Iling-Junior,eng ENG,"DF,MF",Middlesbrough,20,2003,11.7,1,13,3,23.1,1.11,0.26,0.08,0.33,0,0,Matches,,,,,,,,
347,Tom Ince,eng ENG,MF,Watford,32,1992,14.3,1,16,5,31.3,1.12,0.35,0,0,1,1,Matches,,,,,,,,
348,Svante Ingelsson,se SWE,MF,Sheffield Weds,26,1998,18.8,1,23,9,39.1,1.22,0.48,0.04,0.11,0,0,Matches,,,,,,,,
349,Matt Ingram,eng ENG,GK,Oxford United,30,1993,1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
350,Dominic Iorfa,eng ENG,DF,Sheffield Weds,29,1995,15.9,1,10,4,40,0.63,0.25,0.1,0.25,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
351,Wilson Isidor,fr FRA,FW,Sunderland,23,2000,34.6,12,94,41,43.6,2.72,1.19,0.13,0.29,0,2,Matches,,,,,,,,
352,Frederick Issaka,wls WAL,MF,Plymouth Argyle,18,2006,6.6,1,7,2,28.6,1.06,0.3,0.14,0.5,0,0,Matches,,,,,,,,
353,Mihailo Ivanović,rs SRB,"FW,MF",Millwall,19,2004,24.2,12,52,27,51.9,2.15,1.12,0.21,0.41,1,1,Matches,,,,,,,,
354,Kayden Jackson,eng ENG,"MF,FW",Derby County,30,1994,28.6,3,42,19,45.2,1.47,0.66,0.07,0.16,0,0,Matches,,,,,,,,
355,Matty Jacob,eng ENG,DF,Hull City,23,2001,5,1,6,4,66.7,1.21,0.81,0.17,0.25,0,0,Matches,,,,,,,,
356,Daniel James,wls WAL,MF,Leeds United,26,1997,29,12,99,37,37.4,3.42,1.28,0.12,0.32,0,0,Matches,,,,,,,,
357,William Jarvis,eng ENG,MF,Hull City,21,2002,1.8,0,2,2,100,1.12,1.12,0,0,0,0,Matches,,,,,,,,
