,,,,,,,,Standard,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
121,Jayden Clarke,eng ENG,MF,Gillingham,23,2001,21,7,33,14,42.4,1.57,0.67,0.21,0.5,0,0,Matches
122,Ollie Clarke,eng ENG,"MF,DF",Swindon Town,32,1992,23.2,4,53,12,22.6,2.28,0.52,0.08,0.33,0,0,Matches
123,Reyes Cleary,eng ENG,"FW,MF",Walsall,20,2004,1,0,3,1,33.3,3.07,1.02,0,0,0,0,Matches
124,Harry Clifton,wls WAL,MF,Doncaster Rovers,26,1998,24.4,6,51,17,33.3,2.09,0.7,0.12,0.35,0,0,Matches
125,Ben Close,eng ENG,MF,Doncaster Rovers,27,1996,2.7,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Ryan Colclough,eng ENG,"MF,FW",Chesterfield,29,1994,14.3,3,43,12,27.9,3,0.84,0.07,0.25,0,0,Matches
127,Ethan Coleman,eng ENG,MF,Gillingham,24,2000,15.9,0,10,3,30,0.63,0.19,0,0,0,0,Matches
128,Joel Colwill,wls WAL,MF,Cheltenham Town,19,2004,18.3,6,39,12,30.8,2.13,0.65,0.15,0.5,0,0,Matches
129,Brandon Comley,ms MSR,MF,Walsall,28,1995,6.7,0,3,0,0,0.45,0,0,,0,0,Matches
130,Cameron Congreve,wls WAL,MF,Bromley,20,2004,26.8,5,43,10,23.3,1.61,0.37,0.12,0.5,0,0,Matches
131,Séamus Conneely,ie IRL,MF,Accrington Stanley,36,1988,18.1,1,17,4,23.5,0.94,0.22,0.06,0.25,0,0,Matches
132,James Connolly,wls WAL,DF,Crewe Alexandra,22,2001,13.4,0,6,2,33.3,0.45,0.15,0,0,0,0,Matches
133,Max Conway,eng ENG,"MF,DF",Crewe Alexandra,20,2003,41.5,2,29,6,20.7,0.7,0.14,0.07,0.33,0,0,Matches
134,Andy Cook,eng ENG,FW,Bradford City,33,1990,20.5,12,63,28,44.4,3.07,1.36,0.19,0.43,0,0,Matches
135,Connor Cook,,MF,Chesterfield,,,0,0,0,0,,0,0,,,0,0,Matches
136,Callum Cooke,eng ENG,MF,Morecambe,27,1997,10.5,1,14,6,42.9,1.33,0.57,0,0,1,1,Matches
137,Ryan Cooney,eng ENG,"MF,DF",Crewe Alexandra,24,2000,30.1,3,19,8,42.1,0.63,0.27,0.05,0.13,2,3,Matches
138,Dean Cornelius,sct SCO,MF,Harrogate Town FC,23,2001,28.6,1,15,4,26.7,0.52,0.14,0.07,0.25,0,0,Matches
139,Dominic Corness,eng ENG,MF,Gillingham,21,2003,3.2,0,1,0,0,0.31,0,0,,0,0,Matches
140,Dara Costelloe,ie IRL,"FW,MF",Accrington Stanley,21,2002,13.5,5,30,13,43.3,2.23,0.97,0.13,0.31,1,1,Matches
141,Joel Cotterill,wls WAL,MF,Swindon Town,19,2004,29.2,3,37,7,18.9,1.27,0.24,0.08,0.43,0,0,Matches
142,Ronan Coughlan,ie IRL,FW,Fleetwood Town,28,1995,17.8,8,49,24,49,2.76,1.35,0.12,0.25,2,2,Matches
143,Brandon Cover,jm JAM,"MF,DF",Port Vale,20,2003,15.9,2,8,2,25,0.5,0.13,0.25,1,0,0,Matches
144,Brandon Cover,jm JAM,MF,Fleetwood Town,20,2003,3.5,0,2,0,0,0.57,0,0,,0,0,Matches
145,George Cox,eng ENG,"MF,DF",Swindon Town,26,1998,18.3,2,32,5,15.6,1.75,0.27,0.03,0.2,1,1,Matches
146,Liam Coyle,eng ENG,MF,Accrington Stanley,24,1999,26.3,0,8,2,25,0.3,0.08,0,0,0,0,Matches
147,William Crellin,eng ENG,GK,Accrington Stanley,24,2000,34,0,0,0,,0,0,,,0,0,Matches
148,Charlie Crew,wls WAL,MF,Doncaster Rovers,18,2006,9,0,4,1,25,0.44,0.11,0,0,0,0,Matches
149,Romoney Crichlow-Noble,eng ENG,DF,Bradford City,25,1999,6.8,1,3,3,100,0.44,0.44,0.33,0.33,0,0,Matches
150,Ryan Croasdale,eng ENG,MF,Port Vale,29,1994,39.3,4,38,11,28.9,0.97,0.28,0.11,0.36,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Daniel Crowley,eng ENG,MF,Notts County,26,1997,17,4,37,12,32.4,2.18,0.71,0.11,0.33,0,0,Matches
152,Daniel Crowley,eng ENG,MF,Milton Keynes Dons,26,1997,17.5,0,6,1,16.7,0.34,0.06,0,0,0,0,Matches
153,Robbie Cundy,eng ENG,"MF,DF",Notts County,27,1997,1.7,0,2,1,50,1.15,0.57,0,0,0,0,Matches
154,Jai Curran Nicholls,eng ENG,DF,Salford City FC,20,2004,0.3,0,0,0,,0,0,,,0,0,Matches
155,Tom Cursons,eng ENG,FW,Harrogate Town FC,22,2001,7.1,2,17,3,17.6,2.38,0.42,0.12,0.67,0,0,Matches
156,Ronan Curtis,ie IRL,"FW,MF",Port Vale,28,1996,22.3,5,54,23,42.6,2.42,1.03,0.09,0.22,0,0,Matches
157,Bradley Dack,eng ENG,"MF,FW",Gillingham,30,1993,7.5,1,14,2,14.3,1.87,0.27,0.07,0.5,0,0,Matches
158,Marcus Dackers,wls WAL,FW,Salford City FC,21,2003,0.7,0,1,0,0,1.53,0,0,,0,0,Matches
159,Marcus Dackers,wls WAL,FW,Morecambe,21,2003,24,1,46,15,32.6,1.91,0.62,0.02,0.07,0,0,Matches
160,Vontae Daley Campbell,eng ENG,DF,Chesterfield,23,2001,4.9,0,2,0,0,0.41,0,0,,0,0,Matches
161,Andrew Dallas,sct SCO,"FW,MF",Morecambe,25,1999,11.3,3,29,13,44.8,2.56,1.15,0.1,0.23,0,0,Matches
162,Andrew Dallas,sct SCO,FW,Barrow,25,1999,6.9,3,11,7,63.6,1.59,1.01,0.18,0.29,1,1,Matches
163,James Daly,eng ENG,"MF,FW",Harrogate Town FC,24,2000,30.1,3,37,10,27,1.23,0.33,0.08,0.3,0,0,Matches
164,Matty Daly,eng ENG,"MF,FW",Harrogate Town FC,23,2001,13.5,1,21,10,47.6,1.55,0.74,0.05,0.1,0,0,Matches
165,Donervon Daniels,ms MSR,DF,Walsall,30,1993,4.1,0,2,0,0,0.49,0,0,,0,0,Matches
166,Geza David Turi,fo FRO,MF,Grimsby Town,22,2001,1.8,0,3,1,33.3,1.71,0.57,0,0,0,0,Matches
167,Archie Davies,eng ENG,"DF,MF",Carlisle United,25,1998,19.2,1,8,3,37.5,0.42,0.16,0.13,0.33,0,0,Matches
168,Jordan Davies,wls WAL,MF,Grimsby Town,25,1998,8.1,4,19,7,36.8,2.34,0.86,0.16,0.43,1,1,Matches
169,Thomas Davies,wls WAL,DF,Newport County,20,2003,2,0,0,0,,0,0,,,0,0,Matches
170,Tom Davies,eng ENG,DF,Tranmere Rovers,32,1992,31.3,1,27,7,25.9,0.86,0.22,0.04,0.14,0,0,Matches
171,Josh Davison,eng ENG,FW,Tranmere Rovers,24,1999,14,3,34,9,26.5,2.43,0.64,0.09,0.33,0,0,Matches
172,Joe Day,eng ENG,GK,Cheltenham Town,33,1990,35,0,0,0,,0,0,,,0,0,Matches
173,Ja­son Daði Svanþórs­son,is ISL,MF,Grimsby Town,24,1999,32.9,4,43,15,34.9,1.31,0.46,0.09,0.27,0,0,Matches
174,Jesse Debrah,eng ENG,DF,Port Vale,24,2000,33,2,13,5,38.5,0.39,0.15,0.15,0.4,0,0,Matches
175,Ryan Delaney,ie IRL,DF,Swindon Town,27,1996,18.4,1,7,4,57.1,0.38,0.22,0.14,0.25,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Mickey Demetriou,eng ENG,DF,Crewe Alexandra,34,1990,35,2,21,4,19,0.6,0.11,0.1,0.5,0,0,Matches
177,Kristian Dennis,eng ENG,FW,Tranmere Rovers,34,1990,21,9,62,23,37.1,2.95,1.1,0.15,0.39,0,0,Matches
178,Louis Dennis,eng ENG,"FW,MF",Bromley,31,1992,7.4,2,13,6,46.2,1.75,0.81,0.15,0.33,0,0,Matches
179,Matthew Dennis,eng ENG,FW,Carlisle United,22,2002,10.7,6,28,11,39.3,2.61,1.02,0.21,0.55,0,0,Matches
180,Matthew Dennis,eng ENG,FW,Milton Keynes Dons,22,2002,0.4,0,3,1,33.3,7.94,2.65,0,0,0,0,Matches
181,Owen Devonport,eng ENG,FW,Fleetwood Town,19,2004,12.1,1,19,5,26.3,1.57,0.41,0.05,0.2,0,0,Matches
182,Cheick Diabate,eng ENG,DF,Bradford City,22,2002,9.9,0,8,2,25,0.81,0.2,0,0,0,0,Matches
183,Timothée Dieng,fr FRA,MF,Gillingham,32,1992,7.1,3,15,4,26.7,2.13,0.57,0.2,0.75,0,0,Matches
184,Timothée Dieng,fr FRA,MF,Cheltenham Town,32,1992,9.3,1,11,2,18.2,1.18,0.21,0.09,0.5,0,0,Matches
185,Marcus Dinanga,eng ENG,FW,Bromley,27,1997,3,0,6,1,16.7,2.01,0.34,0,0,0,0,Matches
186,Baylee Dipepa,eng ENG,FW,Port Vale,17,2007,0.7,0,0,0,,0,0,,,0,0,Matches
187,Armando Dobra,al ALB,MF,Chesterfield,23,2001,34.5,9,93,28,30.1,2.7,0.81,0.1,0.32,0,0,Matches
188,Lennon Dobson,,MF,Morecambe,,,0,0,0,0,,0,0,,,0,0,Matches
189,Janoi Donacien,lc LCA,DF,Chesterfield,30,1993,3.9,0,0,0,,0,0,,,0,0,Matches
190,Aaron Donnelly,nir NIR,DF,Colchester United,21,2003,14.3,0,3,0,0,0.21,0,0,,0,0,Matches
191,Stephen Dooley,nir NIR,MF,Harrogate Town FC,32,1991,18.8,1,13,5,38.5,0.69,0.27,0.08,0.2,0,0,Matches
192,Aaron Drinan,ie IRL,"FW,MF",Swindon Town,26,1998,18.9,3,32,10,31.3,1.7,0.53,0.09,0.3,0,0,Matches
193,Anthony Driscoll-Glennon,eng ENG,"DF,MF",Newport County,24,1999,35,0,12,6,50,0.34,0.17,0,0,0,0,Matches
194,Kane Drummond,eng ENG,FW,Chesterfield,23,2000,5.4,1,7,2,28.6,1.29,0.37,0.14,0.5,0,0,Matches
195,Declan Drysdale,eng ENG,DF,Tranmere Rovers,24,1999,6.7,0,3,1,33.3,0.45,0.15,0,0,0,0,Matches
196,Anton Dudik,ua UKR,FW,Carlisle United,19,2005,0.1,0,1,1,100,7.5,7.5,0,0,0,0,Matches
197,Dylan Duffy,ie IRL,"MF,FW",Chesterfield,21,2002,8.1,2,13,7,53.8,1.61,0.87,0.15,0.29,0,0,Matches
198,Stephen Duke-McKenna,gy GUY,MF,Harrogate Town FC,23,2000,12.5,1,18,6,33.3,1.44,0.48,0.06,0.17,0,0,Matches
199,Liam Dulson,,"MF,FW",Cheltenham Town,,,9.8,2,12,6,50,1.22,0.61,0.17,0.33,0,0,Matches
200,Paul Dummett,wls WAL,DF,Carlisle United,32,1991,0.4,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
201,Chey Dunkley,eng ENG,DF,Chesterfield,32,1992,9,1,6,2,33.3,0.67,0.22,0.17,0.5,0,0,Matches
202,Leonard Duru,eng ENG,"MF,DF",Barrow,19,2005,5.9,1,3,2,66.7,0.51,0.34,0.33,0.5,0,0,Matches
203,Jack Earing,eng ENG,MF,Walsall,25,1999,7.6,2,15,5,33.3,1.97,0.66,0.13,0.4,0,0,Matches
204,Jake Eastwood,eng ENG,GK,Grimsby Town,27,1996,5.2,0,0,0,,0,0,,,0,0,Matches
205,Neo Eccleston,eng ENG,"DF,MF",Barrow,20,2003,9.7,1,5,1,20,0.52,0.1,0.2,1,0,0,Matches
206,Curtis Edwards,eng ENG,MF,Notts County,30,1994,6.4,0,4,1,25,0.62,0.16,0,0,0,0,Matches
207,Diamond Edwards,,MF,Port Vale,20,2003,0.1,0,0,0,,0,0,,,0,0,Matches
208,Gwion Edwards,wls WAL,MF,Morecambe,31,1993,17.7,3,46,13,28.3,2.6,0.74,0.07,0.23,0,0,Matches
209,Owura Edwards,eng ENG,MF,Colchester United,23,2001,27.5,7,39,15,38.5,1.42,0.55,0.18,0.47,0,0,Matches
210,Tom Edwards,eng ENG,DF,Salford City FC,25,1999,10.3,0,3,0,0,0.29,0,0,,0,0,Matches
211,Mandela Egbo,eng ENG,"DF,MF",Colchester United,26,1997,38,1,27,7,25.9,0.71,0.18,0.04,0.14,0,0,Matches
212,Max Ehmer,eng ENG,DF,Gillingham,32,1992,32.8,0,17,5,29.4,0.52,0.15,0,0,0,0,Matches
213,Deji Elerewe,eng ENG,DF,Bromley,20,2003,16.3,1,6,1,16.7,0.37,0.06,0.17,1,0,0,Matches
214,Gunner Elliott,mt MLT,FW,Chesterfield,16,2008,0.1,0,0,0,,0,0,,,0,0,Matches
215,Jack Ellis,eng ENG,"DF,MF",Carlisle United,20,2003,10.4,1,1,1,100,0.1,0.1,1,1,0,0,Matches
216,Elliot Embleton,eng ENG,MF,Carlisle United,25,1999,10,0,19,4,21.1,1.91,0.4,0,0,0,0,Matches
217,Josh Emmanuel,eng ENG,"DF,MF",Doncaster Rovers,26,1997,3.1,0,0,0,,0,0,,,0,0,Matches
218,Ethan Ennis,eng ENG,MF,Doncaster Rovers,19,2004,4.5,0,14,4,28.6,3.12,0.89,0,0,0,0,Matches
219,Cameron Evans,wls WAL,DF,Newport County,23,2001,25.3,4,17,5,29.4,0.67,0.2,0.24,0.8,0,0,Matches
220,Corry Evans,nir NIR,MF,Bradford City,34,1990,1.2,0,1,0,0,0.83,0,0,,0,0,Matches
221,Kieron Evans,wls WAL,MF,Newport County,22,2001,22.8,2,32,11,34.4,1.4,0.48,0.06,0.18,0,0,Matches
222,Owen Evans,wls WAL,GK,Cheltenham Town,27,1996,11,0,0,0,,0,0,,,0,0,Matches
223,Adam Fairclough,eng ENG,MF,Morecambe,17,2007,0.8,0,2,1,50,2.4,1.2,0,0,0,0,Matches
224,Josh Falkingham,eng ENG,MF,Harrogate Town FC,33,1990,4.2,0,1,0,0,0.24,0,0,,0,0,Matches
225,Paul Farman,eng ENG,GK,Barrow,34,1989,28.5,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
226,Priestley Farquharson,eng ENG,DF,Walsall,27,1997,2.5,0,1,0,0,0.4,0,0,,0,0,Matches
227,Rory Feely,ie IRL,DF,Barrow,27,1997,14.3,1,5,2,40,0.35,0.14,0.2,0.5,0,0,Matches
228,Sonny Finch,eng ENG,FW,Milton Keynes Dons,18,2005,1.6,1,5,4,80,3.17,2.54,0.2,0.25,0,0,Matches
229,Sam Finley,eng ENG,MF,Tranmere Rovers,31,1992,28.8,2,23,6,26.1,0.8,0.21,0.09,0.33,0,0,Matches
230,Charlie Finney,eng ENG,MF,Crewe Alexandra,20,2003,1.6,0,1,0,0,0.64,0,0,,0,0,Matches
231,Tom Flanagan,nir NIR,DF,Colchester United,32,1992,41,0,17,2,11.8,0.41,0.05,0,0,0,0,Matches
232,John Fleck,sct SCO,MF,Chesterfield,32,1991,7.7,0,2,0,0,0.26,0,0,,0,0,Matches
233,Brandon Fleming,eng ENG,DF,Doncaster Rovers,24,1999,11.2,0,6,1,16.7,0.54,0.09,0,0,0,0,Matches
234,Isaac Fletcher,eng ENG,MF,Barrow,22,2002,5.9,1,11,3,27.3,1.87,0.51,0.09,0.33,0,0,Matches
235,Samuel Folarin,ng NGA,FW,Harrogate Town FC,23,2000,8.1,2,11,8,72.7,1.36,0.99,0.18,0.25,0,0,Matches
236,Sam Foley,ie IRL,"DF,MF",Barrow,37,1986,25.1,3,34,9,26.5,1.35,0.36,0.09,0.33,0,0,Matches
237,Tyrese Fornah,sl SLE,MF,Salford City FC,24,1999,38.8,1,44,10,22.7,1.13,0.26,0.02,0.1,0,0,Matches
238,Matty Foulds,eng ENG,DF,Harrogate Town FC,26,1998,13.8,0,6,2,33.3,0.44,0.15,0,0,0,0,Matches
239,Ben Fox,eng ENG,MF,Harrogate Town FC,26,1998,11.8,1,7,1,14.3,0.59,0.08,0.14,1,0,0,Matches
240,Owen Foye,,MF,Swindon Town,,,0,0,0,0,,0,0,,,0,0,Matches
241,Osman Foyo,eng ENG,FW,AFC Wimbledon,19,2004,1.5,0,2,1,50,1.31,0.66,0,0,0,0,Matches
242,Miguel Freckleton,eng ENG,DF,Swindon Town,21,2002,26.3,1,7,1,14.3,0.27,0.04,0.14,1,0,0,Matches
243,James Furlong,ie IRL,MF,AFC Wimbledon,22,2002,9.7,0,6,1,16.7,0.62,0.1,0,0,0,0,Matches
244,Sean Fusire,zw ZIM,MF,Carlisle United,19,2005,7.1,0,8,2,25,1.12,0.28,0,0,0,0,Matches
245,Sam Gale,eng ENG,DF,Gillingham,19,2004,21.7,0,14,5,35.7,0.65,0.23,0,0,0,0,Matches
246,Luke Garbutt,eng ENG,"DF,MF",Salford City FC,31,1993,39.5,3,39,15,38.5,0.99,0.38,0.08,0.2,0,0,Matches
247,Cameron Gardner,sct SCO,"MF,FW",Grimsby Town,18,2005,4.1,0,6,3,50,1.46,0.73,0,0,0,0,Matches
248,Gerard Garner,eng ENG,"FW,MF",Morecambe,25,1998,3.6,2,8,2,25,2.25,0.56,0.25,1,0,0,Matches
249,Gerard Garner,eng ENG,FW,Barrow,25,1998,10.5,3,25,11,44,2.37,1.04,0.12,0.27,0,0,Matches
250,Jake Garrett,eng ENG,MF,Tranmere Rovers,21,2003,5.2,1,10,2,20,1.93,0.39,0.1,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
251,Ben Garrity,eng ENG,MF,Port Vale,27,1997,26.5,5,37,11,29.7,1.4,0.42,0.14,0.45,0,0,Matches
252,Joseph Gbode,eng ENG,"FW,MF",Gillingham,19,2005,19.9,3,38,13,34.2,1.91,0.65,0.08,0.23,0,0,Matches
253,Jordan Gibson,eng ENG,MF,Doncaster Rovers,26,1998,28.3,6,91,38,41.8,3.22,1.34,0.07,0.16,0,0,Matches
254,Liam Gibson,eng ENG,DF,Harrogate Town FC,27,1997,4.4,0,1,1,100,0.23,0.23,0,0,0,0,Matches
255,Alex Gilbey,eng ENG,"MF,FW",Milton Keynes Dons,29,1994,41.7,11,90,37,41.1,2.16,0.89,0.12,0.3,0,0,Matches
256,Paul Glatzel,eng ENG,"FW,MF",Swindon Town,23,2001,21.4,3,47,10,21.3,2.2,0.47,0.06,0.3,0,1,Matches
257,Ben Goodliffe,eng ENG,DF,Colchester United,25,1999,7.2,3,7,4,57.1,0.97,0.55,0.43,0.75,0,0,Matches
258,Owen Goodman,ca CAN,GK,AFC Wimbledon,20,2003,46,0,0,0,,0,0,,,0,0,Matches
259,John-Kymani Gordon,eng ENG,MF,Colchester United,21,2003,19.3,3,32,8,25,1.66,0.41,0.09,0.38,0,0,Matches
260,Josh Gordon,eng ENG,FW,Walsall,29,1995,4.2,1,14,4,28.6,3.37,0.96,0.07,0.25,0,0,Matches
261,Kellan Gordon,eng ENG,MF,Notts County,26,1997,18.4,0,15,4,26.7,0.81,0.22,0,0,0,0,Matches
262,Lewis Gordon,sct SCO,DF,Chesterfield,23,2001,29,0,4,1,25,0.14,0.03,0,0,0,0,Matches
263,Liam Gordon,gy GUY,MF,Walsall,25,1999,43,3,41,12,29.3,0.95,0.28,0.07,0.25,0,0,Matches
264,Robbie Gotts,eng ENG,MF,Barrow,24,1999,38.1,3,29,7,24.1,0.76,0.18,0.1,0.43,0,0,Matches
265,Conor Grant,ie IRL,"MF,FW",Notts County,23,2001,21.1,4,26,13,50,1.23,0.62,0.15,0.31,0,0,Matches
266,Conor Grant,eng ENG,MF,Port Vale,29,1995,3.2,0,1,0,0,0.31,0,0,,0,0,Matches
267,Conor Grant,eng ENG,MF,Accrington Stanley,29,1995,7.6,0,7,1,14.3,0.92,0.13,0,0,0,0,Matches
268,Kamarl Grant,eng ENG,DF,Bromley,21,2003,32.9,2,28,8,28.6,0.85,0.24,0.07,0.25,0,0,Matches
269,Ryan Graydon,ie IRL,FW,Fleetwood Town,25,1999,30.5,9,63,16,25.4,2.06,0.52,0.13,0.5,1,1,Matches
270,Oliver Greaves,eng ENG,"FW,MF",Newport County,22,2001,6.8,2,6,3,50,0.89,0.44,0.33,0.67,0,0,Matches
271,Kieran Green,eng ENG,MF,Grimsby Town,27,1997,32.6,7,65,24,36.9,1.99,0.74,0.11,0.29,0,0,Matches
272,Will Grigg,nir NIR,FW,Chesterfield,33,1991,19.5,12,31,18,58.1,1.59,0.92,0.39,0.67,0,0,Matches
273,Jamie Grimes,eng ENG,DF,Chesterfield,33,1990,27.2,3,11,4,36.4,0.4,0.15,0.27,0.75,0,0,Matches
