Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,0,0,Matches
96,Olivier Deman,be BEL,"FW,MF",Werder Bremen,24,2000,0.7,0,0,0,,0,0,,,0,0,Matches
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,15,65,30,46.2,3.15,1.46,0.23,0.5,0,2,Matches
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1,0,0,Matches
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,2,9,6,66.7,0.55,0.37,0.22,0.33,0,0,Matches
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,0,8,0,0,2.46,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,0,14,3,21.4,1.05,0.23,0,0,0,0,Matches
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,10,61,23,37.7,1.92,0.72,0.16,0.43,0,0,Matches
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34,1,32,4,12.5,0.94,0.12,0.03,0.25,0,0,Matches
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,0,0,0,,0,0,,,0,0,Matches
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,2,9,3,33.3,0.61,0.2,0.22,0.67,0,0,Matches
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21,0,0,0,,0,0,,,0,0,Matches
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4,0,2,2,100,0.5,0.5,0,0,0,0,Matches
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,8,71,29,40.8,2.64,1.08,0.1,0.24,1,2,Matches
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,0,5,2,40,1.59,0.64,0,0,0,0,Matches
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,0,6,0,0,1.45,0,0,,0,0,Matches
111,Johannes Eggestein,de GER,FW,St Pauli,26,1998,20.6,3,36,13,36.1,1.75,0.63,0.06,0.15,1,2,Matches
112,Maximilian Eggestein,de GER,MF,Freiburg,27,1996,31.6,2,36,12,33.3,1.14,0.38,0.06,0.17,0,0,Matches
113,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,22,2002,28.5,15,117,48,41,4.11,1.69,0.12,0.29,1,3,Matches
114,Elif Elmas,mk MKD,"FW,MF",RB Leipzig,24,1999,0.5,0,2,1,50,4.09,2.05,0,0,0,0,Matches
115,Nico Elvedi,ch SUI,DF,Gladbach,27,1996,23.7,1,12,4,33.3,0.51,0.17,0.08,0.25,0,0,Matches
116,Arne Engels,be BEL,FW,Augsburg,20,2003,0.9,0,3,1,33.3,3.42,1.14,0,0,0,0,Matches
117,Patrick Erras,de GER,DF,Holstein Kiel,29,1995,9.2,1,8,1,12.5,0.87,0.11,0.13,1,0,0,Matches
118,Samuel Essende,cd COD,FW,Augsburg,26,1998,18.2,7,44,13,29.5,2.42,0.72,0.16,0.54,0,0,Matches
119,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,,0,0,,,0,0,Matches
120,Kilian Fischer,de GER,DF,Wolfsburg,23,2000,25.5,1,6,1,16.7,0.24,0.04,0.17,1,0,0,Matches
121,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,28,1996,20.4,0,8,1,12.5,0.39,0.05,0,0,0,0,Matches
122,Marco Friedl,at AUT,DF,Werder Bremen,26,1998,24,0,4,3,75,0.17,0.12,0,0,0,0,Matches
123,Marvin Friedrich,de GER,DF,Gladbach,28,1995,11,0,7,2,28.6,0.64,0.18,0,0,0,0,Matches
124,Jeremie Frimpong,nl NED,MF,Leverkusen,23,2000,25.7,5,34,16,47.1,1.32,0.62,0.15,0.31,0,0,Matches
125,Chris Führich,de GER,MF,Stuttgart,26,1998,22,2,36,12,33.3,1.64,0.55,0.06,0.17,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Shiō Fukuda,jp JPN,FW,Gladbach,20,2004,0.7,1,3,1,33.3,4.5,1.5,0.33,1,0,0,Matches
127,Cristian Gamboa,cr CRC,MF,Bochum,34,1989,2.5,1,4,1,25,1.59,0.4,0.25,1,0,0,Matches
128,Aleix García,es ESP,MF,Leverkusen,27,1997,16.2,3,15,5,33.3,0.93,0.31,0.2,0.6,0,0,Matches
129,Viggo Gebel,de GER,MF,RB Leipzig,16,2007,0.2,0,0,0,,0,0,,,0,0,Matches
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,2000,17.3,1,8,2,25,0.46,0.12,0.13,0.5,0,0,Matches
131,Dennis Geiger,de GER,MF,Hoffenheim,26,1998,8.2,0,5,1,20,0.61,0.12,0,0,0,0,Matches
132,Valentin Gendrey,fr FRA,"DF,MF",Hoffenheim,24,2000,15.7,1,10,5,50,0.64,0.32,0.1,0.2,0,0,Matches
133,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,1994,16.9,1,15,4,26.7,0.89,0.24,0.07,0.25,0,0,Matches
134,Max Geschwill,de GER,DF,Holstein Kiel,23,2001,14.2,1,9,2,22.2,0.63,0.14,0.11,0.5,0,0,Matches
135,Dimitris Giannoulis,gr GRE,MF,Augsburg,28,1995,29.4,1,13,4,30.8,0.44,0.14,0.08,0.25,0,0,Matches
136,Armin Gigovic,ba BIH,MF,Holstein Kiel,22,2002,21.1,5,26,11,42.3,1.23,0.52,0.19,0.45,0,0,Matches
137,Benedikt Gimber,de GER,DF,Heidenheim,27,1997,29.7,0,13,1,7.7,0.44,0.03,0,0,0,0,Matches
138,Matthias Ginter,de GER,DF,Freiburg,30,1994,28.5,2,24,4,16.7,0.84,0.14,0.08,0.5,0,0,Matches
139,Jamie Gittens,eng ENG,MF,Dortmund,19,2004,19.7,8,52,24,46.2,2.64,1.22,0.15,0.33,0,0,Matches
140,Serge Gnabry,de GER,"MF,FW",Bayern Munich,29,1995,13.8,7,49,18,36.7,3.55,1.3,0.14,0.39,0,1,Matches
141,Tidiam Gomis,fr FRA,FW,RB Leipzig,17,2006,1.7,0,5,1,20,2.96,0.59,0,0,0,0,Matches
142,Leon Goretzka,de GER,MF,Bayern Munich,29,1995,14.7,4,32,11,34.4,2.17,0.75,0.13,0.36,0,0,Matches
143,Robin Gosens,de GER,MF,Union Berlin,30,1994,1,0,1,0,0,1,0,0,,0,0,Matches
144,Mario Götze,de GER,MF,Eintracht Frankfurt,32,1992,17.1,3,8,5,62.5,0.47,0.29,0.38,0.6,0,0,Matches
145,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33,1991,32.7,1,18,5,27.8,0.55,0.15,0.06,0.2,0,1,Matches
146,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,0,0,0,,0,0,,,0,0,Matches
147,Michael Gregoritsch,at AUT,FW,Freiburg,30,1994,7.1,2,16,6,37.5,2.25,0.85,0.13,0.33,0,0,Matches
148,Vincenzo Grifo,it ITA,MF,Freiburg,31,1993,27,8,66,29,43.9,2.44,1.07,0.12,0.28,0,3,Matches
