Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
470,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,0,0,0,,0,0,,,0,0,Matches
471,Nelson Weiper,de GER,FW,Mainz 05,19,2005,7.8,3,23,13,56.5,2.94,1.66,0.13,0.23,0,0,Matches
472,Mitchell Weiser,de GER,MF,Werder Bremen,30,1994,31.9,5,43,15,34.9,1.35,0.47,0.12,0.33,0,0,Matches
473,Noah Weißhaupt,de GER,"FW,MF",St Pauli,22,2001,12.9,1,18,4,22.2,1.4,0.31,0.06,0.25,0,0,Matches
474,Noah Weißhaupt,de GER,"FW,MF",Freiburg,22,2001,0.9,0,1,0,0,1.13,0,0,,0,0,Matches
475,Silvan Widmer,ch SUI,MF,Mainz 05,31,1993,5.6,0,3,1,33.3,0.54,0.18,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
476,Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23,2001,19.7,3,42,10,23.8,2.14,0.51,0.07,0.3,0,0,Matches
477,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,25,1999,21.8,9,40,13,32.5,1.83,0.6,0.2,0.62,1,2,Matches
478,Florian Wirtz,de GER,MF,Leverkusen,21,2003,26.1,10,78,39,50,2.99,1.49,0.1,0.21,2,4,Matches
479,Dani de Wit,nl NED,"MF,FW",Bochum,26,1998,12.8,2,20,7,35,1.56,0.55,0.1,0.29,0,0,Matches
480,Maximilian Wittek,de GER,"DF,MF",Bochum,28,1995,30.1,0,41,7,17.1,1.36,0.23,0,0,0,0,Matches
481,Marius Wolf,de GER,MF,Augsburg,29,1995,23.8,1,12,2,16.7,0.5,0.08,0.08,0.5,0,0,Matches
482,Nick Woltemade,de GER,"FW,MF",Stuttgart,22,2002,18,12,49,26,53.1,2.72,1.44,0.2,0.38,2,3,Matches
483,Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,24,1999,14,3,25,6,24,1.78,0.43,0.12,0.5,0,0,Matches
484,Granit Xhaka,ch SUI,MF,Leverkusen,31,1992,32.1,2,21,3,14.3,0.65,0.09,0.1,0.67,0,0,Matches
485,Erencan Yardimci,tr TUR,FW,Hoffenheim,22,2002,3.5,0,5,1,20,1.44,0.29,0,0,0,0,Matches
486,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,25,1999,0.3,0,0,0,,0,0,,,0,0,Matches
487,David Zec,si SVN,DF,Holstein Kiel,24,2000,17.1,2,11,5,45.5,0.64,0.29,0.18,0.4,0,0,Matches
488,Robin Zentner,de GER,GK,Mainz 05,29,1994,32,0,1,0,0,0.03,0,0,,0,0,Matches
489,Cedric Zesiger,ch SUI,DF,Augsburg,26,1998,13.6,0,10,2,20,0.74,0.15,0,0,0,0,Matches
490,Cedric Zesiger,ch SUI,DF,Wolfsburg,26,1998,5.8,0,2,1,50,0.34,0.17,0,0,0,0,Matches
491,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34,0,0,0,,0,0,,,0,0,Matches
492,Budu Zivzivadze,ge GEO,FW,Heidenheim,30,1994,10.6,2,22,10,45.5,2.07,0.94,0.09,0.2,0,0,Matches
