Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
52,Lanre Balogun,eng ENG,FW,Braintree Town,23,2000,0.6,0,0,0,,,,,,,,,0,Matches
53,Lewis Banks,eng ENG,DF,Altrincham,27,1997,41.1,8,0,0,,,,,,,,,0,Matches
54,Dante Baptiste,eng ENG,GK,Wealdstone FC,22,2002,7,1,0,0,,,,,,,,,0,Matches
55,Finley Barbrook,eng ENG,MF,Sutton United,19,2004,32.6,12,0,0,,,,,,,,,0,Matches
56,Max Bardell,eng ENG,DF,Fylde,21,2002,21.3,4,0,0,,,,,,,,,0,Matches
57,Jack Barham,eng ENG,FW,Aldershot Town,28,1996,31.3,4,0,0,,,,,,,,,0,Matches
58,Aidan Barlow,eng ENG,"FW,MF",Rochdale,24,2000,17.7,2,0,0,,,,,,,,,0,Matches
59,Sam Barratt,eng ENG,MF,Maidenhead United,28,1995,13.1,3,0,0,,,,,,,,,0,Matches
60,Josh Barrett,ie IRL,FW,Aldershot Town,26,1998,28.2,7,0,0,,,,,,,,,0,Matches
61,Killian Barrett,ie IRL,GK,Rochdale,20,2004,9,0,0,0,,,,,,,,,0,Matches
62,Killian Barrett,ie IRL,GK,Solihull Moors,20,2004,9,0,0,0,,,,,,,,,0,Matches
63,Mason Barrett,eng ENG,"DF,MF",Wealdstone FC,24,1999,7.8,1,0,0,,,,,,,,,0,Matches
64,Ryan Bartley,eng ENG,DF,Gateshead,20,2003,6,1,1,0,,,,,,,,,0,Matches
65,Daniel Batty,eng ENG,"MF,DF",York City,26,1997,31.3,5,0,0,,,,,,,,,0,Matches
66,Harry Beautyman,eng ENG,"MF,FW",Woking,32,1992,29.1,8,0,0,,,,,,,,,0,Matches
67,Mark Beck,sct SCO,"FW,MF",Gateshead,30,1994,4.4,0,0,0,,,,,,,,,0,Matches
68,Sam Beckwith,eng ENG,DF,Rochdale,23,2001,41.3,9,1,1,,,,,,,,,0,Matches
69,Jean Belehoua,fr FRA,DF,Gateshead,23,2000,19.1,1,0,0,,,,,,,,,0,Matches
70,Zac Bell,wls WAL,DF,Maidenhead United,21,2003,2.5,1,0,0,,,,,,,,,0,Matches
71,Giosue Bellagambi,ug UGA,GK,Barnet,22,2001,1,0,0,0,,,,,,,,,0,Matches
72,Dominic Bernard,ie IRL,DF,Yeovil Town,27,1997,24.4,8,1,0,,,,,,,,,0,Matches
73,Dylan Berry,nir NIR,GK,Ebbsfleet United,21,2003,1,0,0,0,,,,,,,,,0,Matches
74,Jake Bickerstaff,wls WAL,"FW,MF",Altrincham,22,2001,11.7,1,0,0,,,,,,,,,0,Matches
75,Rakish Bingham,eng ENG,"FW,MF",Ebbsfleet United,30,1993,11.7,3,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Jay Bird,eng ENG,FW,Rochdale,23,2001,5.1,0,0,0,,,,,,,,,0,Matches
77,Tom Blackwell,eng ENG,"MF,FW",Braintree Town,23,2000,23.6,2,0,0,,,,,,,,,0,Matches
78,Sonny Blu Lo-Everton,sct SCO,MF,Yeovil Town,21,2002,18.5,2,0,0,,,,,,,,,0,Matches
79,Nana Boateng,eng ENG,"MF,FW",Sutton United,21,2002,11.5,2,0,0,,,,,,,,,0,Matches
80,Ashley Boatswain,ms MSR,FW,Fylde,19,2005,7.3,0,0,0,,,,,,,,,0,Matches
81,Enzio Boldewijn,nl NED,"MF,DF",Wealdstone FC,31,1992,40.4,3,0,0,,,,,,,,,0,Matches
82,Aaron Bolger,ie IRL,MF,Ebbsfleet United,24,2000,15.5,3,0,0,,,,,,,,,0,Matches
83,Harrison Bond,eng ENG,GK,Gateshead,20,2003,1.5,0,0,0,,,,,,,,,0,Matches
84,Matthew Bondswell,eng ENG,DF,Hartlepool United,22,2002,0.1,0,0,0,,,,,,,,,0,Matches
85,Macauley Bonne,zw ZIM,FW,Southend United,28,1995,23.7,3,0,0,,,,,,,,,0,Matches
86,Regan Booty,eng ENG,MF,Gateshead,26,1998,42.9,10,0,0,,,,,,,,,0,Matches
87,Pedro Borges,pt POR,"MF,DF",Yeovil Town,19,2005,4.8,0,0,0,,,,,,,,,0,Matches
88,John Bostock,tt TRI,MF,Solihull Moors,32,1992,27,4,0,0,,,,,,,,,0,Matches
89,Michael Bostwick,eng ENG,"DF,MF",Boston United,36,1988,15.7,5,0,0,,,,,,,,,0,Matches
90,Noa Boutin,fr FRA,"MF,DF",Eastleigh,20,2003,25.5,5,0,0,,,,,,,,,0,Matches
91,Sam Bowen,wls WAL,MF,Solihull Moors,23,2001,26.8,3,0,0,,,,,,,,,0,Matches
92,Jamie Bramwell,eng ENG,"DF,MF",Gateshead,20,2004,3.2,1,0,0,,,,,,,,,0,Matches
93,Oliver Bray,eng ENG,FW,Aldershot Town,21,2003,1.2,0,0,0,,,,,,,,,0,Matches
94,Owen Bray,eng ENG,MF,FC Halifax Town,21,2003,12.8,4,0,0,,,,,,,,,0,Matches
95,Luke Brennan,eng ENG,MF,Fylde,22,2001,1.1,0,0,0,,,,,,,,,0,Matches
96,Jack Bridge,eng ENG,"MF,DF",Southend United,28,1995,32.1,1,0,0,,,,,,,,,0,Matches
97,Richard Brindley,eng ENG,"DF,MF",Eastleigh,31,1993,31.1,9,1,1,,,,,,,,,0,Matches
98,Tiernan Brooks,ie IRL,GK,Gateshead,22,2002,24,1,0,0,,,,,,,,,0,Matches
99,Michael Brothers,eng ENG,MF,Braintree Town,39,1985,0,0,0,0,,,,,,,,,0,Matches
100,Jedidiah Brown,eng ENG,FW,Wealdstone FC,25,1998,0,0,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Rhys Browne,ag ATG,"FW,MF",Barnet,28,1995,15.9,3,0,0,,,,,,,,,0,Matches
102,Rico Browne,kn SKN,DF,Tamworth,20,2003,3.5,0,0,0,,,,,,,,,0,Matches
103,Tyler Bruck,,FW,Solihull Moors,,,0.1,0,0,0,,,,,,,,,0,Matches
104,Zak Brunt,eng ENG,"MF,FW",Barnet,22,2001,28.6,5,0,0,,,,,,,,,0,Matches
105,Harvey Bunker,eng ENG,"MF,DF",Forest Green Rovers,21,2003,19.6,4,0,0,,,,,,,,,0,Matches
106,Jake Burger,eng ENG,"FW,MF",Rochdale,19,2005,14,2,0,0,,,,,,,,,0,Matches
107,Jacob Butterfield,eng ENG,"MF,FW",Gateshead,34,1990,14.4,1,0,0,,,,,,,,,0,Matches
108,Jili Buyabu,eng ENG,MF,Rochdale,22,2001,14.8,2,0,0,,,,,,,,,0,Matches
109,Lachlan Byrd,au AUS,DF,Aldershot Town,22,2002,15.2,2,0,0,,,,,,,,,0,Matches
110,Adam Campbell,eng ENG,"MF,FW",Hartlepool United,29,1995,24,3,0,0,,,,,,,,,0,Matches
111,Tahvon Campbell,eng ENG,"FW,MF",Solihull Moors,27,1997,5.7,2,0,0,,,,,,,,,0,Matches
112,Ted Cann,eng ENG,GK,Forest Green Rovers,23,2000,6,1,0,0,,,,,,,,,0,Matches
113,Angelo Cappello,bz BLZ,"MF,FW",FC Halifax Town,22,2002,27.6,5,0,0,,,,,,,,,0,Matches
114,Jake Caprice,eng ENG,"MF,DF",Oldham Athletic,31,1992,30.5,6,0,0,,,,,,,,,0,Matches
115,Mustapha Carayol,gm GAM,"DF,MF",Wealdstone FC,35,1988,6.4,1,0,0,,,,,,,,,0,Matches
116,Harry Cardwell,sct SCO,FW,Southend United,27,1996,5,0,0,0,,,,,,,,,0,Matches
117,Harry Cardwell,sct SCO,FW,Forest Green Rovers,27,1996,16.1,1,0,0,,,,,,,,,0,Matches
118,Ryan Carr,sct SCO,MF,Gateshead,19,2004,0,0,0,0,,,,,,,,,0,Matches
119,Ryan Carr,sct SCO,MF,Ebbsfleet United,19,2004,6.4,1,0,0,,,,,,,,,0,Matches
120,Ruben Carvalho,eng ENG,MF,Maidenhead United,23,2001,2.3,0,0,0,,,,,,,,,0,Matches
121,Kallum Cesay,sl SLE,MF,Wealdstone FC,21,2002,32.4,7,0,0,,,,,,,,,0,Matches
122,Billy Chadwick,eng ENG,FW,Boston United,24,2000,2.1,1,0,0,,,,,,,,,0,Matches
123,Billy Chadwick,eng ENG,MF,York City,24,2000,7.8,0,0,0,,,,,,,,,0,Matches
124,Leon Chambers-Parillon,eng ENG,MF,Southend United,22,2001,10.3,0,0,0,,,,,,,,,0,Matches
125,Ben Chapman,eng ENG,"MF,DF",Ebbsfleet United,25,1998,31,8,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Harry Chapman,eng ENG,"MF,FW",Barnet,26,1997,10.5,2,0,0,,,,,,,,,0,Matches
127,Luke Charman,eng ENG,"MF,FW",Hartlepool United,26,1997,25.2,6,0,0,,,,,,,,,0,Matches
128,Harry Charsley,ie IRL,"MF,FW",Oldham Athletic,27,1996,6.7,0,0,0,,,,,,,,,0,Matches
129,Adam Chicksen,zw ZIM,DF,Woking,32,1991,24.3,4,0,0,,,,,,,,,0,Matches
130,Ryan Clampin,eng ENG,DF,Braintree Town,25,1999,31.1,6,1,1,,,,,,,,,0,Matches
131,Taylor Clark,eng ENG,DF,Wealdstone FC,19,2005,0.6,0,0,0,,,,,,,,,0,Matches
132,Jahmari Clarke,jm JAM,FW,Wealdstone FC,20,2003,0.4,0,0,0,,,,,,,,,0,Matches
133,Jahmari Clarke,jm JAM,FW,Yeovil Town,20,2003,0.5,1,0,0,,,,,,,,,0,Matches
