Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Reda Belahyane,ma MAR,MF,Lazio,20,2004,2.2,0,1,0,4,1,0,0,1,6,,,0,Matches
52,Raoul Bellanova,it ITA,MF,Torino,24,2000,1,0,0,0,1,1,0,5,0,0,,,0,Matches
53,Raoul Bellanova,it ITA,MF,Atalanta,24,2000,26.7,3,0,0,15,33,0,155,19,13,,,0,Matches
54,Andrea Belotti,it ITA,FW,Como,30,1993,6.6,1,0,0,9,19,5,5,1,5,,,0,Matches
55,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,23,2001,21.7,6,0,0,32,50,4,7,5,11,,,0,Matches
56,Adrian Benedyczak,pl POL,MF,Parma,23,2000,2.4,0,0,0,4,5,1,1,0,0,,,0,Matches
57,Ismaël Bennacer,dz ALG,MF,Milan,26,1997,3.3,2,0,0,5,5,0,6,3,4,,,0,Matches
58,Medon Berisha,al ALB,MF,Lecce,20,2003,8,5,0,0,16,11,0,29,11,8,,,0,Matches
59,Adrian Bernabe,es ESP,MF,Parma,23,2001,16.1,1,0,0,9,36,0,29,7,19,,,0,Matches
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,6.6,2,0,0,16,4,0,14,5,8,,,0,Matches
61,Sam Beukema,nl NED,DF,Bologna,25,1998,33.5,1,0,0,28,36,2,8,30,28,,,0,Matches
62,Alessandro Bianco,it ITA,MF,Monza,21,2002,28.9,9,0,0,43,55,3,23,24,29,,,0,Matches
63,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
64,Jaka Bijol,si SVN,DF,Udinese,25,1999,32.9,13,1,1,49,8,2,2,36,26,,,1,Matches
65,Philip Billing,dk DEN,MF,Napoli,28,1996,2.2,1,0,0,10,1,0,2,4,6,,,0,Matches
66,Cristiano Biraghi,it ITA,DF,Torino,31,1992,12.9,0,0,0,9,12,2,106,7,10,,,1,Matches
67,Cristiano Biraghi,it ITA,"DF,MF",Fiorentina,31,1992,4.8,1,0,0,4,7,0,30,4,4,,,0,Matches
68,Samuele Birindelli,it ITA,MF,Monza,25,1999,16.3,2,0,0,16,15,5,65,10,14,,,0,Matches
69,Bjarki Bjarkason,is ISL,MF,Venezia,24,2000,1.8,2,0,0,2,8,0,7,3,2,,,0,Matches
70,Emil Bohinen,no NOR,MF,Genoa,25,1999,1.8,0,0,0,3,3,0,0,1,4,,,0,Matches
71,Warren Bondo,fr FRA,MF,Monza,20,2003,18,5,1,1,31,36,1,7,6,25,,,0,Matches
72,Warren Bondo,fr FRA,MF,Milan,20,2003,1.8,1,0,0,1,4,0,1,0,3,,,0,Matches
73,Kevin Bonifazi,it ITA,DF,Lecce,28,1996,0.7,0,0,0,0,0,0,0,3,1,,,0,Matches
74,Ange-Yoan Bonny,fr FRA,FW,Parma,20,2003,28.1,2,0,0,20,47,14,14,3,18,,,0,Matches
75,Edoardo Bove,it ITA,MF,Fiorentina,22,2002,9.5,3,0,0,16,21,0,2,6,16,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Domagoj Bradarić,hr CRO,"MF,DF",Hellas Verona,24,1999,21.5,6,0,0,21,14,3,79,16,30,,,0,Matches
77,Matthias Braunöder,at AUT,MF,Como,22,2002,3,3,1,1,10,5,0,0,2,4,,,0,Matches
78,Iker Bravo,es ESP,FW,Udinese,19,2005,7.6,3,0,0,12,10,2,8,1,5,,,0,Matches
79,Gleison Bremer,br BRA,DF,Juventus,27,1997,6,2,0,0,9,5,0,0,6,8,,,0,Matches
80,Brenner,br BRA,"MF,FW",Udinese,24,2000,4.3,0,0,0,0,5,0,11,1,4,,,0,Matches
81,Marco Brescianini,it ITA,MF,Atalanta,24,2000,11,1,0,0,22,9,2,19,2,11,,,0,Matches
82,Arvid Brorsson,se SWE,DF,Monza,25,1999,4,0,0,0,1,4,0,0,2,3,,,0,Matches
83,Tajon Buchanan,ca CAN,"DF,MF",Inter,25,1999,1.1,0,0,0,2,4,0,3,0,0,,,0,Matches
84,Alessandro Buongiorno,it ITA,DF,Napoli,25,1999,21.4,2,0,0,17,21,1,2,33,23,,,0,Matches
85,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,20,2004,0.3,0,0,0,2,2,0,0,0,0,,,0,Matches
86,Gianluca Busio,us USA,MF,Venezia,22,2002,28,4,0,0,26,44,4,30,18,30,,,0,Matches
87,Jean Butez,fr FRA,GK,Como,29,1995,18.5,0,0,0,1,2,0,0,0,0,,,0,Matches
88,Liberato Cacace,nz NZL,"MF,DF",Empoli,23,2000,24.8,6,0,0,27,17,5,103,22,27,,,0,Matches
89,Alessio Cacciamani,it ITA,FW,Torino,17,2007,0.3,0,0,0,0,0,0,3,1,0,,,0,Matches
90,Davide Calabria,it ITA,DF,Bologna,27,1996,7,3,0,0,7,5,0,16,4,7,,,0,Matches
91,Davide Calabria,it ITA,DF,Milan,27,1996,3.5,0,0,0,3,4,0,16,8,7,,,0,Matches
92,Luca Caldirola,it ITA,DF,Monza,33,1991,9.7,5,0,0,18,16,1,1,11,7,,,0,Matches
93,Hakan Çalhanoğlu,tr TUR,MF,Inter,30,1994,21.6,5,0,0,22,13,0,122,19,22,,,0,Matches
94,Drissa Camara,ci CIV,FW,Parma,22,2002,5,3,0,0,17,17,1,5,4,7,,,0,Matches
95,Francesco Camarda,it ITA,FW,Milan,16,2008,2.3,0,0,0,8,1,2,1,0,2,,,0,Matches
96,Nicolò Cambiaghi,it ITA,"MF,FW",Bologna,23,2000,6.9,0,0,0,9,34,0,47,1,8,,,0,Matches
97,Andrea Cambiaso,it ITA,"DF,MF",Juventus,24,2000,24.7,4,0,0,28,23,6,66,17,31,,,0,Matches
98,Thomas Campaniello,it ITA,FW,Empoli,16,2008,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches
99,Matteo Cancellieri,it ITA,"MF,FW",Parma,22,2002,15.8,2,1,0,26,41,2,22,13,14,,,0,Matches
100,Fali Candé,gw GNB,DF,Venezia,26,1998,17,4,0,0,24,21,0,7,16,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Antonio Candela,it ITA,"MF,DF",Venezia,24,2000,11.2,2,0,0,15,5,0,21,8,21,,,1,Matches
102,Gianluca Caprari,it ITA,"MF,FW",Monza,31,1993,18.3,3,0,0,18,42,5,80,8,11,,,0,Matches
103,Elia Caprile,it ITA,GK,Cagliari,22,2001,18,0,0,0,0,6,0,0,0,0,,,0,Matches
104,Elia Caprile,it ITA,GK,Napoli,22,2001,3.6,0,0,0,0,0,0,0,0,0,,,0,Matches
105,Francesco Caputo,it ITA,FW,Empoli,36,1987,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
106,Maxence Caqueret,fr FRA,MF,Como,24,2000,12.1,4,0,0,17,11,1,16,6,20,,,0,Matches
107,Andrea Carboni,it ITA,DF,Monza,23,2001,24.3,5,0,0,29,17,0,15,27,32,,,0,Matches
108,Franco Carboni,it ITA,MF,Venezia,21,2003,2.5,2,0,0,3,2,0,8,0,4,,,0,Matches
109,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,1,0,0,0,5,0,0,0,0,,,0,Matches
110,Cesare Casadei,it ITA,MF,Torino,21,2003,11.3,1,0,0,16,10,0,2,5,5,,,0,Matches
111,Nicolò Casale,it ITA,DF,Bologna,26,1998,10,1,0,0,23,8,0,0,20,4,,,1,Matches
112,Nicolò Casale,it ITA,DF,Lazio,26,1998,1.5,0,0,0,2,0,0,0,1,3,,,0,Matches
113,Federico Cassa,it ITA,MF,Atalanta,18,2006,0.2,0,0,0,2,1,0,0,0,0,,,0,Matches
114,Valentín Castellanos,ar ARG,FW,Lazio,25,1998,26.5,9,1,0,38,42,17,25,8,6,,,0,Matches
115,Santiago Castro,ar ARG,FW,Bologna,19,2004,25.5,7,0,0,49,53,9,9,3,10,,,1,Matches
116,Gaetano Castrovilli,it ITA,MF,Monza,27,1997,6.6,0,0,0,8,7,2,14,2,7,,,0,Matches
117,Gaetano Castrovilli,it ITA,MF,Lazio,27,1997,1.6,0,0,0,4,1,0,0,3,2,,,0,Matches
118,Danilo Cataldi,it ITA,MF,Fiorentina,29,1994,19.2,1,0,0,15,22,0,21,23,18,,,0,Matches
119,Zeki Çelik,tr TUR,"DF,MF",Roma,27,1997,25.1,5,0,0,31,10,0,42,12,37,,,0,Matches
120,Alberto Cerri,it ITA,FW,Como,28,1996,1,0,0,0,3,1,2,0,0,0,,,0,Matches
121,Gabriel Charpentier,cg CGO,FW,Parma,25,1999,3,1,0,0,13,10,0,2,0,3,,,0,Matches
122,Walid Cheddira,ma MAR,FW,Napoli,26,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
123,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,0,0,0,0,0,0,0,0,0,,,0,Matches
124,Samuel Chukwueze,ng NGA,"MF,FW",Milan,25,1999,10.3,0,0,0,3,10,3,49,2,11,,,0,Matches
125,Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
127,Alessandro Circati,au AUS,DF,Parma,20,2003,6,1,0,0,4,5,0,0,4,5,,,0,Matches
128,Alphadjo Cissè,it ITA,MF,Hellas Verona,17,2006,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
129,Patrick Ciurria,it ITA,MF,Monza,29,1995,12.3,1,0,0,17,11,1,61,8,15,,,0,Matches
130,Saúl Coco,gq EQG,DF,Torino,25,1999,31.6,10,0,0,53,19,0,2,36,27,,,1,Matches
131,Lorenzo Colombo,it ITA,"FW,MF",Empoli,22,2002,24.8,5,1,1,46,41,6,10,3,15,,,0,Matches
132,Andrea Colpani,it ITA,MF,Fiorentina,25,1999,16.1,1,0,0,22,24,1,33,9,8,,,0,Matches
133,Florinel Coman,ro ROU,"MF,FW",Cagliari,26,1998,2.9,2,0,0,8,9,0,2,1,3,,,0,Matches
134,Pietro Comuzzo,it ITA,DF,Fiorentina,19,2005,24.4,5,0,0,25,12,0,3,27,19,,,0,Matches
135,Francisco Conceição,pt POR,MF,Juventus,21,2002,14.9,5,1,1,24,36,4,62,6,15,,,0,Matches
136,Diego Coppola,it ITA,DF,Hellas Verona,20,2003,32.5,10,0,0,44,0,0,0,66,38,,,0,Matches
137,Maxwel Cornet,ci CIV,MF,Genoa,27,1996,2.7,0,0,0,0,1,1,8,2,1,,,0,Matches
138,Joaquín Correa,ar ARG,"FW,MF",Inter,29,1994,8.1,3,0,0,8,14,2,8,0,5,,,0,Matches
139,Alberto costa,pt POR,"DF,MF",Juventus,20,2003,4,3,0,0,8,2,0,3,4,10,,,0,Matches
140,Lassana Coulibaly,ml MLI,MF,Lecce,28,1996,29.6,3,0,0,39,44,0,12,19,34,,,0,Matches
141,Woyo Coulibaly,ml MLI,DF,Parma,25,1999,12,1,1,0,12,12,1,5,9,9,,,1,Matches
142,Bryan Cristante,it ITA,MF,Roma,29,1995,22.7,8,0,0,37,9,0,15,18,29,,,0,Matches
143,Domen Črnigoj,si SVN,MF,Venezia,28,1995,1.5,0,0,0,2,4,0,2,4,2,,,0,Matches
144,Juan Cuadrado,co COL,"MF,FW",Atalanta,36,1988,9.2,3,0,0,9,27,0,56,7,9,,,0,Matches
145,Patrick Cutrone,it ITA,FW,Como,26,1998,22.7,1,0,0,23,28,20,30,5,9,,,0,Matches
146,Wylan Cyprien,fr FRA,MF,Parma,29,1995,0.3,0,0,0,0,0,0,0,2,0,,,0,Matches
147,Danilo D'Ambrosio,it ITA,DF,Monza,35,1988,12.2,2,1,0,18,11,3,9,14,16,,,0,Matches
148,Lucas Da Cunha,fr FRA,MF,Como,23,2001,29,4,0,0,21,29,1,101,16,26,,,0,Matches
149,Samuel Dahl,se SWE,DF,Roma,24,2000,0.5,0,0,0,2,0,0,1,0,2,,,0,Matches
150,Thijs Dallinga,nl NED,FW,Bologna,23,2000,12.8,1,0,0,24,17,8,2,1,6,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Maat Daniel Caprini,it ITA,FW,Fiorentina,18,2006,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
152,Flavius Daniliuc,at AUT,DF,Hellas Verona,23,2001,11.2,0,0,0,12,2,0,6,6,20,,,0,Matches
153,Danilo,br BRA,DF,Juventus,33,1991,6.5,2,0,0,11,1,0,3,9,4,,,0,Matches
154,Matteo Darmian,it ITA,"MF,DF",Inter,34,1989,19.8,3,0,0,26,19,5,32,10,20,,,1,Matches
155,Juan David Cabal,co COL,DF,Juventus,23,2001,5.1,0,0,0,7,10,1,7,2,4,,,0,Matches
156,Keinan Davis,eng ENG,FW,Udinese,26,1998,11.8,2,0,0,24,12,8,3,1,5,,,0,Matches
157,Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,29,1995,20.5,7,1,0,36,11,0,0,21,22,,,0,Matches
158,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,23,2001,23,1,0,0,22,39,2,54,3,9,,,0,Matches
159,Mattia De Sciglio,it ITA,DF,Empoli,31,1992,8.5,0,0,0,8,5,0,7,10,13,,,0,Matches
160,Lorenzo De Silvestri,it ITA,DF,Bologna,36,1988,11.8,1,0,0,17,8,1,23,9,6,,,0,Matches
161,Koni De Winter,be BEL,DF,Genoa,22,2002,23.7,6,0,0,43,13,1,3,27,19,,,0,Matches
162,Alessandro Deiola,it ITA,MF,Cagliari,28,1995,15.9,6,0,0,32,11,0,14,13,20,,,0,Matches
163,Enrico Del Prato,it ITA,"DF,MF",Parma,24,1999,32.7,8,0,0,20,17,0,16,17,17,,,0,Matches
164,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,23,2001,10.5,0,0,0,8,4,0,7,3,7,,,0,Matches
165,Ali Dembélé,fr FRA,DF,Torino,20,2004,4.3,4,1,1,9,7,0,7,1,5,,,0,Matches
166,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33,0,0,0,0,7,0,0,1,0,,,0,Matches
167,Giovanni Di Lorenzo,it ITA,DF,Napoli,30,1993,37,6,0,0,46,52,5,63,31,43,,,0,Matches
168,Boulaye Dia,sn SEN,"MF,FW",Lazio,27,1996,24.2,2,0,0,23,24,3,2,7,10,,,0,Matches
169,Assane Diao,sn SEN,"MF,FW",Como,18,2005,13.9,2,0,0,20,49,6,12,2,14,,,0,Matches
170,Federico Dimarco,it ITA,MF,Inter,26,1997,24.2,3,0,0,19,11,8,192,14,15,,,0,Matches
171,Berat Djimsiti,al ALB,DF,Atalanta,31,1993,29.3,6,0,0,23,21,0,11,41,34,,,1,Matches
172,Dodô,br BRA,"DF,MF",Fiorentina,25,1998,34.6,8,0,0,23,62,3,143,36,29,,,0,Matches
173,Benjamín Domínguez,ar ARG,MF,Bologna,20,2003,14.2,0,0,0,10,31,4,11,4,8,,,0,Matches
174,Patrick Dorgu,dk DEN,"MF,DF",Lecce,19,2004,20.4,2,1,0,24,55,4,40,18,29,,,1,Matches
175,Alberto Dossena,it ITA,DF,Como,25,1998,20.3,1,1,0,22,16,0,1,22,20,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Issa Doumbia,it ITA,MF,Venezia,20,2003,10.4,0,0,0,18,12,0,10,9,8,,,0,Matches
177,Anastasios Douvikas,gr GRE,FW,Como,24,1999,6.4,1,0,0,13,17,1,2,1,2,,,0,Matches
178,Artem Dovbyk,ua UKR,FW,Roma,27,1997,26.9,0,0,0,30,16,22,1,2,1,,,0,Matches
179,Ondrej Duda,sk SVK,MF,Hellas Verona,29,1994,26.6,12,1,1,51,57,0,89,28,27,,,0,Matches
180,Denzel Dumfries,nl NED,MF,Inter,28,1996,21.7,4,0,0,53,18,6,56,7,19,,,0,Matches
181,Alfred Duncan,gh GHA,MF,Venezia,31,1993,10.6,2,0,0,22,11,0,17,7,9,,,0,Matches
182,Paulo Dybala,ar ARG,"FW,MF",Roma,30,1993,15.7,2,0,0,6,60,6,62,2,7,,,0,Matches
183,Enzo Ebosse,cm CMR,DF,Udinese,25,1999,1,1,0,0,1,0,0,0,1,0,,,0,Matches
