Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
113,Aaron Cresswell,eng ENG,DF,West Ham United,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0,0,0,0,0,113,eng ENG,DF,34,1989,9.2,0,5,0,0,0.55,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
425,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0,425,eng ENG,GK,26,1998,30,0,0,0,,0,0,,,0,0,32,eng ENG,GK,26,1998,30,30,"2,700",30,66,2.2,182,123,66.5,2,5,23,3,10,7,5,2,0,28.6,ENG-Premier League
543,Aaron Wan-Bissaka,cd COD,"DF,MF",West Ham United,26,1997,36,35,"3,154",35,2,5,7,2,0,0,1,0,0.06,0.14,0.2,0.06,0.2,543,cd COD,"DF,MF",26,1997,35,2,16,5,31.3,0.46,0.14,0.13,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,0.11,0.07,0.18,0.11,0.18,147,ml MLI,MF,31,1993,28.5,3,31,10,32.3,1.09,0.35,0.1,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,284,uz UZB,DF,20,2004,5.6,0,1,0,0,0.18,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
177,Abdul Fatawu Issahaku,gh GHA,"MF,FW",Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0,0.31,0.31,0,0.31,177,gh GHA,"MF,FW",20,2004,6.4,0,13,5,38.5,2.02,0.78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,0.14,0.14,0.29,0.14,0.29,34,eng ENG,"FW,MF",27,1997,13.9,2,26,9,34.6,1.87,0.65,0.08,0.22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
299,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,4,0,2,2,0,0,0,4,0,0,0.5,0.5,0,0.5,299,eng ENG,MF,36,1988,4,0,3,0,0,0.75,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,"1,590",17.7,0,0,0,0,0,0,7,0,0,0,0,0,0,478,eng ENG,DF,33,1991,17.7,0,3,0,0,0.17,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
549,Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,549,eng ENG,DF,29,1995,9.9,0,5,1,20,0.51,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,"1,318",14.6,0,2,2,0,0,0,2,0,0,0.14,0.14,0,0.14,553,eng ENG,MF,20,2004,14.6,0,13,5,38.5,0.89,0.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
518,Adama Traoré,es ESP,MF,Fulham,28,1996,36,18,"1,772",19.7,2,7,9,2,0,0,3,0,0.1,0.36,0.46,0.1,0.46,518,es ESP,MF,28,1996,19.7,2,39,12,30.8,1.98,0.61,0.05,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
216,Albert Grønbaek,dk DEN,"MF,FW",Southampton,23,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,216,dk DEN,"MF,FW",23,2001,1.6,0,2,0,0,1.26,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
196,Alejandro Garnacho,ar ARG,MF,Manchester Utd,20,2004,36,23,"2,199",24.4,6,2,8,6,0,0,3,0,0.25,0.08,0.33,0.25,0.33,196,ar ARG,MF,20,2004,24.4,6,84,30,35.7,3.44,1.23,0.07,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
254,Alex Iwobi,ng NGA,MF,Fulham,28,1996,38,35,"2,981",33.1,9,6,15,9,0,0,1,0,0.27,0.18,0.45,0.27,0.45,254,ng NGA,MF,28,1996,33.1,9,68,29,42.6,2.05,0.88,0.13,0.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
344,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,344,eng ENG,GK,34,1989,5,0,0,0,,0,0,,,0,0,23,eng ENG,GK,34,1989,5,5,450,5,13,2.6,35,24,68.6,0,0,5,0,0,2,2,0,0,0,ENG-Premier League
407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,"1,170",13,0,0,0,0,0,0,2,0,0,0,0,0,0,407,eng ENG,GK,27,1996,13,0,0,0,,0,0,,,0,0,29,eng ENG,GK,27,1996,13,13,"1,170",13,30,2.31,74,45,60.8,1,3,9,0,0,1,1,0,0,0,ENG-Premier League
463,Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,8,755,8.4,0,0,0,0,0,0,3,0,0,0,0,0,0,463,eng ENG,MF,20,2003,8.4,0,15,7,46.7,1.79,0.83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
253,Alexander Isak,se SWE,FW,Newcastle United,24,1999,34,34,"2,756",30.6,23,6,29,19,4,4,1,0,0.75,0.2,0.95,0.62,0.82,253,se SWE,FW,24,1999,30.6,23,99,46,46.5,3.23,1.5,0.19,0.41,4,4,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Premier League
