"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
397;"Paul Joly";"Auxerre";26;991;0;0;1;0.63;0.63;1.86;3.4;2.43;0.06;0.06;0.17;0.23;0.23;0.31;0.22
398;"Kévin Danois";"Auxerre";22;1466;0;0;0;0.99;0.99;2.33;6.48;3.93;0.06;0.06;0.14;0.2;0.2;0.4;0.24
399;"Khalil Fayad";"Montpellier";20;1019;0;0;0;1.04;1.04;0.27;2.95;1.85;0.09;0.09;0.02;0.12;0.12;0.26;0.16
400;"Amine Salama";"Reims";17;337;0;0;0;1.04;1.04;0.41;1.56;0.25;0.28;0.28;0.11;0.39;0.39;0.42;0.07
401;"Yahia Fofana";"Angers";33;2970;0;0;0;0;0;0.09;2.51;2.41;0;0;0;0;0;0.08;0.07
402;"Emmanuel Agbadou";"Reims";14;1260;0;0;0;0.5;0.5;0.57;6.21;5.94;0.04;0.04;0.04;0.08;0.08;0.44;0.42
403;"Naatan Skyttä";"Toulouse";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404;"Ousmane Camara";"Angers";3;255;0;0;0;0.03;0.03;0.02;0.34;0.34;0.01;0.01;0.01;0.02;0.02;0.12;0.12
405;"Valentín Carboni";"Marseille";4;97;0;0;0;0.05;0.05;0.13;0.24;0.09;0.05;0.05;0.12;0.17;0.17;0.22;0.08
406;"Axel Gueguin";"Montpellier";1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
407;"Christian Mawissa Elebi";"Monaco";22;1510;0;0;0;0.23;0.23;0.03;6.44;6.21;0.01;0.01;0;0.02;0.02;0.38;0.37
408;"Sael Kumbedi";"Lyon";14;971;0;0;0;0.49;0.49;0.32;6.2;5.51;0.05;0.05;0.03;0.08;0.08;0.57;0.51
409;"Théo De Percin";"Auxerre";2;180;0;0;0;0;0;0;0.34;0.34;0;0;0;0;0;0.17;0.17
410;"Mamadou Sarr";"Strasbourg";27;2376;0;0;1;1.1;1.1;0.63;8.95;8.73;0.04;0.04;0.02;0.07;0.07;0.34;0.33
411;"Ilyes Housni";"Le Havre";12;222;0;0;0;0.27;0.27;0.48;0.35;0.15;0.11;0.11;0.2;0.3;0.3;0.14;0.06
412;"Julien Le Cardinal";"Brest";16;1375;0;0;1;0.58;0.58;0.21;2.93;2.79;0.04;0.04;0.01;0.05;0.05;0.19;0.18
413;"Edhy Zuliani";"Toulouse";1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
414;"Nathan Zeze";"Nantes";18;1522;0;0;0;0.33;0.33;0.01;3.9;3.89;0.02;0.02;0;0.02;0.02;0.23;0.23
415;"Lilian Raolisoa";"Angers";29;1303;0;0;3;0.72;0.72;2.22;4.17;2.55;0.05;0.05;0.15;0.2;0.2;0.29;0.18
416;"Aurélio Buta";"Reims";27;2013;0;0;1;0.29;0.29;1.55;6.66;5.11;0.01;0.01;0.07;0.08;0.08;0.3;0.23
417;"Eduard Sobol";"Strasbourg";10;64;0;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0.24;0.24
418;"Gabriel Suazo";"Toulouse";30;2171;0;0;6;0.93;0.93;4.62;9.32;6.15;0.04;0.04;0.19;0.23;0.23;0.39;0.25
419;"Justin-Noel Kalumba";"Angers";2;21;0;0;0;0.01;0.01;0;0.01;0;0.05;0.05;0;0.05;0.05;0.05;0
420;"Jérémy Jacquet";"Rennes";11;933;0;0;1;0.48;0.48;0.62;4.44;4.4;0.05;0.05;0.06;0.11;0.11;0.43;0.42
421;"Tiago Santos";"Lille";7;406;0;0;0;0.73;0.73;0.91;3.67;2.14;0.16;0.16;0.2;0.36;0.36;0.81;0.48
422;"Ousmane Touré";"Lille";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
423;"Aaron Malouda";"Lille";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
424;"Abduqodir Khusanov";"Lens";13;978;0;0;0;0.21;0.21;0.3;2.17;2.16;0.02;0.02;0.03;0.05;0.05;0.2;0.2
425;"Ayanda Sishuba";"Rennes";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
426;"Guillaume Restes";"Toulouse";29;2545;0;0;1;0;0;0.05;1.98;1.98;0;0;0;0;0;0.07;0.07
427;"Philipp Köhn";"Monaco";19;1710;0;0;0;0;0;0;2.34;2.34;0;0;0;0;0;0.12;0.12
428;"Becir Omeragic";"Montpellier";22;1813;0;0;0;0.56;0.56;0.23;3.64;3.45;0.03;0.03;0.01;0.04;0.04;0.18;0.17
429;"Loïc Négo";"Le Havre";31;2473;0;0;0;0.49;0.49;0.67;8.31;7.5;0.02;0.02;0.02;0.04;0.04;0.3;0.27
430;"Andy Logbo";"Le Havre";1;22;0;0;0;0.33;0.33;0;0.33;0;1.36;1.36;0;1.36;1.36;1.36;0
431;"Antoine Joujou";"Le Havre";26;923;0;0;2;0.82;0.82;3.48;5.58;2.05;0.08;0.08;0.34;0.42;0.42;0.54;0.2
432;"Étienne Youté";"Le Havre";28;2315;0;0;0;2.04;2.04;0.13;5.26;5.18;0.08;0.08;0.01;0.08;0.08;0.2;0.2
433;"Clinton Mata";"Lyon";29;2366;0;0;4;0.23;0.23;1.68;13.28;11.59;0.01;0.01;0.06;0.07;0.07;0.51;0.44
434;"Emmanuel Sabbi";"Le Havre";15;649;0;0;0;2.54;2.54;0.31;3.1;0.82;0.35;0.35;0.04;0.4;0.4;0.43;0.11
435;"Mohamed Daramy";"Reims";2;10;0;0;0;0.06;0.06;0.11;0.17;0.06;0.53;0.53;1.01;1.54;1.54;1.54;0.53
436;"William Pacho";"Paris Saint Germain";28;2127;0;0;1;0.45;0.45;0.44;19.41;19.1;0.02;0.02;0.02;0.04;0.04;0.82;0.81
437;"Djordje Petrovic";"Strasbourg";31;2790;0;0;0;0;0;0;6.61;6.61;0;0;0;0;0;0.21;0.21
438;"Ethan Mbappé";"Lille";10;194;0;0;0;1.17;1.17;1.62;3.2;1.53;0.54;0.54;0.75;1.29;1.29;1.49;0.71
439;"Yanis Issoufou";"Montpellier";4;67;0;0;0;0.07;0.07;0;0.15;0.08;0.09;0.09;0;0.09;0.09;0.2;0.11
440;"Mahamadou Diawara";"Le Havre,Lyon";17;576;0;0;1;0.27;0.27;0.29;1.32;0.85;0.04;0.04;0.04;0.09;0.09;0.21;0.13
441;"Ayyoub Bouaddi";"Lille";24;1112;0;0;1;0.15;0.15;0.96;4.03;3.43;0.01;0.01;0.08;0.09;0.09;0.33;0.28
442;"Amadou Koné";"Reims";24;1317;0;0;0;0.64;0.64;0.41;3.44;2.66;0.04;0.04;0.03;0.07;0.07;0.23;0.18
443;"Jeremy Sebas";"Strasbourg";13;163;0;0;0;0.83;0.83;0.02;1.52;0.67;0.46;0.46;0.01;0.47;0.47;0.84;0.37
444;"Kandet Diawara";"Le Havre";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
445;"Kassoum Ouattara";"Monaco";12;380;0;0;1;0.12;0.12;1.71;2.47;0.76;0.03;0.03;0.4;0.43;0.43;0.58;0.18
446;"Luc Zogbe";"Brest";13;616;0;0;0;0.28;0.28;0.1;1.47;1.23;0.04;0.04;0.01;0.05;0.05;0.21;0.18
447;"Saïmon Bouabré";"Monaco";3;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
