Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
263,Noham Kamara,fr FRA,DF,Paris Saint-Germain,17,2007,2,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Nordine Kandil,fr FRA,MF,Strasbourg,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Lee Kang-in,kr KOR,"FW,MF",Paris Saint-Germain,23,2001,30,19,"1,663",18.5,6,6,12,6,0,0,1,0,0.32,0.32,0.65,0.32,0.65,Matches
266,Yassine Kechta,ma MAR,"MF,FW",Le Havre,22,2002,31,25,"2,096",23.3,2,0,2,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
267,Thilo Kehrer,de GER,DF,Monaco,27,1996,27,27,"2,383",26.5,4,0,4,4,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
268,Reda Khadra,de GER,"FW,MF",Reims,23,2001,4,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,33,1991,30,10,"1,118",12.4,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,Matches
270,Abdukodir Khusanov,uz UZB,DF,Lens,20,2004,13,11,975,10.8,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
271,Presnel Kimpembe,fr FRA,DF,Paris Saint-Germain,28,1995,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
272,Joshua King,no NOR,"FW,MF",Toulouse,32,1992,28,21,"1,673",18.6,6,3,9,6,0,0,2,0,0.32,0.16,0.48,0.32,0.48,Matches
273,Cédric Kipré,ci CIV,DF,Reims,27,1996,28,26,"2,190",24.3,0,1,1,0,0,0,4,2,0,0.04,0.04,0,0.04,Matches
274,Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
275,Philipp Köhn,ch SUI,GK,Monaco,26,1998,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Koka,eg EGY,FW,Le Havre,31,1993,16,10,851,9.5,3,1,4,2,1,1,2,0,0.32,0.11,0.42,0.21,0.32,Matches
