Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
393,Loïc Nego,hu HUN,"DF,MF",Le Havre,33,1991,31,28,"2,459",27.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
394,João Neves,pt POR,"MF,DF",Paris Saint-Germain,19,2004,29,22,"1,844",20.5,3,8,11,3,0,0,1,0,0.15,0.39,0.54,0.15,0.54,Matches
395,Mikayil Ngor Faye,sn SEN,DF,Rennes,20,2004,11,7,688,7.6,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
396,Steve Ngoura,fr FRA,FW,Le Havre,19,2005,8,2,289,3.2,1,0,1,1,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
397,Bernard Nguene,cm CMR,FW,Nice,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Moussa Niakhate,sn SEN,DF,Lyon,28,1996,31,30,"2,726",30.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
399,Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,22,2002,22,19,"1,707",19,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
400,Ibrahima Niane,sn SEN,FW,Angers,25,1999,24,8,943,10.5,3,1,4,2,1,1,0,0,0.29,0.1,0.38,0.19,0.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Rasmus Nicolaisen,dk DEN,DF,Toulouse,27,1997,7,7,623,6.9,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
402,Arnaud Nordin,fr FRA,"MF,FW",Montpellier,26,1998,16,14,"1,166",13,4,1,5,3,1,2,2,0,0.31,0.08,0.39,0.23,0.31,Matches
403,Plamedi Nsingi,,FW,Nantes,23,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Ernest Nuamah,gh GHA,"MF,FW",Lyon,20,2003,23,13,"1,052",11.7,3,1,4,3,0,0,2,0,0.26,0.09,0.34,0.26,0.34,Matches
405,Rabby Nzingoula,fr FRA,MF,Montpellier,18,2005,27,20,"1,689",18.8,1,0,1,1,0,0,11,0,0.05,0,0.05,0.05,0.05,Matches
406,M'Bala Nzola,ao ANG,FW,Lens,27,1996,21,16,"1,460",16.2,6,1,7,6,0,0,3,1,0.37,0.06,0.43,0.37,0.43,Matches
407,Marwann Nzuzi,fr FRA,DF,Saint-Étienne,20,2004,2,2,125,1.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
408,Hamzat Ojediran,ng NGA,MF,Lens,20,2003,17,1,416,4.6,1,0,1,1,0,0,5,0,0.22,0,0.22,0.22,0.22,Matches
409,Joseph Okumu,ke KEN,DF,Reims,27,1997,22,20,"1,695",18.8,1,0,1,1,0,0,5,1,0.05,0,0.05,0.05,0.05,Matches
410,Kazeem Olaigbe,be BEL,"MF,FW",Rennes,21,2003,10,3,299,3.3,0,2,2,0,0,0,0,0,0,0.6,0.6,0,0.6,Matches
411,Ben Old,nz NZL,"MF,FW",Saint-Étienne,21,2002,13,4,528,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Warmed Omari,km COM,DF,Lyon,24,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
413,Becir Omeragic,ch SUI,DF,Montpellier,22,2002,22,21,"1,799",20,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
414,Andrew Omobamidele,ie IRL,DF,Strasbourg,22,2002,10,6,539,6,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
415,Ado Onaiwu,jp JPN,"MF,FW",Auxerre,28,1995,31,9,957,10.6,4,1,5,4,0,0,1,1,0.38,0.09,0.47,0.38,0.47,Matches
416,Christopher Operi,ci CIV,"MF,DF",Le Havre,27,1997,13,13,"1,169",13,0,2,2,0,0,0,2,1,0,0.15,0.15,0,0.15,Matches
417,Fredrik Oppegard,no NOR,"MF,DF",Auxerre,21,2002,9,2,273,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
418,Victor Orakpo,ng NGA,FW,Nice,18,2006,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Ike Orazi,ie IRL,FW,Reims,17,2007,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
420,Gift Orban,ng NGA,FW,Lyon,22,2002,3,2,186,2.1,2,0,2,2,0,0,1,0,0.97,0,0.97,0.97,0.97,Matches
421,Gabriel Osho,ng NGA,DF,Auxerre,25,1998,20,20,"1,654",18.4,1,0,1,1,0,0,1,1,0.05,0,0.05,0.05,0.05,Matches
422,Jibril Othman,tn TUN,FW,Saint-Étienne,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Abdoul Ouattara,fr FRA,"MF,FW",Strasbourg,18,2005,17,3,471,5.2,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,Matches
424,Kassoum Ouattara,fr FRA,"MF,DF",Monaco,19,2004,12,5,391,4.3,0,1,1,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
425,Zinédine Ould Khaled,fr FRA,MF,Angers,24,2000,10,4,343,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Beres Owusu,fr FRA,DF,Saint-Étienne,20,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
427,Elisha Owusu,gh GHA,MF,Auxerre,26,1997,28,28,"2,344",26,1,3,4,1,0,0,7,0,0.04,0.12,0.15,0.04,0.15,Matches
428,Willian Pacho,ec ECU,DF,Paris Saint-Germain,22,2001,28,23,"2,132",23.7,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
429,Nicolas Pallois,fr FRA,DF,Nantes,36,1987,26,23,"2,017",22.4,0,2,2,0,0,0,9,0,0,0.09,0.09,0,0.09,Matches
430,Nicolas Pays,fr FRA,"MF,FW",Montpellier,20,2003,9,4,447,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Kévin Pedro,fr FRA,DF,Saint-Étienne,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Jordan Pefok,us USA,FW,Reims,28,1996,7,6,380,4.2,1,0,1,1,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
433,Théo Pellenard,fr FRA,DF,Auxerre,30,1994,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Timothee Pembele,fr FRA,"DF,MF",Le Havre,21,2002,20,12,"1,113",12.4,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
435,Faris Pemi Moumbagna,cm CMR,FW,Marseille,24,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
436,Óscar Perea,co COL,MF,Strasbourg,18,2005,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Mathias Pereira Lage,pt POR,"MF,FW",Brest,27,1996,29,18,"1,571",17.5,2,7,9,2,0,0,4,0,0.11,0.4,0.52,0.11,0.52,Matches
438,Lucas Perri,br BRA,GK,Lyon,26,1997,33,33,"2,970",33,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
439,Gaëtan Perrin,fr FRA,MF,Auxerre,28,1996,34,31,"2,691",29.9,10,11,21,10,0,0,2,0,0.33,0.37,0.7,0.33,0.7,Matches
440,Prosper Peter,ng NGA,FW,Angers,16,2007,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
441,Léo Pétrot,fr FRA,DF,Saint-Étienne,27,1997,31,29,"2,634",29.3,0,3,3,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
442,Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,"2,790",31,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
443,Tom Pouilly,fr FRA,DF,Lens,21,2003,10,2,273,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
444,Adrien Rabiot,fr FRA,MF,Marseille,29,1995,29,27,"2,485",27.6,9,4,13,9,0,0,4,0,0.33,0.14,0.47,0.33,0.47,Matches
445,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,23,2001,22,12,"1,066",11.8,10,3,13,8,2,3,1,0,0.84,0.25,1.1,0.68,0.93,Matches
446,Lilian Raolisoa,fr FRA,"DF,MF",Angers,24,2000,29,14,"1,318",14.6,0,3,3,0,0,0,1,2,0,0.2,0.2,0,0.2,Matches
447,Rayan Raveloson,mg MAD,"MF,DF",Auxerre,27,1997,13,7,724,8,1,0,1,1,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
448,Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,"2,543",28.3,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
449,Alexsandro Ribeiro,br BRA,DF,Lille,24,1999,30,30,"2,700",30,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matches
450,Alejandro Rodriguez,pt POR,FW,Lyon,16,2008,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Valentin Rongier,fr FRA,"MF,DF",Marseille,29,1994,25,17,"1,562",17.4,3,1,4,3,0,0,5,0,0.17,0.06,0.23,0.17,0.23,Matches
452,Pablo Rosario,do DOM,"MF,DF",Nice,27,1997,29,21,"1,775",19.7,3,1,4,2,1,1,6,1,0.15,0.05,0.2,0.1,0.15,Matches
453,Anthony Rouault,fr FRA,DF,Rennes,23,2001,11,11,972,10.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
454,Jonathan Rowe,eng ENG,"MF,FW",Marseille,21,2003,28,6,807,9,3,3,6,3,0,0,2,0,0.33,0.33,0.67,0.33,0.67,Matches
455,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,28,1996,30,21,"1,923",21.4,4,5,9,4,0,0,1,0,0.19,0.23,0.42,0.19,0.42,Matches
456,Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,"3,060",34,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
457,Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
458,Emmanuel Sabbi,us USA,"MF,FW",Le Havre,26,1997,15,7,653,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
459,Falaye Sacko,ml MLI,DF,Montpellier,29,1995,16,14,"1,233",13.7,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
460,Matvei Safonov,ru RUS,GK,Paris Saint-Germain,25,1999,10,9,879,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Modibo Sagnan,ml MLI,DF,Montpellier,25,1999,27,24,"2,141",23.8,2,0,2,2,0,0,10,0,0.08,0,0.08,0.08,0.08,Matches
462,Osame Sahraoui,ma MAR,MF,Lille,23,2001,30,10,"1,293",14.4,3,3,6,3,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
463,Wesley Saïd,fr FRA,FW,Lens,29,1995,24,11,905,10.1,3,0,3,3,0,0,4,0,0.3,0,0.3,0.3,0.3,Matches
464,Théo Sainte-Luce,fr FRA,DF,Montpellier,25,1998,16,11,"1,018",11.3,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
465,Ibrahim Salah,ma MAR,"MF,FW",Brest,22,2001,12,4,358,4,1,1,2,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5,Matches
466,Amine Salama,fr FRA,FW,Reims,24,2000,17,2,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
467,Mohammed Salisu,gh GHA,DF,Monaco,25,1999,15,11,"1,023",11.4,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
468,Yoann Salmier,gf GUF,DF,Le Havre,31,1992,13,9,797,8.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
469,Mama Samba Baldé,gw GNB,"FW,MF",Lyon,28,1995,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
470,Mama Samba Baldé,gw GNB,"FW,MF",Brest,28,1995,27,12,"1,149",12.8,2,3,5,2,0,0,4,0,0.16,0.23,0.39,0.16,0.39,Matches
471,Brice Samba,fr FRA,GK,Rennes,30,1994,17,17,"1,529",17,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
472,Brice Samba,fr FRA,GK,Lens,30,1994,15,15,"1,350",15,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
473,Arouna Sangante,sn SEN,DF,Le Havre,22,2002,16,16,"1,244",13.8,3,0,3,3,0,0,4,1,0.22,0,0.22,0.22,0.22,Matches
474,Nhoa Sangui,fr FRA,"DF,MF",Reims,18,2006,26,10,"1,158",12.9,0,2,2,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
475,Morgan Sanson,fr FRA,MF,Nice,29,1994,6,3,235,2.6,3,0,3,3,0,0,0,0,1.15,0,1.15,1.15,1.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,Baptiste Santamaria,fr FRA,MF,Nice,29,1995,13,11,927,10.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
477,Baptiste Santamaria,fr FRA,MF,Rennes,29,1995,10,5,482,5.4,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
478,Andrey Santos,br BRA,MF,Strasbourg,20,2004,32,32,"2,855",31.7,10,3,13,10,0,0,8,0,0.32,0.09,0.41,0.32,0.41,Matches
479,Tiago Santos,pt POR,"DF,MF",Lille,22,2002,7,4,404,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
480,Malang Sarr,fr FRA,DF,Lens,25,1999,21,15,"1,385",15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
481,Mamadou Sarr,sn SEN,DF,Strasbourg,18,2005,27,27,"2,365",26.3,0,1,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
482,Martin Satriano,uy URU,FW,Lens,23,2001,7,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
483,Téji Savanier,fr FRA,MF,Montpellier,32,1991,31,27,"2,363",26.3,2,5,7,0,2,2,4,1,0.08,0.19,0.27,0,0.19,Matches
484,Niklas Schmidt,de GER,MF,Toulouse,26,1998,9,2,205,2.3,0,1,1,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
485,Jérémy Sebas,mq MTQ,MF,Strasbourg,21,2003,13,1,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
486,Alidu Seidu,gh GHA,DF,Rennes,24,2000,11,10,803,8.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
487,Hiroki Sekine,jp JPN,DF,Reims,21,2002,15,9,887,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
488,Marvin Senaya,tg TOG,DF,Strasbourg,23,2001,10,1,227,2.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
489,Djibril Sidibé,fr FRA,DF,Toulouse,32,1992,28,24,"2,101",23.3,0,3,3,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
490,Vincent Sierro,ch SUI,MF,Toulouse,28,1995,29,27,"2,402",26.7,5,1,6,3,2,2,4,0,0.19,0.04,0.22,0.11,0.15,Matches
491,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,27,1997,27,21,"1,929",21.4,0,6,6,0,0,0,3,0,0,0.28,0.28,0,0.28,Matches
492,Abdallah Sima,sn SEN,"FW,MF",Brest,23,2001,27,14,"1,238",13.8,7,2,9,7,0,0,2,0,0.51,0.15,0.65,0.51,0.65,Matches
493,Moses Simon,ng NGA,"FW,MF",Nantes,29,1995,32,31,"2,609",29,8,10,18,4,4,4,2,0,0.28,0.34,0.62,0.14,0.48,Matches
494,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,24,1999,34,25,"2,299",25.5,5,8,13,4,1,1,5,0,0.2,0.31,0.51,0.16,0.47,Matches
495,Wilfried Singo,ci CIV,DF,Monaco,23,2000,27,23,"2,096",23.3,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches
496,Ayanda Sishuba,be BEL,MF,Rennes,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
497,Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,28,1995,20,8,819,9.1,3,1,4,2,1,1,1,0,0.33,0.11,0.44,0.22,0.33,Matches
498,Niama Sissoko,ml MLI,FW,Reims,18,2005,4,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
499,Leo Skiri Østigård,no NOR,DF,Rennes,24,1999,16,14,"1,227",13.6,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
500,Milan Škriniar,sk SVK,DF,Paris Saint-Germain,29,1995,5,4,382,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
501,Naatan Skyttä,fi FIN,MF,Toulouse,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
502,Eduard Sobol,ua UKR,"DF,MF",Strasbourg,29,1995,10,0,95,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
503,Florian Sotoca,fr FRA,"FW,MF",Lens,33,1990,31,22,"1,794",19.9,1,1,2,1,0,0,2,1,0.05,0.05,0.1,0.05,0.1,Matches
504,Issa Soumaré,sn SEN,"MF,FW",Le Havre,23,2000,29,21,"1,902",21.1,5,4,9,5,0,0,0,0,0.24,0.19,0.43,0.24,0.43,Matches
505,Saidou Sow,gn GUI,DF,Strasbourg,22,2002,12,11,"1,018",11.3,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
506,Saidou Sow,gn GUI,DF,Nantes,22,2002,9,9,799,8.9,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
507,Lucas Stassin,be BEL,FW,Saint-Étienne,19,2004,28,23,"1,887",21,12,4,16,12,0,0,4,0,0.57,0.19,0.76,0.57,0.76,Matches
508,Enzo Sternal,fr FRA,FW,Marseille,17,2007,2,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
509,Gabriel Suazo,cl CHI,"MF,DF",Toulouse,26,1997,30,23,"2,163",24,0,6,6,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
510,Abakar Sylla,ci CIV,DF,Strasbourg,21,2002,21,10,950,10.6,1,0,1,1,0,0,2,1,0.09,0,0.09,0.09,0.09,Matches
511,Issiaga Sylla,gn GUI,"DF,MF",Montpellier,30,1994,19,15,"1,156",12.8,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
512,Musa Al-Taamari,jo JOR,"MF,FW",Montpellier,27,1997,15,12,"1,116",12.4,2,1,3,2,0,0,3,0,0.16,0.08,0.24,0.16,0.24,Matches
513,Musa Al-Taamari,jo JOR,"FW,MF",Rennes,27,1997,11,7,567,6.3,1,0,1,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
514,Nicolás Tagliafico,ar ARG,DF,Lyon,31,1992,24,22,"1,902",21.1,3,1,4,3,0,0,7,0,0.14,0.05,0.19,0.14,0.19,Matches
515,Axel Tapé,fr FRA,DF,Paris Saint-Germain,16,2007,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
516,Florian Tardieu,fr FRA,MF,Saint-Étienne,32,1992,24,13,"1,252",13.9,2,4,6,2,0,0,0,0,0.14,0.29,0.43,0.14,0.43,Matches
517,Oussama Targhalline,ma MAR,MF,Le Havre,22,2002,14,12,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
518,Enzo Tchato,cm CMR,"DF,MF",Montpellier,21,2002,27,21,"1,899",21.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
519,Arnau Tenas,es ESP,GK,Paris Saint-Germain,23,2001,1,1,90,1,0,1,1,0,0,0,0,0,0,1,1,0,1,Matches
520,Tanner Tessmann,us USA,MF,Lyon,22,2001,25,13,"1,234",13.7,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
521,Teddy Teuma,mt MLT,MF,Reims,30,1993,17,9,750,8.3,1,0,1,0,1,1,1,0,0.12,0,0.12,0,0,Matches
522,Jordan Teze,nl NED,"DF,MF",Monaco,24,1999,16,8,569,6.3,1,0,1,1,0,0,2,1,0.16,0,0.16,0.16,0.16,Matches
523,Sorba Thomas,wls WAL,"MF,DF",Nantes,24,1999,25,15,"1,321",14.7,1,3,4,1,0,0,3,0,0.07,0.2,0.27,0.07,0.27,Matches
524,Adrien Thomasson,fr FRA,MF,Lens,30,1993,33,31,"2,615",29.1,3,7,10,3,0,0,7,0,0.1,0.24,0.34,0.1,0.34,Matches
525,Corentin Tolisso,fr FRA,MF,Lyon,29,1994,32,27,"2,329",25.9,7,4,11,7,0,0,4,0,0.27,0.15,0.43,0.27,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
526,Abdoulaye Touré,gn GUI,MF,Le Havre,30,1994,28,26,"2,324",25.8,10,1,11,2,8,9,5,0,0.39,0.04,0.43,0.08,0.12,Matches
527,Birama Touré,ml MLI,"MF,DF",Montpellier,32,1992,8,2,300,3.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
528,Ousmane Toure,fr FRA,DF,Lille,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
529,Adrien Truffert,fr FRA,"MF,DF",Rennes,22,2001,33,31,"2,752",30.6,2,2,4,2,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
530,Vanderson,br BRA,DF,Monaco,23,2001,29,23,"2,064",22.9,1,3,4,1,0,0,6,1,0.04,0.13,0.17,0.04,0.17,Matches
531,Robinio Vaz,fr FRA,FW,Marseille,17,2007,2,0,75,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
532,Jordan Veretout,fr FRA,MF,Lyon,31,1993,27,19,"1,553",17.3,2,0,2,2,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
533,Ben Viadere,fr FRA,FW,Auxerre,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
534,Vitinha,pt POR,MF,Paris Saint-Germain,24,2000,29,20,"2,042",22.7,5,1,6,3,2,2,1,0,0.22,0.04,0.26,0.13,0.18,Matches
535,Ibrahima Wadji,sn SEN,FW,Saint-Étienne,29,1995,10,2,347,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
536,Elye Wahi,fr FRA,FW,Marseille,21,2003,13,7,574,6.4,3,1,4,2,1,1,1,0,0.47,0.16,0.63,0.31,0.47,Matches
537,Caleb Wiley,us USA,"MF,DF",Strasbourg,19,2004,6,3,266,3,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
538,Christopher Wooh,cm CMR,DF,Rennes,22,2001,20,17,"1,456",16.2,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
539,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,22,2002,28,26,"2,320",25.8,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
540,Eloge Zabi,ci CIV,MF,Reims,17,2006,2,0,18,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
541,Yoram Zague,fr FRA,DF,Paris Saint-Germain,18,2006,4,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
542,Wilfried Zaha,ci CIV,FW,Lyon,31,1992,4,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris Saint-Germain,18,2006,29,23,"2,050",22.8,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches
544,Miha Zajc,si SVN,MF,Toulouse,30,1994,19,1,262,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
545,Denis Zakaria,ch SUI,MF,Monaco,27,1996,26,24,"2,144",23.8,6,4,10,4,2,2,5,0,0.25,0.17,0.42,0.17,0.34,Matches
546,Anass Zaroury,ma MAR,"MF,FW",Lens,23,2000,28,16,"1,405",15.6,2,2,4,2,0,0,3,1,0.13,0.13,0.26,0.13,0.26,Matches
547,Nathan Zeze,fr FRA,DF,Nantes,19,2005,18,17,"1,512",16.8,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
548,Edon Zhegrova,xk KVX,MF,Lille,25,1999,12,12,978,10.9,4,1,5,4,0,0,1,0,0.37,0.09,0.46,0.37,0.46,Matches
549,Melvin Zinga,fr FRA,GK,Angers,22,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
550,Luck Zogbé,ci CIV,DF,Brest,19,2005,13,7,638,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
551,Aristide Zossou,ci CIV,MF,Auxerre,19,2005,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
552,Yanis Zouaoui,dz ALG,"DF,MF",Le Havre,30,1994,17,9,976,10.8,0,2,2,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches
553,Edhy Zuliani,fr FRA,MF,Toulouse,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
