Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
253,Adam Forshaw,eng ENG,MF,Blackburn Rovers,32,1991,16,5,563,6.3,1,0,1,1,0,0,2,0,0.16,0,0.16,0.16,0.16,253,eng ENG,MF,32,1991,6.3,1,6,2,33.3,0.96,0.32,0.17,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
252,Adam Forshaw,eng ENG,MF,Plymouth Argyle,32,1991,16,7,683,7.6,0,0,0,0,0,0,5,1,0,0,0,0,0,252,eng ENG,MF,32,1991,7.6,0,7,3,42.9,0.92,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
343,Adam Idah,ie IRL,FW,Norwich City,23,2001,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,343,ie IRL,FW,23,2001,0.3,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
584,Adam Randell,eng ENG,MF,Plymouth Argyle,23,2000,39,39,"3,378",37.5,1,3,4,1,0,0,7,0,0.03,0.08,0.11,0.03,0.11,584,eng ENG,MF,23,2000,37.5,1,30,7,23.3,0.8,0.19,0.03,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
27,Adil Aouchiche,fr FRA,MF,Portsmouth,22,2002,12,9,683,7.6,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,27,fr FRA,MF,22,2002,7.6,1,14,6,42.9,1.84,0.79,0.07,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
28,Adil Aouchiche,fr FRA,MF,Sunderland,22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0,0.3,0.3,0,0.3,28,fr FRA,MF,22,2002,3.3,0,14,7,50,4.26,2.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
484,Aidan Morris,us USA,MF,Middlesbrough,22,2001,35,33,"2,915",32.4,0,2,2,0,0,0,4,0,0,0.06,0.06,0,0.06,484,us USA,MF,22,2001,32.4,0,30,4,13.3,0.93,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
229,Aidomo Emakhu,ie IRL,MF,Millwall,20,2003,25,6,696,7.7,0,2,2,0,0,0,3,1,0,0.26,0.26,0,0.26,229,ie IRL,MF,20,2003,7.7,0,16,1,6.3,2.07,0.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0,0,0,0,0,13,eng ENG,DF,23,2001,7.8,0,3,1,33.3,0.38,0.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
239,Akin Famewo,eng ENG,DF,Sheffield Weds,25,1998,13,11,938,10.4,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1,239,eng ENG,DF,25,1998,10.4,0,4,1,25,0.38,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
