Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
402,Arnaud Nordin,fr FRA,"MF,FW",Montpellier,26,1998,16,14,"1,166",13,4,1,5,3,1,2,2,0,0.31,0.08,0.39,0.23,0.31,402,fr FRA,"MF,FW",26,1998,13,4,28,13,46.4,2.16,1,0.11,0.23,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
181,Aron Dønnum,no NOR,MF,Toulouse,26,1998,32,31,"2,689",29.9,3,2,5,3,0,0,6,0,0.1,0.07,0.17,0.1,0.17,181,no NOR,MF,26,1998,29.9,3,31,8,25.8,1.04,0.27,0.1,0.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
473,Arouna Sangante,sn SEN,DF,Le Havre,22,2002,16,16,"1,244",13.8,3,0,3,3,0,0,4,1,0.22,0,0.22,0.22,0.22,473,sn SEN,DF,22,2002,13.8,3,7,4,57.1,0.51,0.29,0.43,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
152,Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,"1,620",18,0,0,0,0,0,0,2,0,0,0,0,0,0,152,fr FRA,GK,30,1994,18,0,0,0,,0,0,,,0,0,9,fr FRA,GK,30,1994,18,18,"1,620",18,38,2.11,91,56,60.4,5,0,13,3,16.7,3,2,1,0,33.3,Ligue 1
169,Assane Dioussé,sn SEN,MF,Auxerre,26,1997,17,7,663,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,169,sn SEN,MF,26,1997,7.4,0,3,2,66.7,0.41,0.27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
73,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23,2000,17,8,733,8.1,3,0,3,3,0,0,5,0,0.37,0,0.37,0.37,0.37,73,gh GHA,"MF,FW",23,2000,8.1,3,24,9,37.5,2.95,1.11,0.13,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
88,Aurélio Buta,pt POR,DF,Reims,27,1997,27,24,"1,970",21.9,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,88,pt POR,DF,27,1997,21.9,0,8,1,12.5,0.37,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
97,Axel Camblan,fr FRA,FW,Brest,20,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,97,fr FRA,FW,20,2003,0.3,0,1,0,0,3.46,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
223,Axel Gueguin,fr FRA,FW,Montpellier,19,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,223,fr FRA,FW,19,2005,0.3,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
515,Axel Tapé,fr FRA,DF,Paris Saint-Germain,16,2007,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,515,fr FRA,DF,16,2007,2,0,1,0,0,0.5,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
496,Ayanda Sishuba,be BEL,MF,Rennes,19,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,be BEL,MF,19,2005,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
17,Ayman Aiki,fr FRA,MF,Saint-Étienne,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,fr FRA,MF,19,2005,1.4,0,3,1,33.3,2.13,0.71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
78,Ayyoub Bouaddi,fr FRA,MF,Lille,16,2007,24,11,"1,151",12.8,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,78,fr FRA,MF,16,2007,12.8,0,3,1,33.3,0.23,0.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
341,Azor Matusiwa,nl NED,MF,Rennes,26,1998,29,23,"2,078",23.1,1,3,4,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17,341,nl NED,MF,26,1998,23.1,1,11,2,18.2,0.48,0.09,0.09,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
330,Aïssa Mandi,dz ALG,DF,Lille,32,1991,24,20,"1,733",19.3,0,0,0,0,0,0,3,0,0,0,0,0,0,330,dz ALG,DF,32,1991,19.3,0,6,2,33.3,0.31,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
79,Badredine Bouanani,dz ALG,"MF,FW",Nice,19,2004,26,11,"1,099",12.2,3,3,6,2,1,1,2,0,0.25,0.25,0.49,0.16,0.41,79,dz ALG,"MF,FW",19,2004,12.2,3,31,15,48.4,2.54,1.23,0.06,0.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
154,Bafodé Diakité,fr FRA,DF,Lille,23,2001,31,31,"2,766",30.7,4,1,5,4,0,0,8,1,0.13,0.03,0.16,0.13,0.16,154,fr FRA,DF,23,2001,30.7,4,16,7,43.8,0.52,0.23,0.25,0.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
225,Bahereba Guirassy,fr FRA,MF,Nantes,17,2006,19,2,348,3.9,2,0,2,2,0,0,0,0,0.52,0,0.52,0.52,0.52,225,fr FRA,MF,17,2006,3.9,2,7,4,57.1,1.81,1.03,0.29,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
161,Bamba Dieng,sn SEN,FW,Angers,24,2000,18,5,532,5.9,3,0,3,2,1,1,1,0,0.51,0,0.51,0.34,0.34,161,sn SEN,FW,24,2000,5.9,3,15,7,46.7,2.54,1.18,0.13,0.29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
351,Bamo Meïté,ci CIV,DF,Marseille,22,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,351,ci CIV,DF,22,2001,0.3,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
350,Bamo Meïté,ci CIV,DF,Montpellier,22,2001,7,6,424,4.7,0,0,0,0,0,0,2,1,0,0,0,0,0,350,ci CIV,DF,22,2001,4.7,0,1,0,0,0.21,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
476,Baptiste Santamaria,fr FRA,MF,Nice,29,1995,13,11,927,10.3,0,0,0,0,0,0,1,0,0,0,0,0,0,476,fr FRA,MF,29,1995,10.3,0,16,3,18.8,1.55,0.29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
477,Baptiste Santamaria,fr FRA,MF,Rennes,29,1995,10,5,482,5.4,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,477,fr FRA,MF,29,1995,5.4,0,4,1,25,0.75,0.19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
413,Becir Omeragic,ch SUI,DF,Montpellier,22,2002,22,21,"1,799",20,0,0,0,0,0,0,1,0,0,0,0,0,0,413,ch SUI,DF,22,2002,20,0,7,3,42.9,0.35,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
411,Ben Old,nz NZL,"MF,FW",Saint-Étienne,21,2002,13,4,528,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,411,nz NZL,"MF,FW",21,2002,5.9,0,11,2,18.2,1.87,0.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
533,Ben Viadere,fr FRA,FW,Auxerre,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,533,fr FRA,FW,18,2005,0.1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
33,Benjamin André,fr FRA,MF,Lille,33,1990,30,30,"2,692",29.9,0,3,3,0,0,0,12,0,0,0.1,0.1,0,0.1,33,fr FRA,MF,33,1990,29.9,0,16,4,25,0.53,0.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
