"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
367;"Andoni Gorosabel";"Athletic Club";20;1508;0;0;2;0.29;0.29;2.37;5.06;3.42;0.02;0.02;0.14;0.16;0.16;0.3;0.2
368;"José Arnáiz";"Osasuna";15;100;0;0;0;0.3;0.3;0.44;1.09;0.56;0.27;0.27;0.4;0.67;0.67;0.98;0.51
369;"Andy Pelmard";"Las Palmas";4;202;0;0;0;0.02;0.02;0.08;0.12;0.12;0.01;0.01;0.03;0.04;0.04;0.05;0.05
370;"Aurelien Tchouameni";"Real Madrid";32;2697;0;0;0;1.82;1.82;0.72;16.49;16.3;0.06;0.06;0.02;0.08;0.08;0.55;0.54
371;"Manuel Morlanes";"Mallorca";23;1335;0;0;0;0.45;0.45;0.45;5.46;4.62;0.03;0.03;0.03;0.06;0.06;0.37;0.31
372;"Francisco Vieites";"Real Betis";4;360;0;0;0;0.03;0.03;0;0.5;0.5;0.01;0.01;0;0.01;0.01;0.13;0.13
373;"Enzo Loiodice";"Las Palmas";17;661;0;0;0;0.22;0.22;0.17;1.92;1.71;0.03;0.03;0.02;0.05;0.05;0.26;0.23
374;"William Carvalho";"Real Betis";14;457;0;0;0;0.22;0.22;0.29;2.58;2.33;0.04;0.04;0.06;0.1;0.1;0.51;0.46
375;"Naif Aguerd";"Real Sociedad";21;1772;0;0;0;2.15;2.15;0.35;5.74;4.79;0.11;0.11;0.02;0.13;0.13;0.29;0.24
376;"Arthur";"Girona";15;943;0;0;0;0.27;0.27;0.18;1.38;1.26;0.03;0.03;0.02;0.04;0.04;0.13;0.12
377;"Jaime Mata";"Las Palmas";30;571;0;0;0;2.45;2.45;0.11;3;0.57;0.39;0.39;0.02;0.4;0.4;0.47;0.09
378;"Juan Musso";"Atletico Madrid";2;180;0;0;0;0;0;0;0.09;0.09;0;0;0;0;0;0.05;0.05
379;"Juan Berrocal";"Getafe";19;1061;0;0;0;0.56;0.56;0.01;1.29;1.29;0.05;0.05;0;0.05;0.05;0.11;0.11
380;"Andriy Lunin";"Real Madrid";7;630;0;0;1;0;0;0.92;2.64;1.72;0;0;0.13;0.13;0.13;0.38;0.25
381;"Roberto López";"Leganes";13;374;0;0;1;0.61;0.61;0.89;1;0.22;0.15;0.15;0.21;0.36;0.36;0.24;0.05
382;"Iñaki Peña";"Barcelona";16;1393;0;0;0;0;0;0;3.91;3.91;0;0;0;0;0;0.25;0.25
383;"Aihen Muñoz";"Real Sociedad";21;1098;0;0;0;0.16;0.16;0.13;2.26;1.99;0.01;0.01;0.01;0.02;0.02;0.18;0.16
384;"Javi Galán";"Atletico Madrid";25;1806;0;0;2;0.24;0.24;3.32;9.76;7.87;0.01;0.01;0.17;0.18;0.18;0.49;0.39
385;"Antonio Candela";"Real Valladolid";12;935;0;0;0;0.05;0.05;0.39;1.22;1.01;0;0;0.04;0.04;0.04;0.12;0.1
386;"Alex Sola";"Getafe";19;1077;0;0;1;1.02;1.02;1.14;2.33;0.64;0.09;0.09;0.1;0.18;0.18;0.19;0.05
387;"Reinildo";"Atletico Madrid";19;916;0;0;0;0.05;0.05;0.18;3.5;3.4;0.01;0.01;0.02;0.02;0.02;0.34;0.33
388;"Luca De La Torre";"Celta Vigo";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
389;"Moussa Diarra";"Alaves";26;1855;0;0;0;0.02;0.02;0.17;3.68;3.55;0;0;0.01;0.01;0.01;0.18;0.17
390;"Max Aarons";"Valencia";4;114;0;0;0;0;0;0.02;0.02;0;0;0;0.01;0.01;0.01;0.01;0
391;"Joseph Aidoo";"Celta Vigo,Real Valladolid";9;589;0;0;0;0.04;0.04;0;1.81;1.81;0.01;0.01;0;0.01;0.01;0.28;0.28
392;"Aritz Arambarri";"Leganes";2;180;0;0;0;0.04;0.04;0;0.27;0.27;0.02;0.02;0;0.02;0.02;0.13;0.13
393;"Aleksander Sedlar";"Alaves";9;599;0;0;0;0.02;0.02;0;0.17;0.17;0;0;0;0;0;0.03;0.03
394;"Aridane Hernández";"Rayo Vallecano";14;1026;0;0;0;1.14;1.14;0.05;3.46;3.44;0.1;0.1;0;0.1;0.1;0.3;0.3
395;"Jon Moncayola";"Osasuna";32;2144;0;0;0;1.58;1.58;3.29;8.32;5.82;0.07;0.07;0.14;0.2;0.2;0.35;0.24
396;"Sergio Herrera";"Osasuna";37;3330;0;0;0;0;0;0;3.1;3.1;0;0;0;0;0;0.08;0.08
397;"Daley Sinkgraven";"Las Palmas";2;94;0;0;0;0;0;0.01;0.6;0.6;0;0;0.01;0.01;0.01;0.57;0.57
398;"Pol Lozano";"Espanyol";30;2015;0;0;1;0.16;0.16;1;4.49;3.83;0.01;0.01;0.04;0.05;0.05;0.2;0.17
399;"Anssumane Fati";"Barcelona";6;228;0;0;0;1.1;1.1;0.12;1.89;0.81;0.43;0.43;0.05;0.48;0.48;0.74;0.32
400;"Nianzou Kouassi";"Sevilla";6;524;0;0;0;0.17;0.17;0;1.58;1.58;0.03;0.03;0;0.03;0.03;0.27;0.27
401;"Rodrigo Riquelme";"Atletico Madrid";16;493;0;0;1;1.44;1.44;1.03;3.36;1.17;0.26;0.26;0.19;0.45;0.45;0.61;0.21
402;"Alex Kral";"Espanyol";37;2699;0;0;1;1.97;1.97;2.12;5.21;2.96;0.07;0.07;0.07;0.14;0.14;0.17;0.1
403;"Thierry Correia";"Valencia";11;782;0;0;0;0.57;0.57;0.3;2.85;2.23;0.07;0.07;0.03;0.1;0.1;0.33;0.26
404;"Mateu Morey";"Mallorca";16;734;0;0;0;0.44;0.44;0.25;1.8;1.18;0.05;0.05;0.03;0.08;0.08;0.22;0.15
405;"Daniel Cárdenas";"Rayo Vallecano";6;540;0;0;0;0;0;0;0.18;0.18;0;0;0;0;0;0.03;0.03
406;"Sergio Carreira";"Celta Vigo";23;1658;0;0;4;0.95;0.95;2.71;7.99;4.9;0.05;0.05;0.15;0.2;0.2;0.43;0.27
407;"German Valera";"Valencia";8;127;0;0;0;0.17;0.17;0.04;0.57;0.41;0.12;0.12;0.03;0.15;0.15;0.41;0.29
408;"Javi Martínez";"Osasuna";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
409;"Hugo Guillamón";"Valencia";12;346;0;0;0;0.06;0.06;0.04;0.21;0.12;0.01;0.01;0.01;0.03;0.03;0.06;0.03
410;"Rodrigo Sánchez";"Real Betis";3;117;0;0;0;0.14;0.14;0.13;0.83;0.64;0.11;0.11;0.1;0.21;0.21;0.64;0.49
411;"Javier López";"Real Sociedad";29;1934;0;0;0;0.14;0.14;0.87;3.71;3.47;0.01;0.01;0.04;0.05;0.05;0.17;0.16
412;"Jon Pacheco Dozagarat";"Real Sociedad";14;849;0;0;0;0.09;0.09;0.06;1.03;1.03;0.01;0.01;0.01;0.02;0.02;0.11;0.11
413;"Luka Romero";"Alaves";6;201;0;0;0;0.77;0.03;0.27;0.54;0.31;0.35;0.01;0.12;0.46;0.13;0.24;0.14
414;"Alfonso Espino";"Rayo Vallecano";16;835;0;0;1;0.71;0.71;0.66;2.95;2.16;0.08;0.08;0.07;0.15;0.15;0.32;0.23
415;"Juan Cruz";"Osasuna";25;1509;0;0;0;0.12;0.12;0.03;3.82;3.74;0.01;0.01;0;0.01;0.01;0.23;0.22
416;"Luis Pérez";"Real Valladolid";30;2548;0;0;0;0.15;0.15;2.61;6.57;4.48;0.01;0.01;0.09;0.1;0.1;0.23;0.16
417;"Urko Gonzalez";"Espanyol,Real Sociedad";18;1441;0;0;2;0.68;0.68;0.87;3.6;2.26;0.04;0.04;0.05;0.1;0.1;0.22;0.14
418;"Marvin Park";"Las Palmas";23;1008;0;0;0;0.23;0.23;1.28;3.47;2.18;0.02;0.02;0.11;0.13;0.13;0.31;0.19
419;"Nahuel Molina";"Atletico Madrid";30;1565;0;0;3;1;1;1.93;9.53;7.78;0.06;0.06;0.11;0.17;0.17;0.55;0.45
420;"Cenk Özkacar";"Real Valladolid";11;750;0;0;0;0.11;0.11;0.03;1.83;1.83;0.01;0.01;0;0.02;0.02;0.22;0.22
421;"John Finn";"Getafe";4;36;0;0;0;0.11;0.11;0;0.13;0.02;0.28;0.28;0;0.28;0.28;0.32;0.04
422;"Unai Marrero";"Real Sociedad";2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
