"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
353;"Joe Scally";"Borussia M.Gladbach";32;2605;0;0;0;0.27;0.27;1.48;10.69;9.58;0.01;0.01;0.05;0.06;0.06;0.37;0.33
354;"Frank Onyeka";"Augsburg";31;2627;0;0;1;1.69;1.69;1.51;8.3;5.71;0.06;0.06;0.05;0.11;0.11;0.28;0.2
355;"Mads Roerslev";"Wolfsburg";7;281;0;0;0;0;0;0.07;0.61;0.61;0;0;0.02;0.02;0.02;0.2;0.2
356;"Anthony Losilla";"Bochum";20;1146;0;0;0;0.1;0.1;0.48;3.18;2.73;0.01;0.01;0.04;0.05;0.05;0.25;0.21
357;"Tymoteusz Puchacz";"Holstein Kiel";10;396;0;0;1;0.09;0.09;0.55;1.21;0.93;0.02;0.02;0.13;0.15;0.15;0.27;0.21
358;"Maximilian Bauer";"Augsburg";11;647;0;0;0;0.1;0.1;0.25;1.16;0.91;0.01;0.01;0.03;0.05;0.05;0.16;0.13
359;"Scott Banks";"St. Pauli";12;85;0;0;0;0.45;0.45;0.07;0.81;0.39;0.48;0.48;0.08;0.55;0.55;0.86;0.41
360;"Mathys Tel";"Bayern Munich";8;246;0;0;1;0.89;0.89;0.56;3.1;1.64;0.33;0.33;0.2;0.53;0.53;1.13;0.6
361;"Jonas Urbig";"Bayern Munich";8;720;0;0;0;0;0;0;1.83;1.83;0;0;0;0;0;0.23;0.23
362;"Finley Stevens";"St. Pauli";1;1;0;0;0;0;0;0;0.08;0.08;0;0;0;0;0;7.44;7.44
363;"Aster Vranckx";"Wolfsburg";14;545;0;0;0;0;0;0.09;1.58;1.49;0;0;0.01;0.01;0.01;0.26;0.25
364;"Moritz Jenz";"Mainz 05";19;1605;0;0;0;1.73;1.73;0.42;4.57;3.07;0.1;0.1;0.02;0.12;0.12;0.26;0.17
365;"Kristijan Jakic";"Augsburg";31;2314;0;0;1;0.75;0.75;1.55;9.37;7.94;0.03;0.03;0.06;0.09;0.09;0.36;0.31
366;"Arthur Theate";"Eintracht Frankfurt";31;2722;0;0;0;2.47;2.47;0.97;13.13;11.56;0.08;0.08;0.03;0.11;0.11;0.43;0.38
367;"David Nemeth";"St. Pauli";24;2147;0;0;1;0.17;0.17;0.12;5.12;4.97;0.01;0.01;0;0.01;0.01;0.21;0.21
368;"Lennard Maloney";"FC Heidenheim,Mainz 05";16;793;0;0;0;0.2;0.2;0.02;0.85;0.85;0.02;0.02;0;0.02;0.02;0.1;0.1
369;"Noah Atubolu";"Freiburg";26;2311;0;0;0;0;0;0;4.22;4.22;0;0;0;0;0;0.16;0.16
370;"Leo Østigard";"Hoffenheim";11;927;0;0;0;0.29;0.29;0.09;1.58;1.58;0.03;0.03;0.01;0.04;0.04;0.15;0.15
371;"Arijon Ibrahimovic";"Bayern Munich";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
372;"Jeanuël Belocian";"Bayer Leverkusen";5;66;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0.17;0.17
373;"Kevin Paredes";"Wolfsburg";2;132;0;0;1;0.25;0.25;0.08;0.34;0;0.17;0.17;0.06;0.23;0.23;0.23;0
374;"Lasse Rieß";"Mainz 05";2;180;0;0;0;0;0;0;0.63;0.63;0;0;0;0;0;0.31;0.31
375;"Robert Wagner";"St. Pauli";12;398;0;0;0;0.14;0.14;0;1.19;1.05;0.03;0.03;0;0.03;0.03;0.27;0.24
376;"Magnus Knudsen";"Holstein Kiel";31;1860;0;0;1;0.83;0.83;1.39;5.44;3.43;0.04;0.04;0.07;0.11;0.11;0.26;0.17
377;"Gabriel Vidovic";"Bayern Munich,Mainz 05";5;22;0;0;0;0.2;0.2;0;0.2;0;0.84;0.84;0;0.84;0.84;0.84;0
378;"Umut Tohumcu";"Hoffenheim";12;352;0;0;1;0.07;0.07;0.95;1.14;0.65;0.02;0.02;0.24;0.26;0.26;0.29;0.17
379;"João Palhinha";"Bayern Munich";17;656;0;0;0;0.63;0.63;0.3;5.82;5.28;0.09;0.09;0.04;0.13;0.13;0.8;0.72
380;"Finn Becker";"Hoffenheim";13;658;0;0;1;0.09;0.09;0.27;1.88;1.72;0.01;0.01;0.04;0.05;0.05;0.26;0.24
381;"Jakub Kaminski";"Wolfsburg";22;1105;0;0;2;1.11;1.11;3.52;4.91;2.15;0.09;0.09;0.29;0.38;0.38;0.4;0.18
382;"Tim Oermann";"Bochum";28;2125;0;0;2;0.16;0.16;0.66;4.39;3.7;0.01;0.01;0.03;0.03;0.03;0.19;0.16
383;"Tim Skarke";"Union Berlin";33;1126;0;0;2;1.89;1.89;1.45;4.53;1.6;0.15;0.15;0.12;0.27;0.27;0.36;0.13
384;"Yan Couto";"Borussia Dortmund";21;870;0;0;0;0.25;0.25;0.95;3.79;3;0.03;0.03;0.1;0.12;0.12;0.39;0.31
385;"Matej Kovár";"Bayer Leverkusen";5;450;0;0;0;0;0;0;0.21;0.21;0;0;0;0;0;0.04;0.04
386;"Arne Engels";"Augsburg";1;82;0;0;0;0.6;0.6;0;0.48;0;0.66;0.66;0;0.66;0.66;0.52;0
387;"Merlin Röhl";"Freiburg";19;970;0;0;1;1.12;1.12;1.74;3.59;1.34;0.1;0.1;0.16;0.27;0.27;0.33;0.12
388;"Josip Juranovic";"Union Berlin";17;1160;0;0;0;0.27;0.27;2.33;3.2;1.63;0.02;0.02;0.18;0.2;0.2;0.25;0.13
389;"David Odogu";"Wolfsburg";3;191;0;0;0;0.07;0.07;0;0.43;0.43;0.03;0.03;0;0.03;0.03;0.2;0.2
390;"Julien Duranville";"Borussia Dortmund";12;259;0;0;0;0.42;0.42;0.66;1.17;0.09;0.15;0.15;0.23;0.37;0.37;0.4;0.03
391;"Ameen Al Dakhil";"VfB Stuttgart";7;448;0;0;0;0.05;0.05;0.15;1.85;1.83;0.01;0.01;0.03;0.04;0.04;0.37;0.37
392;"Senne Lynen";"Werder Bremen";32;2780;0;0;1;0.97;0.97;0.54;10.63;9.58;0.03;0.03;0.02;0.05;0.05;0.34;0.31
393;"Maximilian Wittek";"Bochum";32;2644;0;0;0;1.72;1.72;3.31;8.91;5.79;0.06;0.06;0.11;0.17;0.17;0.3;0.2
394;"Tim Breithaupt";"Augsburg";2;130;0;0;1;0.07;0.07;0.37;0.44;0.44;0.05;0.05;0.26;0.31;0.31;0.31;0.31
395;"Grant-Leon Ranos";"Borussia M.Gladbach";2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
396;"Cédric Zesiger";"Augsburg,Wolfsburg";22;1769;0;0;2;1.11;1.11;1.6;4.54;3.29;0.06;0.06;0.08;0.14;0.14;0.23;0.17
397;"Kevin Müller";"FC Heidenheim";33;2944;0;0;0;0;0;0;3.03;3.03;0;0;0;0;0;0.09;0.09
398;"Denis Thomalla";"FC Heidenheim";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
