Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
55,Alex Bass,eng ENG,GK,Notts County,26,1998,39,39,"3,429",38.1,0,1,1,0,0,0,2,0,0,0.03,0.03,0,0.03,55,eng ENG,GK,26,1998,38.1,0,0,0,,0,0,,,0,0,5,eng ENG,GK,26,1998,39,39,"3,429",38.1,42,1.1,163,123,75.5,18,10,11,13,33.3,2,2,0,0,0,ENG-League Two
255,Alex Gilbey,eng ENG,"MF,FW",Milton Keynes Dons,29,1994,42,42,"3,755",41.7,11,1,12,11,0,0,9,0,0.26,0.02,0.29,0.26,0.29,255,eng ENG,"MF,FW",29,1994,41.7,11,90,37,41.1,2.16,0.89,0.12,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
300,Alex Henderson,eng ENG,MF,Accrington Stanley,19,2004,28,10,942,10.5,1,1,2,1,0,0,3,0,0.1,0.1,0.19,0.1,0.19,300,eng ENG,MF,19,2004,10.5,1,18,4,22.2,1.72,0.38,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
752,Alex Woodyard,eng ENG,MF,Colchester United,31,1993,14,11,884,9.8,0,0,0,0,0,0,3,0,0,0,0,0,0,752,eng ENG,MF,31,1993,9.8,0,3,0,0,0.31,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
545,Alexander Pattison,eng ENG,MF,Bradford City,26,1997,30,24,"1,898",21.1,7,3,10,7,0,0,6,1,0.33,0.14,0.47,0.33,0.47,545,eng ENG,MF,26,1997,21.1,7,50,15,30,2.37,0.71,0.14,0.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
110,Alfie Chang,eng ENG,MF,Walsall,21,2002,5,3,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,110,eng ENG,MF,21,2002,2.5,0,6,1,16.7,2.4,0.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
618,Alistair Smith,sct SCO,MF,AFC Wimbledon,30,1994,45,45,"4,006",44.5,6,3,9,6,0,0,8,0,0.13,0.07,0.2,0.13,0.2,618,sct SCO,MF,30,1994,44.5,6,62,21,33.9,1.39,0.47,0.1,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
162,Andrew Dallas,sct SCO,FW,Barrow,25,1999,18,6,621,6.9,3,0,3,2,1,1,4,0,0.43,0,0.43,0.29,0.29,162,sct SCO,FW,25,1999,6.9,3,11,7,63.6,1.59,1.01,0.18,0.29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
161,Andrew Dallas,sct SCO,"FW,MF",Morecambe,25,1999,17,14,"1,019",11.3,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,161,sct SCO,"FW,MF",25,1999,11.3,3,29,13,44.8,2.56,1.15,0.1,0.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
134,Andy Cook,eng ENG,FW,Bradford City,33,1990,22,22,"1,848",20.5,12,0,12,12,0,0,5,0,0.58,0,0.58,0.58,0.58,134,eng ENG,FW,33,1990,20.5,12,63,28,44.4,3.07,1.36,0.19,0.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
