Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
49,Raees Bangura-Williams,,MF,Millwall,,,6.8,2,0,0,7,2,2,2,2,14,,,0,Matches
50,Tamer Bani Odeh,jo JOR,FW,West Bromwich Albion,20,2003,0.6,1,0,0,5,1,0,2,2,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,38.5,7,0,0,18,20,0,151,20,40,,,0,Matches
52,Jamal Baptiste,eng ENG,DF,Sheffield United,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,8,2,0,0,10,7,1,32,12,10,,,0,Matches
54,Tom Barkhuizen,eng ENG,"MF,FW",Derby County,31,1993,4.5,2,0,0,5,6,0,14,4,5,,,0,Matches
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,27,1997,12.8,2,0,0,16,15,2,62,9,13,,,0,Matches
56,Ashley Barnes,eng ENG,FW,Norwich City,34,1989,1.9,1,0,0,8,4,1,0,1,0,,,0,Matches
57,Ashley Barnes,eng ENG,FW,Burnley,34,1989,1.5,1,0,0,3,7,3,1,2,0,,,0,Matches
58,Louie Barry,eng ENG,MF,Hull City,21,2003,1.8,0,0,0,3,1,1,12,1,1,,,0,Matches
59,Kyle Bartley,eng ENG,DF,West Bromwich Albion,33,1991,29,5,1,0,26,14,3,1,21,14,,,0,Matches
60,Norman Bassette,be BEL,FW,Coventry City,19,2004,10.1,5,0,0,22,13,15,10,0,4,,,0,Matches
61,Danny Batth,eng ENG,DF,Blackburn Rovers,33,1990,33.4,5,0,0,31,22,1,0,32,22,,,0,Matches
62,Patrick Bauer,de GER,DF,Preston North End,31,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
63,Vakoun Bayo,ci CIV,FW,Watford,27,1997,24.9,5,1,0,44,19,20,3,5,13,,,0,Matches
64,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,2,0,0,0,6,0,0,0,0,,,0,Matches
65,Owen Beck,wls WAL,"DF,MF",Blackburn Rovers,21,2002,20.8,3,1,0,34,13,4,72,18,39,,,0,Matches
66,Chris Bedia,ci CIV,FW,Hull City,28,1996,10.2,0,0,0,19,6,4,0,0,5,,,0,Matches
67,Amari'i Bell,jm JAM,"DF,MF",Luton Town,30,1994,30.1,1,0,0,18,39,1,15,22,30,,,0,Matches
68,Sam Bell,eng ENG,"FW,MF",Bristol City,22,2002,4.9,0,0,0,6,6,5,15,2,7,,,0,Matches
69,Jobe Bellingham,eng ENG,MF,Sunderland,18,2005,39,10,1,0,41,59,2,10,33,46,,,0,Matches
70,Bachir Belloumi,dz ALG,"FW,MF",Hull City,22,2002,9.1,1,0,0,8,9,11,58,9,9,,,0,Matches
71,Anis Ben Slimane,tn TUN,MF,Norwich City,23,2001,23.2,6,0,0,38,21,1,15,16,25,,,0,Matches
72,Anis Ben Slimane,tn TUN,MF,Sheffield United,23,2001,0.5,0,0,0,2,0,0,0,0,0,,,0,Matches
73,Joe Bennett,eng ENG,DF,Oxford United,34,1990,8.3,1,0,0,3,8,0,2,8,8,,,0,Matches
74,Daniel Bennie,au AUS,FW,Queens Park Rangers,18,2006,2.4,1,0,0,5,1,0,5,1,0,,,0,Matches
75,Jóhann Berg Guðmundsson,is ISL,"FW,MF",Burnley,33,1990,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Di'Shon Bernard,jm JAM,DF,Sheffield Weds,23,2000,24.8,9,2,1,26,13,0,2,28,19,,,0,Matches
77,Kian Best,eng ENG,DF,Preston North End,18,2005,0,0,0,0,0,2,0,2,0,1,,,0,Matches
78,Florian Bianchini,fr FRA,FW,Swansea City,23,2001,12.3,2,0,0,22,12,12,24,2,12,,,0,Matches
79,Jake Bidwell,eng ENG,"DF,MF",Coventry City,31,1993,22.9,5,0,0,21,14,0,85,19,13,,,0,Matches
80,Luis Binks,eng ENG,DF,Coventry City,22,2001,20.6,7,0,0,12,7,0,8,21,11,,,0,Matches
81,Max Bird,eng ENG,MF,Bristol City,23,2000,38.7,1,0,0,13,21,2,126,30,56,,,0,Matches
82,Colby Bishop,eng ENG,FW,Portsmouth,27,1996,29.2,3,0,0,38,35,13,9,4,17,,,0,Matches
83,Billy Blacker,eng ENG,FW,Sheffield United,18,2006,0,0,0,0,0,0,0,0,0,0,,,0,Matches
84,Corey Blackett-Taylor,eng ENG,"MF,FW",Derby County,26,1997,4.5,1,0,0,2,6,1,20,3,1,,,0,Matches
85,Harvey Blair,eng ENG,MF,Portsmouth,20,2003,3.3,3,0,0,10,6,2,6,3,3,,,0,Matches
86,Malachi Boateng,eng ENG,MF,Plymouth Argyle,22,2002,2.2,0,0,0,4,1,0,0,3,3,,,0,Matches
87,Eric Bocat,fr FRA,DF,Stoke City,25,1999,22.7,1,0,0,12,19,1,60,32,22,,,0,Matches
88,Jayden Bogle,eng ENG,DF,Leeds United,24,2000,42.5,12,0,0,52,58,6,84,39,72,,,0,Matches
89,Jonathan Bond,eng ENG,GK,Watford,31,1993,8.9,0,0,0,0,1,0,0,0,0,,,0,Matches
90,Neto Borges,br BRA,DF,Middlesbrough,27,1996,32.1,4,0,0,30,31,4,48,44,37,,,0,Matches
91,Raphael Borges Rodrigues,au AUS,MF,Coventry City,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
92,Josh Bowler,eng ENG,"MF,FW",Preston North End,25,1999,5.1,0,0,0,1,14,0,13,3,5,,,0,Matches
93,Josh Bowler,eng ENG,MF,Luton Town,25,1999,1.7,0,0,0,2,2,0,6,1,2,,,0,Matches
94,Sonny Bradley,eng ENG,DF,Derby County,32,1991,3.4,1,0,0,2,2,0,1,4,2,,,0,Matches
95,Tom Bradshaw,wls WAL,FW,Oxford United,32,1992,4,1,0,0,6,2,1,0,1,0,,,0,Matches
96,Tom Bradshaw,wls WAL,FW,Millwall,32,1992,5,0,0,0,11,5,2,1,0,2,,,0,Matches
97,Robbie Brady,ie IRL,MF,Preston North End,32,1992,18.2,8,0,0,30,13,3,132,20,30,,,0,Matches
98,Cohen Bramall,eng ENG,DF,Portsmouth,28,1996,5.1,2,0,0,4,5,1,20,3,5,,,0,Matches
99,Cameron Brannagan,eng ENG,MF,Oxford United,28,1996,32.2,10,0,0,33,33,0,63,30,38,,,0,Matches
100,Ben Brereton,cl CHI,MF,Sheffield United,25,1999,10.9,4,0,0,16,7,4,11,7,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Rhian Brewster,eng ENG,"MF,FW",Sheffield United,24,2000,17.3,2,0,0,16,25,5,28,5,9,,,0,Matches
102,Callum Brittain,eng ENG,DF,Blackburn Rovers,26,1998,29.5,5,0,0,24,16,0,123,21,33,,,0,Matches
103,Andre Brooks,eng ENG,MF,Sheffield United,20,2003,10.6,3,0,0,20,10,1,17,5,19,,,0,Matches
