Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
92,Adama Boiro,es ESP,DF,Athletic Club,22,2002,18,13,"1,101",12.2,0,0,0,0,0,0,3,0,0,0,0,0,0,92,es ESP,DF,22,2002,12.2,0,5,0,0,0.41,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
273,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,18,5,598,6.6,2,1,3,2,0,0,5,0,0.3,0.15,0.45,0.3,0.45,273,be BEL,"MF,FW",29,1995,6.6,2,16,5,31.3,2.41,0.75,0.13,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
180,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,32,1992,35,18,"1,607",17.9,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,180,es ESP,"MF,FW",32,1992,17.9,1,37,12,32.4,2.07,0.67,0.03,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
63,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,es ESP,FW,17,2007,0.5,0,3,0,0,5.51,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
409,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,409,es ESP,FW,20,2004,0.1,0,2,0,0,15,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
481,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,481,es ESP,GK,23,2000,1.4,0,0,0,,0,0,,,0,0,35,es ESP,GK,23,2000,2,1,122,1.4,2,1.48,5,4,80,0,1,0,1,100,1,1,0,0,0,La Liga
26,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,22,19,"1,630",18.1,0,0,0,0,0,0,6,0,0,0,0,0,0,26,es ESP,"DF,MF",23,2001,18.1,0,7,2,28.6,0.39,0.11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
440,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,31,27,"2,298",25.5,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,440,es ESP,DF,26,1998,25.5,1,24,8,33.3,0.94,0.31,0.04,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
6,Adrián,es ESP,GK,Real Betis,37,1987,19,19,"1,710",19,0,0,0,0,0,0,3,0,0,0,0,0,0,6,es ESP,GK,37,1987,19,0,0,0,,0,0,,,0,0,1,es ESP,GK,37,1987,19,19,"1,710",19,27,1.42,76,50,65.8,10,5,4,3,15.8,1,1,0,0,0,La Liga
42,Adu Ares,es ESP,MF,Athletic Club,22,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,es ESP,MF,22,2001,0.2,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
393,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,21,13,"1,098",12.2,0,0,0,0,0,0,5,0,0,0,0,0,0,393,es ESP,DF,26,1997,12.2,0,6,0,0,0.49,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
424,Aimar Oroz,es ESP,MF,Osasuna,22,2001,37,35,"2,966",33,5,4,9,4,1,1,8,0,0.15,0.12,0.27,0.12,0.24,424,es ESP,MF,22,2001,33,5,48,16,33.3,1.46,0.49,0.08,0.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
419,Aingeru Olabarrieta,es ESP,MF,Athletic Club,18,2005,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,419,es ESP,MF,18,2005,0.6,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
191,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191,es ESP,GK,33,1991,1,0,0,0,,0,0,,,0,0,10,es ESP,GK,33,1991,1,1,90,1,0,0,5,5,100,0,1,0,1,100,0,0,0,0,,La Liga
434,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,23,21,"1,812",20.1,3,0,3,3,0,0,4,1,0.15,0,0.15,0.15,0.15,434,es ESP,DF,24,2000,20.1,3,6,3,50,0.3,0.15,0.5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
502,Aitor Ruibal,es ESP,"DF,FW",Real Betis,28,1996,29,13,"1,313",14.6,1,3,4,1,0,0,5,0,0.07,0.21,0.27,0.07,0.27,502,es ESP,"DF,FW",28,1996,14.6,1,16,4,25,1.1,0.27,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ng NGA,FW,24,2000,1.5,0,2,2,100,1.34,1.34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
511,Albert Sambi Lokonga,be BEL,MF,Sevilla,24,1999,22,16,"1,471",16.3,0,2,2,0,0,0,4,0,0,0.12,0.12,0,0.12,511,be BEL,MF,24,1999,16.3,0,13,5,38.5,0.8,0.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
338,Alberto Marí,es ESP,FW,Valencia,23,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,338,es ESP,FW,23,2001,0.1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
380,Alberto Moleiro,es ESP,MF,Las Palmas,20,2003,35,32,"2,714",30.2,6,1,7,6,0,0,5,0,0.2,0.03,0.23,0.2,0.23,380,es ESP,MF,20,2003,30.2,6,68,24,35.3,2.25,0.8,0.09,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
476,Alberto Risco,es ESP,MF,Getafe,18,2005,5,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,476,es ESP,MF,18,2005,0.8,0,4,1,25,5.22,1.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
60,Alejandro Balde,es ESP,DF,Barcelona,20,2003,32,26,"2,284",25.4,0,4,4,0,0,0,2,0,0,0.16,0.16,0,0.16,60,es ESP,DF,20,2003,25.4,0,12,3,25,0.47,0.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
203,Alejandro Francés,es ESP,DF,Girona,21,2002,18,13,"1,173",13,0,0,0,0,0,0,2,0,0,0,0,0,0,203,es ESP,DF,21,2002,13,0,6,0,0,0.46,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
581,Alejo Véliz,ar ARG,FW,Espanyol,20,2003,27,10,"1,127",12.5,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,581,ar ARG,FW,20,2003,12.5,1,19,6,31.6,1.52,0.48,0.05,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
521,Aleksandar Sedlar,rs SRB,DF,Alavés,32,1991,9,7,594,6.6,0,0,0,0,0,0,1,1,0,0,0,0,0,521,rs SRB,DF,32,1991,6.6,0,1,0,0,0.15,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
56,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,32,30,"2,595",28.8,7,9,16,7,0,1,9,0,0.24,0.31,0.55,0.24,0.55,56,es ESP,"MF,FW",23,2001,28.8,7,70,18,25.7,2.43,0.62,0.1,0.39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
292,Alex Král,cz CZE,MF,Espanyol,26,1998,37,29,"2,714",30.2,0,1,1,0,0,0,1,0,0,0.03,0.03,0,0.03,292,cz CZE,MF,26,1998,30.2,0,21,2,9.5,0.7,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
432,Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,432,es ESP,GK,20,2003,3.6,0,0,0,,0,0,,,0,0,31,es ESP,GK,20,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0,1,1,0,0,0,La Liga
