Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
626,Alessio Zerbin,it ITA,MF,Venezia,25,1999,18,17,"1,518",16.9,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,626,it ITA,MF,25,1999,16.9,1,16,6,37.5,0.95,0.36,0.06,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
381,Alex Meret,it ITA,GK,Napoli,27,1997,34,34,"3,005",33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,381,it ITA,GK,27,1997,33.4,0,0,0,,0,0,,,0,0,18,it ITA,GK,27,1997,34,34,"3,005",33.4,25,0.75,81,59,70.4,21,9,4,17,50,4,1,2,1,66.7,Serie A
510,Alexis Saelemaekers,be BEL,DF,Milan,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,510,be BEL,DF,25,1999,1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
509,Alexis Saelemaekers,be BEL,"MF,FW",Roma,25,1999,22,17,"1,389",15.4,7,3,10,7,0,0,4,0,0.45,0.19,0.65,0.45,0.65,509,be BEL,"MF,FW",25,1999,15.4,7,25,12,48,1.62,0.78,0.28,0.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
518,Alexis Sánchez,cl CHI,FW,Udinese,35,1988,13,6,437,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,518,cl CHI,FW,35,1988,4.9,0,7,0,0,1.44,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
181,Alfred Duncan,gh GHA,MF,Venezia,31,1993,16,12,957,10.6,0,0,0,0,0,0,2,0,0,0,0,0,0,181,gh GHA,MF,31,1993,10.6,0,15,4,26.7,1.41,0.38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
165,Ali Dembélé,fr FRA,DF,Torino,20,2004,15,4,388,4.3,1,0,1,1,0,0,4,1,0.23,0,0.23,0.23,0.23,165,fr FRA,DF,20,2004,4.3,1,5,2,40,1.16,0.46,0.2,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
275,Ali Jasim,iq IRQ,MF,Como,20,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,275,iq IRQ,MF,20,2004,0.1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
200,Alieu Fadera,gm GAM,MF,Como,22,2001,28,20,"1,644",18.3,1,3,4,1,0,0,2,1,0.05,0.16,0.22,0.05,0.22,200,gm GAM,MF,22,2001,18.3,1,28,9,32.1,1.53,0.49,0.04,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
413,Alieu Njie,se SWE,FW,Torino,19,2005,16,0,394,4.4,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23,413,se SWE,FW,19,2005,4.4,1,9,5,55.6,2.06,1.14,0.11,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
